"MF08 Individual Supply + Central Exhaust (SZHP)  /  Standard  /  MF8Unit_ISUP_CEXH_SZHP_CZ09.cibd25x",001
"Fri 22-May-26   5:4 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",14.9724,0,0,0,1.73478,0,0,0,0,0.822462,0,0.249842,0,0.537112,4.64792,0,1.32487,0,5.55219,0,0.103269,0,0,0,0
"MtrElec",1,1,2,"",8.43575,0,0.0970126,0,1.18503,0,0,0,0.0151462,0.822462,0,0.249842,0,0.443701,4.27654,0,1.26341,0,0,0,0.082615,0,0,0,0
"MtrElec",1,1,3,"",9.18275,0,0.898608,0,1.36973,0,0,0,0.141029,0.822462,0,0.248766,0,0.35029,4.05412,0,1.23578,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,4,"",9.98677,0,1.32718,0,1.6824,0,0,0,0.209383,0.822462,0,0.239833,0,0.396996,4.04258,0,1.20397,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,5,"",9.02688,0,1.62144,0,0.543623,0,0,0,0.256909,0.822462,0,0.234982,0,0.490407,3.83942,0,1.15567,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,6,"",10.8432,0,1.66105,0,1.72859,0,0,0,0.264121,0.822462,0,0.231609,0,0.723934,4.16041,0,1.14776,0,0,0,0.103269,0,0,0,0
"MtrElec",1,1,7,"",25.605,0,1.5516,0,1.64031,12.659,0,0,0.247451,0.822462,0,0.231097,0,0.980813,4.67234,0,1.16724,0,0,0.654821,0.206538,0,0.771308,0,0
"MtrElec",1,1,8,"",19.7849,0,0.931417,0,1.51084,6.05913,0,0,0.147743,0.822462,0,0.23228,0,0.957461,5.01958,0,1.27709,0,5.53479,1.74196,0.557651,0,0.492575,0,-5.5001
"MtrElec",1,1,9,"",11.6207,0,0.369345,0,3.60978,0,0,0,0.057953,0.822462,0,0.239356,0,0.793992,4.71994,0,1.481,0,14.7237,0.249339,0.99138,0,0.256514,0,-16.6941
"MtrElec",1,1,10,"",-3.00837,0,0.0472342,0,5.69495,0,0,0,0.00731799,0.822462,0,0,0,0.677228,4.53847,0,1.43136,1.00827,2.1075,5.28873,0.99138,0,0,0,-25.6233
