"MF08 Individual Supply + Central Exhaust (SZHP)  /  Proposed  /  MF8Unit_ISUP_CEXH_SZHP_CZ09.cibd25x",001
"Fri 22-May-26   5:4 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",15.0327,0,0,0,1.73193,0,0,0,0,0.885534,0,0.244219,0,0.537112,4.64792,0,1.33055,0,5.55219,0,0.103269,0,0,0,0
"MtrElec",1,1,2,"",8.38532,0,0,0,1.18409,0,0,0,0,0.885534,0,0.244219,0,0.443701,4.27654,0,1.26862,0,0,0,0.082615,0,0,0,0
"MtrElec",1,1,3,"",8.17966,0,0,0,1.34258,0,0,0,0,0.885534,0,0.244219,0,0.35029,4.05412,0,1.24094,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,4,"",9.18664,0,0.576591,0,1.68081,0,0,0,0.0905726,0.885534,0,0.244219,0,0.396996,4.04258,0,1.20737,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,5,"",8.48861,0,1.07457,0,0.571496,0,0,0,0.169668,0.885534,0,0.237792,0,0.490407,3.83942,0,1.15775,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,6,"",10.385,0,1.20932,0,1.72872,0,0,0,0.191753,0.885534,0,0.23218,0,0.723934,4.16041,0,1.14988,0,0,0,0.103269,0,0,0,0
"MtrElec",1,1,7,"",25.2185,0,1.16647,0,1.64038,12.659,0,0,0.185587,0.885534,0,0.230613,0,0.980813,4.67234,0,1.16969,0,0,0.654821,0.206538,0,0.766718,0,0
"MtrElec",1,1,8,"",19.4588,0,0.613308,0,1.51089,6.05058,0,0,0.0970909,0.885534,0,0.23105,0,0.957461,5.01958,0,1.27937,0,5.53479,1.74196,0.557651,0,0.491356,0,-5.51185
"MtrElec",1,1,9,"",11.2652,0,0.139398,0,3.49378,0,0,0,0.021882,0.885534,0,0.237329,0,0.793992,4.71994,0,1.48245,0,14.7237,0.249339,0.99138,0,0.256141,0,-16.7297
"MtrElec",1,1,10,"",-3.00066,0,0,0,5.74694,0,0,0,0,0.885534,0,0,0,0.677228,4.53847,0,1.43331,1.00827,2.1075,5.28873,0.99138,0,0,0,-25.678
"MtrElec",1,1,11,"",35.2994,0,0,0,9.22739,0,0,0,0,0.885534,0,0,0,0.630523,4.61538,0,1.41614,1.4659,44.7023,2.64576,0.950073,0,0.0301323,0,-31.2697
"MtrElec",1,1,12,"",3.654,0,0,0,6.03582,0,0,0,0,0.885534,0,0,0,0.583817,4.54226,0,1.45232,0,22.3629,0,1.13596,0,0.0152112,0,-33.3598
