19,5,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC 2025.2.0.1 (1395)"
,CompMgr:,,"BEMCmpMgr 2025.2.0.1 (625)"
,OpenStudio:,,"n/a"
,EnergyPlus:,,"n/a"
,CSE:,,"CSE 0.927.0 EXE"
,Ruleset:,,"CA 2025 Nonresidential, Vers. 1.0 (T24_2025.bin)"
Run Title:,,,"MF08 Individual Supply + Central Exhaust (SZHP)"
Run Date/Time:,,,"2026-05-22 17:43:35"
NonRes Cond. Area:,,,0
Residential Cond. Area:,,,7320
Model:,,,"Standard"
Model File:,,,"C:\Users\MichaelSawford\A2 Efficiency\P-2050-006.00 SCE T24 Complex HVAC - Documents\4.00-Modeling\EX01a_MF Ventilation\MF08_1A_ISUP_CEXH_SZHP_CZ09\MF8Unit_ISUP_CEXH_SZHP_CZ09.cibd25x"

,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,LSC Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh)
1,1,1, 01/01 01,0,0,0.240981,0,0.0732037,0.508291,0,1.36184,2.04524,0.157374,0,0.822476,4.38693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1911,1269.81,1106.78,8.29512,89.9626,100,0.000438895,0.0060051,0.006288,0.00127989,0,0,
1,1,2, 01/01 02,0.0284247,0,0.245419,0,0.0732037,0.347214,0,1.25303,0.394385,0.130004,0,0.694261,2.47168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2831,1269.81,1106.78,7.19566,89.9626,100,0.000380722,0.0060051,0.006288,0.000390829,0,0,
1,1,3, 01/01 03,0.263292,0,0.282303,0,0.0728884,0.401331,0,1.18786,0.380238,0.102635,0,1.01981,2.69054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.79372,1269.81,1106.78,4.74042,89.9626,100,0.000250816,0.0060051,0.006288,0,0,0,
1,1,4, 01/01 04,0.388864,0,0.302331,0,0.0702711,0.492943,0,1.18448,0.370918,0.11632,0,1.25441,2.92612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.58349,1269.81,1106.78,4.31459,89.9626,100,0.000228285,0.0060051,0.006288,0,0,0,
1,1,5, 01/01 05,0.475082,0,0.316256,0,0.0688497,0.159282,0,1.12495,0.356766,0.143689,0,1.01947,2.64487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54633,1269.81,1106.78,4.23227,89.9626,100,0.000223929,0.0060051,0.006288,0,0,0,
1,1,6, 01/01 06,0.486688,0,0.318369,0,0.0678614,0.506477,0,1.219,0.366551,0.212113,0,1.37939,3.17706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60773,1269.81,1106.78,4.35364,89.9626,100,0.000230351,0.0060051,0.006288,0,0,0,
1,1,7, 01/01 07,0.454619,0,0.313485,0,0.0677114,4.41569,0,1.369,0.59438,0.287378,0,5.25151,7.50226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.53865,1269.81,1106.78,5.54605,89.9626,100,0.000293441,0.0060051,0.006288,0.000150648,0,0,
1,1,8, 01/01 08,0.272905,0,0.28427,0,0.068058,2.36233,0,1.47074,2.66967,0.280536,0,2.98756,7.4085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.59624,1269.81,1106.78,4.35696,89.9626,100,0.000230527,0.0060051,0.006288,0,-1.61153,0,
1,1,9, 01/01 09,0.108218,0,0.257962,0,0.0701313,1.13282,0,1.38294,5.11151,0.23264,0,1.56914,8.29622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76122,1269.81,1106.78,2.68137,89.9626,100,0.000141871,0.0060051,0.006288,0,-4.89137,0,
1,1,10, 01/01 10,0.0138396,0,0.243126,0,0,1.66862,0,1.32977,3.17238,0.198428,0,1.92559,6.62617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75832,1269.81,1106.78,2.3791,89.9626,100,0.000125878,0.0060051,0.006288,0,-7.50763,0,
1,1,11, 01/01 11,0,0,0.240981,0,0,2.71318,0,1.35231,14.9951,0.184743,0,2.95416,19.4864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76108,1269.81,1106.78,2.83208,89.9626,100,0.000149846,0.0060051,0.006288,0,-9.14248,0,
1,1,12, 01/01 12,0,0,0.240981,0,0,1.76148,0,1.33088,7.3099,0.171058,0,2.00246,10.8143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76842,1269.81,1106.78,2.70532,89.9626,100,0.000143139,0.0060051,0.006288,0,-9.75359,0,
1,1,13, 01/01 13,0,0,0.240981,0,0,1.44989,0,1.31879,0.815293,0.143689,0,1.69087,3.96864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76476,1269.81,1106.78,2.82681,89.9626,100,0.000149566,0.0060051,0.006288,0,-9.48491,0,
1,1,14, 01/01 14,0,0,0.240981,0,0,0.310305,0,1.35906,0.796934,0.143689,0,0.551286,2.85097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7652,1269.81,1106.78,2.88089,89.9626,100,0.000152428,0.0060051,0.006288,0,-5.81684,0,
1,1,15, 01/01 15,0,0,0.240981,0,0,0,0,1.42556,0.808179,0.143689,0,0.240981,2.61841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76532,1269.81,1106.78,2.92757,89.9626,100,0.000154898,0.0060051,0.006288,0,-4.76937,0,
1,1,16, 01/01 16,0,0,0.240981,0,0,0,0,1.49922,0.858783,0.177901,0,0.240981,2.77689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06237,1269.81,1106.78,3.29537,89.9626,100,0.000174358,0.0060051,0.006288,0,-2.91758,0,
1,1,17, 01/01 17,0,0,0.240981,0,0,0.0519325,0,1.68241,0.984802,0.212113,0,0.292914,3.17224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35764,1269.81,1106.78,3.86875,89.9626,100,0.000204695,0.0060051,0.006288,0,-0.354451,0,
1,1,18, 01/01 18,0,0,0.240981,0,0,0.454367,0,1.89695,1.3028,0.301063,0,0.695348,4.19616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.40918,1269.81,1106.78,3.94448,89.9626,100,0.000208702,0.0060051,0.006288,0,0,0,
1,1,19, 01/01 19,0,0,0.240981,0,0,0.817742,0,2.03865,1.28209,0.574758,0,1.05872,4.95422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51492,1269.81,1106.78,4.16914,89.9626,100,0.000220589,0.0060051,0.006288,0,0,0,
1,1,20, 01/01 20,0,0,0.240981,0,0,0.968368,0,2.11929,1.65108,0.800555,0,1.20935,5.78028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60367,1269.81,1106.78,4.37739,89.9626,100,0.000231608,0.0060051,0.006288,0,0,0,
1,1,21, 01/01 21,0,0,0.240981,0,0,1.56071,0,2.19655,0.927484,0.773183,0,1.80169,5.69891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.59307,1269.81,1106.78,4.33943,89.9626,100,0.000229599,0.0060051,0.006288,0,0,0,
1,1,22, 01/01 22,0,0,0.240981,0,0,1.4854,0,2.17607,2.7257,0.656865,0,1.72638,7.28502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69524,1269.81,1106.78,4.51762,89.9626,100,0.000239027,0.0060051,0.006288,0,0,0,
1,1,23, 01/01 23,0,0,0.240981,0,0,1.65627,0,1.94545,0.46864,0.431067,0,1.89725,4.74241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.37868,1269.81,1106.78,4.52964,89.9626,100,0.000239663,0.0060051,0.006288,0.000277533,0,0,
1,1,24, 01/01 24,0,0,0.240981,0,0,1.27063,0,1.65907,0.454451,0.266851,0,1.51161,3.89198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.45012,1269.81,1106.78,4.53692,89.9626,100,0.000240048,0.0060051,0.006288,0.000718441,0,0,
1,2,1, 01/02 01,0,0,0.240981,0,0.0732037,0.134779,0,1.35815,0.402913,0.157374,0,0.448964,2.3674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4923,1269.81,1106.78,8.44344,89.9626,100,0.000446742,0.0060051,0.006288,0.000518385,0,0,
