"MF88 Individual Supply + Central Exhaust (SZHP)  /  Standard  /  MF88Unit_ISUP_CEXH-SZHP_CZ9.cibd25x",003
"Sat 23-May-26  11: am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",183.357,0,8.08217,0.114888,50.5071,0,0.163783,0,0.253527,9.0097,11.8313,6.09377,0,5.8374,51.3333,0,15.1178,0,18.5615,0,1.13058,0,5.32041,0,0
"MtrElec",1,1,2,"",117.318,0,10.5633,0,1.02961,0,0.163783,0,0.497201,9.0097,11.8313,6.04523,0,4.8222,47.2797,0,14.3956,2.47506,0,0,0.904462,0,8.30043,0,0
"MtrElec",1,1,3,"",118.302,0,12.3434,0.129965,4.16233,0,0.163783,0,0.698602,9.0097,11.8313,5.98754,0,3.807,44.8524,0,14.1031,0,0,0,0.678346,0,10.5346,0,0
"MtrElec",1,1,4,"",118.709,0,13.924,0.841668,1.28911,0,0.163783,0,0.858315,9.0097,11.8313,5.94101,0,4.3146,44.7245,0,13.7464,0,0,0,0.678346,0,11.3867,0,0
"MtrElec",1,1,5,"",120.098,0,15.4251,1.06179,3.05181,0,0.163783,0,1.03865,9.0097,11.8313,5.90658,0,5.3298,42.5129,0,13.2744,0,0,0,0.678346,0,10.8137,0,0
"MtrElec",1,1,6,"",146.278,0,16.6191,1.3992,28.0986,0,0.163783,0,1.16898,9.0097,11.8313,5.87222,0,7.8678,46.3646,0,13.1921,0,0,0,1.13058,0,3.56041,0,0
"MtrElec",1,1,7,"",228.954,0,16.9711,1.79019,100.325,0,0.163783,0,1.16472,9.0097,11.8313,5.85161,0,10.6596,52.2089,0,13.4969,1.40649,0,1.81286,2.26115,0,0,0,0
"MtrElec",1,1,8,"",254.235,0,13.5399,1.5002,101.321,0,0.163783,0,0.758047,9.0097,11.8313,5.8555,0,10.4058,56.9195,0,14.6566,1.06891,15.3229,5.77618,6.10511,0,0,0,0
"MtrElec",1,1,9,"",285.408,0,10.3769,0.345971,99.1331,0,0.163783,0,0.46827,9.0097,11.8313,5.92528,0,8.6292,53.744,0,16.6623,0,48.8224,9.44234,10.8535,0,0,0,0
"MtrElec",1,1,10,"",318.548,0,6.87111,0,99.8045,0,0.163783,0,0.224762,9.0097,11.8314,0.116466,0,7.3602,51.7744,0,16.292,6.04963,79.8101,18.3867,10.8535,0,0,0,0
"MtrElec",1,1,11,"",395.017,0,4.50687,0,102.235,0,0.163783,0,0.106351,9.0097,11.8314,0,0,6.8526,52.8005,0,16.0667,10.2429,155.411,15.3894,10.4013,0,0,0,0
"MtrElec",1,1,12,"",362.356,0,3.11888,0,105.564,0,0.163783,0,0.0438876,9.0097,11.8314,0,0,6.345,52.0002,0,16.4283,4.96314,130.077,10.3739,12.4363,0,0,0,0
"MtrElec",1,1,13,"",301.287,0,2.12516,0,81.5049,0,0.163783,0,0.0317706,9.0097,11.8314,0,0,5.3298,53.1487,0,16.7687,10.9151,87.6841,8.52904,14.2453,0,0,0,0
"MtrElec",1,1,14,"",197.862,0,1.34749,0,9.1141,0,0.163783,0,0.00628248,9.0097,11.8315,0,0,5.3298,54.647,0,16.9891,0,72.0906,3.99134,13.3408,0,0,0,0
"MtrElec",1,1,15,"",225.817,0,1.07709,0,74.8101,0,0.163783,0,0,9.0097,11.8315,0,0,5.3298,57.1222,0,16.7464,0,33.7363,1.97117,14.0191,0,0,0,0
"MtrElec",1,1,16,"",161.15,0,1.2626,0,16.7053,0,0.163783,0,0,9.0097,11.8315,0,0,6.5988,59.8622,0,17.1482,0,16.6611,6.53062,15.3758,0,0,0,0
"MtrElec",1,1,17,"",257.831,0,1.87005,0,59.9314,0,0.163783,0,0.00508119,9.0097,11.8314,0,0,7.8678,66.6719,0,16.831,0,55.1992,7.87351,20.5765,0,0,0,0
"MtrElec",1,1,18,"",337.62,0,3.22886,0,98.8335,0,0.163783,0,0.0321878,9.0097,11.8314,0,0,11.1672,74.336,0,17.8175,3.64801,66.5499,9.57232,31.43,0,0,0,0
"MtrElec",1,1,19,"",367.644,0,4.14855,0,102.276,0,0.163783,0,0.0842532,9.0097,11.8315,0.0555802,0,21.3192,79.8369,0,19.1381,5.70828,80.9088,3.99394,29.1689,0,0,0,0
"MtrElec",1,1,20,"",272.071,0,4.52405,0,52.3049,0,0.163783,0,0.110915,9.0097,11.8315,0.327815,0,29.6946,82.9684,0,18.7641,10.4467,33.7583,1.88629,16.2803,0,0,0,0
"MtrElec",1,1,21,"",260.966,0,4.65211,0,75.4778,0,0.163783,0,0.13652,9.0097,11.8315,0.299485,0,28.6794,86.0232,0,18.269,1.1769,15.9436,2.06695,7.23569,0,0,0,0
"MtrElec",1,1,22,"",285.323,0,4.8051,0,106.904,0,0.163783,0,0.165929,9.0097,11.8314,0,0,24.3648,85.0899,0,17.5261,1.2979,17.4706,3.52809,3.16561,0,0,0,0
"MtrElec",1,1,23,"",187.975,0,6.24661,0,14.9257,0,0.163783,0,0.235293,9.0097,11.8314,0.0469983,0,15.9894,73.9478,0,16.1283,4.94855,29.8207,2.64597,2.03504,0,0,0,0
