"MF88 Individual Supply + Central Exhaust (SZHP)  /  Standard (PV-Batt only)  /  MF88Unit_ISUP_CEXH-SZHP_CZ9.cibd25x",001
"Sat 23-May-26  11: am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",242.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.075,0,0,0
"MtrElec",1,1,2,"",177.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.018,0,0,0
"MtrElec",1,1,3,"",177.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.035,0,0,0
"MtrElec",1,1,4,"",177.419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.419,0,0,0
"MtrElec",1,1,5,"",179.762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.762,0,0,0
"MtrElec",1,1,6,"",204.981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.981,0,0,0
"MtrElec",1,1,7,"",287.659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.659,0,0,0
"MtrElec",1,1,8,"",216.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315.586,0,0,-98.6962
"MtrElec",1,1,9,"",58.9104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.476,0,0,-299.566
"MtrElec",1,1,10,"",-69.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390.683,0,0,-459.795
"MtrElec",1,1,11,"",0.0000039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508.238,0,51.6828,-559.921
"MtrElec",1,1,12,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476.263,0,121.084,-597.347
"MtrElec",1,1,13,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438.016,0,142.875,-580.891
"MtrElec",1,1,14,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334.506,0,21.7391,-356.245
"MtrElec",1,1,15,"",70.1726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362.267,0,0,-292.094
"MtrElec",1,1,16,"",119.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.984,0,0,-178.684
"MtrElec",1,1,17,"",373.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395.078,0,0,-21.7079
"MtrElec",1,1,18,"",452.893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452.893,0,0,0
"MtrElec",1,1,19,"",233.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.247,0,-223.217,0
"MtrElec",1,1,20,"",257.764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.033,0,-81.2691,0
"MtrElec",1,1,21,"",326.684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326.684,0,0,0
"MtrElec",1,1,22,"",348.953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348.953,0,0,0
"MtrElec",1,1,23,"",247.771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.771,0,0,0
"MtrElec",1,1,24,"",207.445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.445,0,0,0
