"MF88 Individual Supply + Central Exhaust (SZHP)  /  Proposed  /  MF88Unit_ISUP_CEXH-SZHP_CZ9.cibd25x",002
"Sat 23-May-26  11: am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",130.258,0,5.92634,0.0826484,0,0,0.163783,0,0.247714,9.0097,11.4872,6.14537,0,5.8374,51.3333,0,15.1336,0,18.5615,0,1.13058,0,5.19913,0,0
"MtrElec",1,1,2,"",113.516,0,8.1131,0,0,0,0.163783,0,0.467208,9.0097,11.4872,6.11715,0,4.8222,47.2797,0,14.4102,2.47506,0,0,0.904462,0,8.26672,0,0
"MtrElec",1,1,3,"",111.197,0,9.77003,0.0966416,0,0,0.163783,0,0.66274,9.0097,11.4872,6.05975,0,3.807,44.8524,0,14.1175,0,0,0,0.678346,0,10.4921,0,0
"MtrElec",1,1,4,"",114.326,0,11.3961,0.636291,0,0,0.163783,0,0.829273,9.0097,11.4871,5.97858,0,4.3146,44.7245,0,13.7606,0,0,0,0.678346,0,11.3469,0,0
"MtrElec",1,1,5,"",113.742,0,12.7525,0.821952,0,0,0.163783,0,0.985172,9.0097,11.4871,5.94268,0,5.3298,42.5129,0,13.2903,0,0,0,0.678346,0,10.7678,0,0
"MtrElec",1,1,6,"",197.313,0,13.9064,1.07994,82.59,0,0.163783,0,1.11937,9.0097,11.4871,5.91207,0,7.8678,46.3646,0,13.2082,0,0,0,1.13058,0,3.47329,0,0
"MtrElec",1,1,7,"",171.635,0,14.279,1.41161,46.41,0,0.163783,0,1.11976,9.0097,11.4871,5.88928,0,10.6596,52.2089,0,13.5153,1.40649,0,1.81286,2.26115,0,0,0,0
"MtrElec",1,1,8,"",238.152,0,11.0209,1.15676,88.4102,0,0.163783,0,0.718555,9.0097,11.4871,5.91226,0,10.4058,56.9195,0,14.6738,1.06891,15.3229,5.77618,6.10511,0,0,0,0
"MtrElec",1,1,9,"",321.836,0,8.191,0.251063,138.1,0,0.163783,0,0.450495,9.0097,11.4871,6.0188,0,8.6292,53.744,0,16.6734,0,48.8224,9.44234,10.8535,0,0,0,0
"MtrElec",1,1,10,"",343.594,0,5.32875,0,126.694,0,0.163783,0,0.217094,9.0097,11.4872,0.151918,0,7.3602,51.7744,0,16.3069,6.04963,79.8101,18.3867,10.8535,0,0,0,0
"MtrElec",1,1,11,"",351.06,0,2.99106,0,60.1265,0,0.163783,0,0.103838,9.0097,11.4872,0,0,6.8526,52.8005,0,16.08,10.2429,155.411,15.3894,10.4013,0,0,0,0
"MtrElec",1,1,12,"",359.969,0,1.61762,0,105.01,0,0.163783,0,0.0437976,9.0097,11.4872,0,0,6.345,52.0002,0,16.4414,4.96314,130.077,10.3739,12.4363,0,0,0,0
"MtrElec",1,1,13,"",312.346,0,0.72791,0,94.2909,0,0.163783,0,0.0325695,9.0097,11.4872,0,0,5.3298,53.1487,0,16.7817,10.9151,87.6841,8.52904,14.2453,0,0,0,0
"MtrElec",1,1,14,"",204.315,0,0.336164,0,16.9107,0,0.163783,0,0.00656873,9.0097,11.4873,0,0,5.3298,54.647,0,17.0017,0,72.0906,3.99134,13.3408,0,0,0,0
"MtrElec",1,1,15,"",212.551,0,0.164358,0,62.7887,0,0.163783,0,0,9.0097,11.4874,0,0,5.3298,57.1222,0,16.7589,0,33.7363,1.97117,14.0191,0,0,0,0
"MtrElec",1,1,16,"",208.524,0,0.240118,0,65.4372,0,0.163783,0,0,9.0097,11.4873,0,0,6.5988,59.8622,0,17.1577,0,16.6611,6.53062,15.3758,0,0,0,0
"MtrElec",1,1,17,"",218.532,0,0.657882,0,22.1752,0,0.163783,0,0.00513841,9.0097,11.4872,0,0,7.8678,66.6719,0,16.8443,0,55.1992,7.87351,20.5765,0,0,0,0
"MtrElec",1,1,18,"",314.718,0,1.31547,0,78.1765,0,0.163783,0,0.0319576,9.0097,11.4872,0,0,11.1672,74.336,0,17.8298,3.64801,66.5499,9.57232,31.43,0,0,0,0
"MtrElec",1,1,19,"",380.6,0,2.11919,0,117.587,0,0.163783,0,0.0828903,9.0097,11.4873,0.0673521,0,21.3192,79.8369,0,19.1468,5.70828,80.9088,3.99394,29.1689,0,0,0,0
"MtrElec",1,1,20,"",285.049,0,2.80184,0,67.2939,0,0.163783,0,0.108742,9.0097,11.4873,0.374488,0,29.6946,82.9684,0,18.7744,10.4467,33.7583,1.88629,16.2803,0,0,0,0
"MtrElec",1,1,21,"",268.06,0,3.03776,0,84.4456,0,0.163783,0,0.134157,9.0097,11.4873,0.374488,0,28.6794,86.0232,0,18.2811,1.1769,15.9436,2.06695,7.23569,0,0,0,0
"MtrElec",1,1,22,"",235.878,0,3.21662,0,59.3828,0,0.163783,0,0.162922,9.0097,11.4873,0,0,24.3648,85.0899,0,17.5381,1.2979,17.4706,3.52809,3.16561,0,0,0,0
"MtrElec",1,1,23,"",217.162,0,4.17342,0,46.5094,0,0.163783,0,0.231855,9.0097,11.4873,0.0538623,0,15.9894,73.9478,0,16.1451,4.94855,29.8207,2.64597,2.03504,0,0,0,0
"MtrElec",1,1,24,"",146.012,0,5.94163,0,0,0,0.163783,0,0.339251,9.0097,11.4872,0.315013,0,9.8982,62.7554,0,16.2887,4.95004,22.3647,0,1.13058,0,1.36769,0,0
"MtrElec",1,2,1,"",117.632,0,7.47711,0,0,0,0.163783,0,0.422926,9.0097,11.4872,6.0636,0,5.8374,51.197,0,14.5896,2.47455,0,0,1.13058,0,7.77837,0,0
"MtrElec",1,2,2,"",113.656,0,8.03825,0,0,0,0.163783,0,0.4589,9.0097,11.4872,6.04246,0,4.8222,46.7506,0,14.2029,1.69764,0,0,0.904462,0,10.0782,0,0
"MtrElec",1,2,3,"",160.797,0,8.88523,0,50.9704,0,0.163783,0,0.535407,9.0097,11.4871,5.99882,0,3.807,44.988,0,13.718,3.25256,0,0.385447,0.904462,0,6.69107,0,0
"MtrElec",1,2,4,"",117.335,0,10.9031,0,1.90703,0,0.163783,0,0.740107,9.0097,11.4871,5.97397,0,4.3146,44.7238,0,13.4987,0,3.25794,0.496546,0.904462,0,9.95436,0,0
"MtrElec",1,2,5,"",119.203,0,11.9955,0,4.3834,0,0.163783,0,0.890448,9.0097,11.4871,5.93263,0,5.3298,42.6485,0,13.1104,0,4.19699,0,0.904462,0,9.14991,0,0
"MtrElec",1,2,6,"",119.931,0,10.0199,0,6.44837,0,0.163783,0,0.673596,9.0097,11.4871,5.90935,0,7.8678,46.6061,0,13.5597,0,0,0,3.16561,0,5.01983,0,0
"MtrElec",1,2,7,"",198.204,0,8.34408,0,77.5323,0,0.163783,0,0.506346,9.0097,11.4872,5.98237,0,10.6596,54.526,0,15.228,0,0,0.468189,4.29619,0,0,0,0
"MtrElec",1,2,8,"",298.976,0,9.34938,0,156.813,0,0.163783,0,0.68356,9.0097,11.4871,5.98736,0,10.4058,60.4814,0,16.6933,2.58527,3.95731,5.70603,5.65288,0,0,0,0
"MtrElec",1,2,9,"",292.859,0,8.56538,0,109.204,0,0.163783,0,0.718761,9.0097,11.4872,6.01315,0,8.6292,59.3392,0,16.2017,6.10072,48.2295,3.31761,5.879,0,0,0,0
"MtrElec",1,2,10,"",243.363,0,7.47552,0,81.4609,0,0.163783,0,0.772794,9.0097,11.4869,0,0,7.3602,58.8664,0,14.9956,9.3224,28.0416,9.43204,4.97454,0,0,0,0
"MtrElec",1,2,11,"",274.13,0,6.01505,0,69.2601,0,0.163783,0,0.5938,9.0097,11.4872,0,0,6.8526,59.1677,0,14.5894,5.7197,79.7231,6.79933,4.74842,0,0,0,0
"MtrElec",1,2,12,"",253.201,0,5.44099,0,76.2101,0,0.163783,0,0.581269,9.0097,11.4874,0,0,6.345,59.1677,0,14.7609,5.26854,57.4705,0.738297,6.55734,0,0,0,0
"MtrElec",1,2,13,"",179.289,0,5.12325,0,55.4428,0,0.163783,0,0.524742,9.0097,11.4873,0,0,5.3298,59.2479,0,15.2111,3.18173,6.24036,0.412509,7.91404,0,0,0,0
"MtrElec",1,2,14,"",171.29,0,6.26756,0,51.9008,0,0.163783,0,0.671415,9.0097,11.4876,0.0607787,0,5.3298,60.3533,0,14.8529,0,3.48668,0.469537,7.23569,0,0,0,0
"MtrElec",1,2,15,"",180.112,0,7.78461,0,47.7554,0,0.163783,0,0.854718,9.0097,11.4874,6.10408,0,5.3298,62.172,0,15.0805,2.47465,3.9687,0.238764,7.68792,0,0,0,0
"MtrElec",1,2,16,"",171.369,0,8.76214,0,33.2136,0,0.163783,0,0.964103,9.0097,11.4873,6.07654,0,6.5988,63.7188,0,15.1902,0,2.01812,2.40773,11.758,0,0,0,0
"MtrElec",1,2,17,"",201.884,0,9.36122,0.0350423,22.9723,0,0.163783,0,0.9905,9.0097,11.4874,6.03861,0,7.8678,70.6647,0,15.5569,0.530617,20.3511,0.851233,26.0033,0,0,0,0
"MtrElec",1,2,18,"",265.819,0,9.08023,0.401753,63.4952,0,0.163783,0,0.874883,9.0097,11.4874,6.00156,0,11.1672,76.6157,0,17.0337,6.12925,7.19494,3.52304,43.6403,0,0,0,0
"MtrElec",1,2,19,"",287.617,0,6.66089,0.116039,55.6951,0,0.163783,0,0.548504,9.0097,11.4872,6.01851,0,21.3192,81.4779,0,18.4842,3.64857,29.7781,2.50869,40.7008,0,0,0,0
"MtrElec",1,2,20,"",308.838,0,5.04431,0,88.4796,0,0.163783,0,0.317869,9.0097,11.4873,6.07868,0,29.6946,85.7687,0,18.558,4.19983,21.2043,6.67204,22.1593,0,0,0,0
"MtrElec",1,2,21,"",365.12,0,6.77144,0.237858,114.978,0,0.163783,0,0.418568,9.0097,11.4872,6.07601,0,28.6794,88.9865,0,17.654,9.79747,56.3945,4.96868,9.49684,0,0,0,0
"MtrElec",1,2,22,"",280.769,0,8.96924,0.692757,62.3877,0,0.163783,0,0.627383,9.0097,11.4872,6.05766,0,24.3648,87.7289,0,16.8191,1.95897,41.9971,3.98203,4.52231,0,0,0,0
"MtrElec",1,2,23,"",222.655,0,14.7273,1.28293,30.7304,0,0.163783,0,1.21548,9.0097,11.4872,5.97068,0,15.9894,75.7196,0,15.7294,0.958384,33.6576,3.29997,2.71338,0,0,0,0
"MtrElec",1,2,24,"",227.507,0,19.5877,1.91162,55.4148,0,0.163783,0,1.73602,9.0097,11.4871,5.85206,0,9.8982,63.8372,0,14.4403,2.47529,27.8926,1.53913,2.26115,0,0,0,0
"MtrElec",1,3,1,"",142.819,0,21.425,1.64541,0,0,0.163783,0,1.97308,9.0097,11.4871,5.73814,0,5.8374,51.3333,0,14.7168,0,13.0093,0,1.13058,0,5.3496,0,0
"MtrElec",1,3,2,"",126.87,0,22.4422,1.41001,0,0,0.163783,0,2.10898,9.0097,11.4871,5.68838,0,4.8222,47.2797,0,14.0586,0,0,0,0.904462,0,7.49457,0,0
"MtrElec",1,3,3,"",127.047,0,22.6442,1.14135,0,0,0.163783,0,2.14762,9.0097,11.4872,5.65159,0,3.807,44.8524,0,13.7973,2.93223,0,0,0.678346,0,8.73481,0,0
"MtrElec",1,3,4,"",172.18,0,22.8819,1.21165,43.7119,0,0.163783,0,2.14768,9.0097,11.4872,5.64351,0,4.3146,44.7245,0,13.4639,2.01875,0,4.41027,0.678346,0,6.31236,0,0
"MtrElec",1,3,5,"",163.91,0,25.8655,2.38765,0,0,0.163783,0,2.44814,9.0097,11.4871,5.64362,0,5.3298,42.5129,0,12.9773,0,37.2773,0,0.678346,0,8.1289,0,0
"MtrElec",1,3,6,"",132.359,0,26.005,2.69679,0,0,0.163783,0,2.45118,9.0097,11.4871,5.58308,0,7.8678,46.3646,0,12.8961,0,0,0,1.13058,0,6.70338,0,0
"MtrElec",1,3,7,"",190.712,0,22.7297,2.21957,55.5535,0,0.163783,0,2.0089,9.0097,11.4871,5.57435,0,10.6596,52.3149,0,13.1549,0,0,1.76386,2.26115,0,1.81104,0,0
"MtrElec",1,3,8,"",223.431,0,23.1605,2.12532,65.8681,0,0.163783,0,2.1455,9.0097,11.4871,5.65123,0,10.4058,57.1022,0,14.3463,0,14.9088,0.951759,6.10511,0,0,0,0
"MtrElec",1,3,9,"",247.578,0,21.7032,1.56909,87.6577,0,0.163783,0,2.10802,9.0097,11.4871,5.61645,0,8.6292,54.6987,0,16.4522,4.95078,8.04462,4.63415,10.8535,0,0,0,0
"MtrElec",1,3,10,"",322.129,0,17.3463,0.356785,137.087,0,0.163783,0,1.69737,9.0097,11.4871,5.62646,0,7.3602,54.5556,0,15.9552,0,39.1696,11.4594,10.8535,0,0,0,0
"MtrElec",1,3,11,"",350.56,0,11.8296,0,118.729,0,0.163783,0,1.06859,9.0097,11.4872,5.72643,0,6.8526,55.5818,0,15.6809,2.55955,96.8591,4.61128,10.4013,0,0,0,0
"MtrElec",1,3,12,"",271.108,0,6.46574,0,97.1361,0,0.163783,0,0.504064,9.0097,11.487,0,0,6.345,54.7814,0,15.962,9.50289,38.9762,8.3376,12.4363,0,0,0,0
"MtrElec",1,3,13,"",268.71,0,3.26083,0,74.8208,0,0.163783,0,0.143741,9.0097,11.4872,0,0,5.3298,53.2685,0,16.2511,6.01895,70.4725,4.23754,14.2453,0,0,0,0
"MtrElec",1,3,14,"",244.548,0,1.59769,0,86.592,0,0.163783,0,0.0356875,9.0097,11.4872,0,0,5.3298,54.7668,0,16.455,1.7221,35.8172,8.2307,13.3408,0,0,0,0
"MtrElec",1,3,15,"",245.158,0,1.28215,0,52.8552,0,0.163783,0,0.0190355,9.0097,11.4872,0,0,5.3298,57.2419,0,16.2153,4.94981,69.5689,3.01641,14.0191,0,0,0,0
"MtrElec",1,3,16,"",208.979,0,1.17777,0,59.7872,0,0.163783,0,0.0103921,9.0097,11.4872,0,0,6.5988,59.9819,0,16.7664,0,25.4958,3.12436,15.3758,0,0,0,0
"MtrElec",1,3,17,"",217.444,0,1.34101,0,54.9493,0,0.163783,0,0.013356,9.0097,11.4872,0,0,7.8678,66.7916,0,16.2786,0,26.4082,2.55698,20.5765,0,0,0,0
"MtrElec",1,3,18,"",264.272,0,1.71203,0,77.3729,0,0.163783,0,0.0233983,9.0097,11.4872,0,0,11.1672,74.551,0,17.3152,0,21.6125,8.42699,31.43,0,0,0,0
"MtrElec",1,3,19,"",339.314,0,1.76495,0,87.8743,0,0.163783,0,0.0254754,9.0097,11.4873,0,0,21.3192,79.7447,0,18.8157,3.21988,71.228,5.49195,29.1689,0,0,0,0
"MtrElec",1,3,20,"",285.56,0,2.07187,0,56.372,0,0.163783,0,0.0394448,9.0097,11.4872,0,0,29.6946,82.7995,0,18.4304,9.15292,46.42,3.6382,16.2803,0,0,0,0
"MtrElec",1,3,21,"",270.258,0,2.82507,0,65.2383,0,0.163783,0,0.0913493,9.0097,11.4873,0.0567736,0,28.6794,85.8542,0,17.913,5.21615,30.7514,5.73584,7.23569,0,0,0,0
"MtrElec",1,3,22,"",275.724,0,4.00044,0,61.0595,0,0.163783,0,0.180759,9.0097,11.4873,0.340642,0,24.3648,84.6139,0,17.1904,11.1458,48.4814,0.520187,3.16561,0,0,0,0
"MtrElec",1,3,23,"",221.475,0,6.1173,0,58.6088,0,0.163783,0,0.308368,9.0097,11.4872,6.12607,0,15.9894,75.606,0,15.6751,11.1045,4.39682,4.84706,2.03504,0,0,0,0
"MtrElec",1,3,24,"",175.24,0,11.9537,0.11073,0,0,0.163783,0,0.823603,9.0097,11.4872,5.99341,0,9.8982,62.7554,0,15.9956,2.23321,40.9691,0.445769,1.13058,0,2.27029,0,0
"MtrElec",1,4,1,"",132.939,0,17.853,0.818255,0,0,0.163783,0,1.5136,9.0097,11.4872,5.88097,0,5.8374,51.3333,0,14.669,0,3.7678,0,1.13058,0,9.4747,0,0
"MtrElec",1,4,2,"",126.074,0,21.1009,1.19122,0,0,0.163783,0,1.9009,9.0097,11.4872,5.75718,0,4.8222,47.2797,0,14.0053,0,0,0,0.904462,0,8.45112,0,0
"MtrElec",1,4,3,"",175.574,0,23.5377,1.49506,46.5089,0,0.163783,0,2.18995,9.0097,11.4871,5.68432,0,3.807,44.8524,0,13.7385,4.39834,0,0,0.678346,0,8.02309,0,0
"MtrElec",1,4,4,"",134.695,0,26.5438,2.0072,0,0,0.163783,0,2.56109,9.0097,11.4872,5.62015,0,4.3146,44.7245,0,13.3966,3.02812,0,3.52822,0.678346,0,7.63127,0,0
