"MF88 Individual Supply + Central Exhaust (SZHP)  /  Proposed (PV-Batt only)  /  MF88Unit_ISUP_CEXH-SZHP_CZ9.cibd25x",001
"Sat 23-May-26  11: am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",189.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.004,0,0,0
"MtrElec",1,1,2,"",172.839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.839,0,0,0
"MtrElec",1,1,3,"",170.349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.349,0,0,0
"MtrElec",1,1,4,"",173.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.051,0,0,0
"MtrElec",1,1,5,"",172.468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.468,0,0,0
"MtrElec",1,1,6,"",256.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256.018,0,0,0
"MtrElec",1,1,7,"",231.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231.345,0,0,0
"MtrElec",1,1,8,"",200.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.344,0,0,-98.247
"MtrElec",1,1,9,"",97.0021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395.204,0,0,-298.202
"MtrElec",1,1,10,"",-40.5547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417.148,0,0,-457.703
"MtrElec",1,1,11,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462.908,0,94.4647,-557.373
"MtrElec",1,1,12,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473.568,0,121.061,-594.628
"MtrElec",1,1,13,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447.325,0,130.923,-578.248
"MtrElec",1,1,14,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338.528,0,16.0962,-354.624
"MtrElec",1,1,15,"",55.1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345.895,0,0,-290.765
"MtrElec",1,1,16,"",164.363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.234,0,0,-177.871
"MtrElec",1,1,17,"",334.973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356.582,0,0,-21.6091
"MtrElec",1,1,18,"",431.298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431.298,0,0,0
"MtrElec",1,1,19,"",248.581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470.507,0,-221.926,0
"MtrElec",1,1,20,"",246.753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352.024,0,-105.271,0
"MtrElec",1,1,21,"",333.321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333.321,0,0,0
"MtrElec",1,1,22,"",299.361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299.361,0,0,0
"MtrElec",1,1,23,"",277.665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277.665,0,0,0
"MtrElec",1,1,24,"",204.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.73,0,0,0
"MtrElec",1,2,1,"",176.227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.227,0,0,0
"MtrElec",1,2,2,"",171.492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.492,0,0,0
"MtrElec",1,2,3,"",219.488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.488,0,0,0
"MtrElec",1,2,4,"",176.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.014,0,0,0
"MtrElec",1,2,5,"",176.941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.941,0,0,0
"MtrElec",1,2,6,"",178.651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.651,0,0,0
"MtrElec",1,2,7,"",267.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267.425,0,0,0
"MtrElec",1,2,8,"",388.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390.11,0,0,-2.06916
"MtrElec",1,2,9,"",372.477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421.464,0,0,-48.987
"MtrElec",1,2,10,"",368.818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420.799,0,0,-51.9805
"MtrElec",1,2,11,"",384.604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454.06,0,0,-69.4563
"MtrElec",1,2,12,"",355.319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440.183,0,0,-84.8637
"MtrElec",1,2,13,"",277.884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368.156,0,0,-90.2724
"MtrElec",1,2,14,"",315.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.397,0,0,-44.8607
"MtrElec",1,2,15,"",315.472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365.72,0,0,-50.2479
"MtrElec",1,2,16,"",336.561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356.767,0,0,-20.2054
"MtrElec",1,2,17,"",387.897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389.213,0,0,-1.31537
"MtrElec",1,2,18,"",450.757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450.757,0,0,0
"MtrElec",1,2,19,"",433.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.57,0,0,0
"MtrElec",1,2,20,"",451.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.351,0,0,0
"MtrElec",1,2,21,"",498.247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498.247,0,0,0
"MtrElec",1,2,22,"",370.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370.105,0,0,0
"MtrElec",1,2,23,"",284.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284.138,0,0,0
"MtrElec",1,2,24,"",287.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.24,0,0,0
"MtrElec",1,3,1,"",203.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.171,0,0,0
"MtrElec",1,3,2,"",187.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.24,0,0,0
"MtrElec",1,3,3,"",186.805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.805,0,0,0
"MtrElec",1,3,4,"",230.892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.892,0,0,0
"MtrElec",1,3,5,"",222.624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.624,0,0,0
"MtrElec",1,3,6,"",191.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.08,0,0,0
"MtrElec",1,3,7,"",260.676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260.676,0,0,0
"MtrElec",1,3,8,"",303.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303.922,0,0,0
"MtrElec",1,3,9,"",331.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352.286,0,0,-20.4866
"MtrElec",1,3,10,"",407.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.284,0,0,-54.0584
"MtrElec",1,3,11,"",366.959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528.96,0,0,-162.001
"MtrElec",1,3,12,"",231.548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453.439,0,0,-221.892
"MtrElec",1,3,13,"",196.751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452.303,0,0,-255.552
"MtrElec",1,3,14,"",68.228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429.701,0,0,-361.473
"MtrElec",1,3,15,"",116.753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428.711,0,0,-311.958
"MtrElec",1,3,16,"",295.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393.461,0,0,-97.7408
