"MF88 Individual Supply + Central Exhaust (SZHP)  /  Proposed-x  /  MF88Unit_ISUP_CEXH-SZHP_CZ9.cibd25x",003
"Sat 23-May-26  11: am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",148.217,0,27.2338,0,0,0,0.163783,0,0.264117,9.0097,8.36556,5.83799,0,5.8374,51.3333,0,15.0921,0,18.5615,0,1.13058,0,5.38668,0,0
"MtrElec",1,1,2,"",134.434,0,31.309,0,1.02995,0,0.163783,0,0.53437,9.0097,8.36555,5.81046,0,4.8222,47.2797,0,14.3722,2.47506,0,0,0.904462,0,8.35717,0,0
"MtrElec",1,1,3,"",227.665,0,33.9156,0,95.7586,0,0.163783,0,0.743349,9.0097,8.36556,5.74485,0,3.807,44.8524,0,14.0804,0,0,0,0.678346,0,10.5459,0,0
"MtrElec",1,1,4,"",136.685,0,36.2797,0,1.43289,0,0.163783,0,0.908148,9.0097,8.36555,5.6986,0,4.3146,44.7245,0,13.7242,0,0,0,0.678346,0,11.3848,0,0
"MtrElec",1,1,5,"",138.826,0,38.8944,0,3.02599,0,0.163783,0,1.13256,9.0097,8.36557,5.66447,0,5.3298,42.5129,0,13.2494,0,0,0,0.678346,0,10.7988,0,0
"MtrElec",1,1,6,"",138.479,0,41.8878,0,0.149817,0,0.163783,0,1.26693,9.0097,8.36557,5.62749,0,7.8678,46.3646,0,13.1675,0,0,0,1.13058,0,3.4771,0,0
"MtrElec",1,1,7,"",252.749,0,43.5772,0,102.951,0,0.163783,0,1.25419,9.0097,8.36557,5.609,0,10.6596,52.2089,0,13.469,1.40649,0,1.81286,2.26115,0,0,0,0
"MtrElec",1,1,8,"",289.295,0,37.764,0,117.335,0,0.163783,0,0.813382,9.0097,8.36558,5.61423,0,10.4058,56.9195,0,14.631,1.06891,15.3229,5.77618,6.10511,0,0,0,0
"MtrElec",1,1,9,"",319.153,0,31.4794,0,115.787,0,0.163783,0,0.507701,9.0097,8.36561,5.70177,0,8.6292,53.744,0,16.6458,0,48.8224,9.44234,10.8535,0,0,0,0
"MtrElec",1,1,10,"",330.996,0,21.9009,0,100.814,0,0.163783,0,0.237416,9.0097,8.36562,0,0,7.3602,51.7744,0,16.2695,6.04963,79.8101,18.3867,10.8535,0,0,0,0
"MtrElec",1,1,11,"",396.962,0,15.7894,0,96.377,0,0.163783,0,0.113677,9.0097,8.36566,0,0,6.8526,52.8005,0,16.0454,10.2429,155.411,15.3894,10.4013,0,0,0,0
"MtrElec",1,1,12,"",357.438,0,12.026,0,95.2257,0,0.163783,0,0.0458042,9.0097,8.36568,0,0,6.345,52.0002,0,16.406,4.96314,130.077,10.3739,12.4363,0,0,0,0
