"MF88 Individual Supply + Central Exhaust (SZHP)  /  Proposed  /  MF88Unit_ISUP_CEXH-SZHP_CZ9.cibd25x",002
"Sat 23-May-26  11: am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",139.94,0,19.3808,0,0,0,0.163783,0,0.257004,9.0097,8.12225,5.83809,0,5.8374,51.3333,0,15.1057,0,18.5615,0,1.13058,0,5.19991,0,0
"MtrElec",1,1,2,"",125.03,0,23.2836,0,0,0,0.163783,0,0.506199,9.0097,8.12221,5.81145,0,4.8222,47.2797,0,14.3847,2.47506,0,0,0.904462,0,8.26723,0,0
"MtrElec",1,1,3,"",123.719,0,26.0394,0,0,0,0.163783,0,0.708413,9.0097,8.12219,5.75226,0,3.807,44.8524,0,14.0926,0,0,0,0.678346,0,10.4925,0,0
"MtrElec",1,1,4,"",127.143,0,28.4665,0,0,0,0.163783,0,0.873833,9.0097,8.12219,5.70597,0,4.3146,44.7245,0,13.7363,0,0,0,0.678346,0,11.3473,0,0
"MtrElec",1,1,5,"",127.608,0,31.0068,0,0,0,0.163783,0,1.08218,9.0097,8.12217,5.67095,0,5.3298,42.5129,0,13.2631,0,0,0,0.678346,0,10.7682,0,0
"MtrElec",1,1,6,"",213.237,0,34.4784,0,82.5922,0,0.163783,0,1.21738,9.0097,8.1222,5.63553,0,7.8678,46.3646,0,13.1813,0,0,0,1.13058,0,3.47381,0,0
"MtrElec",1,1,7,"",188.955,0,36.5842,0,46.411,0,0.163783,0,1.21519,9.0097,8.1222,5.61547,0,10.6596,52.2089,0,13.4847,1.40649,0,1.81286,2.26115,0,0,0,0
"MtrElec",1,1,8,"",253.129,0,30.7782,0,88.4115,0,0.163783,0,0.780182,9.0097,8.1222,5.61951,0,10.4058,56.9195,0,14.6457,1.06891,15.3229,5.77618,6.10511,0,0,0,0
"MtrElec",1,1,9,"",334.251,0,24.5155,0,138.101,0,0.163783,0,0.485194,9.0097,8.12224,5.70678,0,8.6292,53.744,0,16.6554,0,48.8224,9.44234,10.8535,0,0,0,0
"MtrElec",1,1,10,"",351.842,0,17.1057,0,126.695,0,0.163783,0,0.228718,9.0097,8.12227,0,0,7.3602,51.7744,0,16.2823,6.04963,79.8101,18.3867,10.8535,0,0,0,0
"MtrElec",1,1,11,"",354.944,0,10.2567,0,60.1275,0,0.163783,0,0.110109,9.0097,8.1223,0,0,6.8526,52.8005,0,16.0567,10.2429,155.411,15.3894,10.4013,0,0,0,0
"MtrElec",1,1,12,"",361.554,0,6.58897,0,105.011,0,0.163783,0,0.0456454,9.0097,8.12231,0,0,6.345,52.0002,0,16.417,4.96314,130.077,10.3739,12.4363,0,0,0,0
"MtrElec",1,1,13,"",311.297,0,3.06746,0,94.2916,0,0.163783,0,0.0340327,9.0097,8.12235,0,0,5.3298,53.1487,0,16.7564,10.9151,87.6841,8.52904,14.2453,0,0,0,0
"MtrElec",1,1,14,"",202.381,0,1.79113,0,16.9114,0,0.163783,0,0.00695262,9.0097,8.12235,0,0,5.3298,54.647,0,16.9764,0,72.0906,3.99134,13.3408,0,0,0,0
"MtrElec",1,1,15,"",210.265,0,1.2686,0,62.7895,0,0.163783,0,0,9.0097,8.12235,0,0,5.3298,57.1222,0,16.7328,0,33.7363,1.97117,14.0191,0,0,0,0
"MtrElec",1,1,16,"",206.549,0,1.6487,0,65.4381,0,0.163783,0,0,9.0097,8.12235,0,0,6.5988,59.8622,0,17.1377,0,16.6611,6.53062,15.3758,0,0,0,0
"MtrElec",1,1,17,"",217.657,0,3.17583,0,22.1752,0,0.163783,0,0.00561405,9.0097,8.12239,0,0,7.8678,66.6719,0,16.8159,0,55.1992,7.87351,20.5765,0,0,0,0
"MtrElec",1,1,18,"",315.402,0,5.38719,0,78.1776,0,0.163783,0,0.0340073,9.0097,8.12246,0,0,11.1672,74.336,0,17.8038,3.64801,66.5499,9.57232,31.43,0,0,0,0
"MtrElec",1,1,19,"",383.328,0,8.29191,0,117.589,0,0.163783,0,0.0863106,9.0097,8.12237,0,0,21.3192,79.8369,0,19.1293,5.70828,80.9088,3.99394,29.1689,0,0,0,0
"MtrElec",1,1,20,"",288.061,0,9.56951,0,67.2946,0,0.163783,0,0.111433,9.0097,8.12238,0,0,29.6946,82.9684,0,18.7549,10.4467,33.7583,1.88629,16.2803,0,0,0,0
"MtrElec",1,1,21,"",270.995,0,9.7316,0,84.4465,0,0.163783,0,0.136691,9.0097,8.12237,0,0,28.6794,86.0232,0,18.2589,1.1769,15.9436,2.06695,7.23569,0,0,0,0
"MtrElec",1,1,22,"",239.05,0,9.77166,0,59.3835,0,0.163783,0,0.165328,9.0097,8.12237,0,0,24.3648,85.0899,0,17.5164,1.2979,17.4706,3.52809,3.16561,0,0,0,0
"MtrElec",1,1,23,"",222.561,0,13.0149,0,46.5101,0,0.163783,0,0.237435,9.0097,8.12228,0,0,15.9894,73.9478,0,16.1155,4.94855,29.8207,2.64597,2.03504,0,0,0,0
"MtrElec",1,1,24,"",154.38,0,18.0004,0,0,0,0.163783,0,0.346515,9.0097,8.12226,0,0,9.8982,62.7554,0,16.2701,4.95004,22.3647,0,1.13058,0,1.36829,0,0
"MtrElec",1,2,1,"",128.269,0,21.7662,0,0,0,0.163783,0,0.439972,9.0097,8.12224,5.7873,0,5.8374,51.197,0,14.5615,2.47455,0,0,1.13058,0,7.77886,0,0
"MtrElec",1,2,2,"",124.822,0,22.8586,0,0,0,0.163783,0,0.471807,9.0097,8.12222,5.76376,0,4.8222,46.7506,0,14.1789,1.69764,0,0,0.904462,0,10.0786,0,0
"MtrElec",1,2,3,"",172.97,0,24.6552,0,50.9717,0,0.163783,0,0.568187,9.0097,8.12222,5.75581,0,3.807,44.988,0,13.694,3.25256,0,0.385447,0.904462,0,6.69155,0,0
"MtrElec",1,2,4,"",132.193,0,29.3363,0,1.90703,0,0.163783,0,0.790865,9.0097,8.12222,5.73507,0,4.3146,44.7238,0,13.4755,0,3.25794,0.496546,0.904462,0,9.95473,0,0
"MtrElec",1,2,5,"",134.895,0,31.2435,0,4.3834,0,0.163783,0,0.964934,9.0097,8.12223,5.69214,0,5.3298,42.6485,0,13.0854,0,4.19699,0,0.904462,0,9.15034,0,0
"MtrElec",1,2,6,"",133.706,0,27.3882,0,6.44837,0,0.163783,0,0.718073,9.0097,8.12226,5.66488,0,7.8678,46.6061,0,13.5309,0,0,0,3.16561,0,5.02037,0,0
"MtrElec",1,2,7,"",209.829,0,23.5965,0,77.5334,0,0.163783,0,0.533694,9.0097,8.12224,5.71529,0,10.6596,54.526,0,15.2049,0,0,0.468189,4.29619,0,0,0,0
"MtrElec",1,2,8,"",310.923,0,24.8815,0,156.815,0,0.163783,0,0.716446,9.0097,8.12224,5.75049,0,10.4058,60.4814,0,16.6756,2.58527,3.95731,5.70603,5.65288,0,0,0,0
"MtrElec",1,2,9,"",301.892,0,21.2402,0,109.206,0,0.163783,0,0.75459,9.0097,8.12226,5.71818,0,8.6292,59.3392,0,16.1822,6.10072,48.2295,3.31761,5.879,0,0,0,0
