1,CSE Zone Surface Areas file format version number,
CompMgr:,,"BEMCmpMgr 2025.2.0.1 (625)",
Ruleset:,,"CA 2025 Nonresidential, Vers. 1.0 (T24_2025.bin)",
CSE:,,-,
Calculation Date/Time:,,,"2026-05-23T11:32:07-04:00",
Input File Name:,,,"MF88Unit_ISUP_CEXH-SZHP_CZ9",,,,,Areas include all sides exposed to the zone
,
Zone,,Zone,Num of,Exterior/Underground Surface Areas,,,,,Zone Boundary Areas Added,,,Interior Mass,,Other Interior Surface Areas,
Name,Conditioning,Area ft2,Exposures,Gr Wall ft2,Win Ft2,Floor ft2,Gr Ceiling ft2,Skylt ft2,Wall ft2,Floor ft2,Ceiling ft2,Wall ft2,Furn ft2,Wall ft2,Floor ft2,Ceiling ft2,
"F2 Res Zn E Court-zn",Conditioned,1440,1,600,205.875,0,0,0,0,0,0,2340,5760,1080,1440,1440,
"F2 Res Zn E Perim-zn",Conditioned,2160,1,720,211.77,0,0,0,0,0,0,3660,8640,1320,2250,2160,
"F2 Res Zn N Perim-zn",Conditioned,3600,1,1200,352.935,0,0,0,0,0,0,6300,14400,1800,3713,3600,
"F2 Res Zn NE Perim-zn",Conditioned,1410,2,770,226.47,0,0,0,0,0,0,2435,5640,770,1410,1410,
"F2 Res Zn NW Perim-zn",Conditioned,1410,2,770,226.47,0,0,0,0,0,0,2435,5640,770,1410,1410,
"F2 Res Zn S Court 1-Bed-zn",Conditioned,720,1,240,70.59,0,0,0,0,0,0,1020,2880,840,720,720,
"F2 Res Zn S Court 2-Bed-zn",Conditioned,2160,1,240,70.59,0,0,0,0,0,0,3120,8640,2400,2712,2160,
"F2 Res Zn SE Court-zn",Conditioned,540,2,480,141.165,0,0,0,0,0,0,840,2160,480,540,540,
"F2 Res Zn SW Court-zn",Conditioned,540,2,480,141.165,0,0,0,0,0,0,840,2160,480,540,540,
"F2 Res Zn SE Perim-zn",Conditioned,1080,2,660,194.115,0,0,0,0,0,0,1830,4320,660,1080,1080,
"F2 Res Zn SW Perim-zn",Conditioned,1080,2,660,194.115,0,0,0,0,0,0,1830,4320,660,1080,1080,
"F2 Res Zn W Court-zn",Conditioned,1440,1,600,205.875,0,0,0,0,0,0,2340,5760,1080,1440,1440,
"F2 Res Zn W Perim-zn",Conditioned,2160,1,720,211.77,0,0,0,0,0,0,3660,8640,1320,2160,2160,
"F3 Res Zn E Court-zn",Conditioned,1440,1,600,205.875,0,0,0,0,0,0,2340,5760,1080,1440,1440,
"F3 Res Zn E Perim-zn",Conditioned,2160,1,720,211.77,0,0,0,0,0,0,3660,8640,1320,2160,2160,
"F3 Res Zn N Perim-zn",Conditioned,3600,1,1200,352.935,0,0,0,0,0,0,6300,14400,1800,3600,3600,
"F3 Res Zn NE Perim-zn",Conditioned,1410,2,770,226.47,0,0,0,0,0,0,2435,5640,770,1410,1410,
"F3 Res Zn NW Perim-zn",Conditioned,1410,2,770,226.47,0,0,0,0,0,0,2435,5640,770,1410,1410,
"F3 Res Zn S Court 1-Bed-zn",Conditioned,720,1,240,70.59,0,0,0,0,0,0,1020,2880,840,720,720,
"F3 Res Zn S Court 2-Bed-zn",Conditioned,2160,1,240,70.59,0,0,0,0,0,0,3120,8640,2400,2160,2160,
"F3 Res Zn SE Court-zn",Conditioned,540,2,480,141.165,0,0,0,0,0,0,840,2160,480,540,540,
"F3 Res Zn SW Court-zn",Conditioned,540,2,480,141.165,0,0,0,0,0,0,840,2160,480,540,540,
"F3 Res Zn SE Perim-zn",Conditioned,1080,2,660,194.115,0,0,0,0,0,0,1830,4320,660,1080,1080,
"F3 Res Zn SW Perim-zn",Conditioned,1080,2,660,194.115,0,0,0,0,0,0,1830,4320,660,1080,1080,
"F3 Res Zn W Court-zn",Conditioned,1440,1,600,205.875,0,0,0,0,0,0,2340,5760,1080,1440,1440,
"F3 Res Zn W Perim-zn",Conditioned,2160,1,720,211.77,0,0,0,0,0,0,3660,8640,1320,2160,2160,
"F4 Res Zn E Court-zn",Conditioned,1440,1,600,205.875,0,0,0,0,0,0,2340,5760,1080,1440,1440,
"F4 Res Zn E Perim-zn",Conditioned,2160,1,720,211.77,0,0,0,0,0,0,3660,8640,1320,2160,2160,
"F4 Res Zn N Perim-zn",Conditioned,3600,1,1200,352.935,0,0,0,0,0,0,6300,14400,1800,3600,3600,
"F4 Res Zn NE Perim-zn",Conditioned,1410,2,770,226.47,0,0,0,0,0,0,2435,5640,770,1410,1410,
"F4 Res Zn NW Perim-zn",Conditioned,1410,2,770,226.47,0,0,0,0,0,0,2435,5640,770,1410,1410,
"F4 Res Zn S Court 1-Bed-zn",Conditioned,720,1,240,70.59,0,0,0,0,0,0,1020,2880,840,720,720,
"F4 Res Zn S Court 2-Bed-zn",Conditioned,2160,1,240,70.59,0,0,0,0,0,0,3120,8640,2400,2160,2160,
"F4 Res Zn SE Court-zn",Conditioned,540,2,480,141.165,0,0,0,0,0,0,840,2160,480,540,540,
"F4 Res Zn SW Court-zn",Conditioned,540,2,480,141.165,0,0,0,0,0,0,840,2160,480,540,540,
"F4 Res Zn SE Perim-zn",Conditioned,1080,2,660,194.115,0,0,0,0,0,0,1830,4320,660,1080,1080,
"F4 Res Zn SW Perim-zn",Conditioned,1080,2,660,194.115,0,0,0,0,0,0,1830,4320,660,1080,1080,
"F4 Res Zn W Court-zn",Conditioned,1440,1,600,205.875,0,0,0,0,0,0,2340,5760,1080,1440,1440,
"F4 Res Zn W Perim-zn",Conditioned,2160,1,720,211.77,0,0,0,0,0,0,3660,8640,1320,2160,2160,
"F5 Res Zn E Court-zn",Conditioned,1440,1,600,205.875,0,1440,0,0,0,0,2340,5760,1080,1440,0,
"F5 Res Zn E Perim-zn",Conditioned,2160,1,720,211.77,0,2160,0,0,0,0,3660,8640,1320,2160,0,
"F5 Res Zn N Perim-zn",Conditioned,3600,1,1200,352.935,0,3600,0,0,0,0,6300,14400,1800,3600,0,
"F5 Res Zn NE Perim-zn",Conditioned,1410,2,770,226.47,0,1410,0,0,0,0,2435,5640,770,1410,0,
"F5 Res Zn NW Perim-zn",Conditioned,1410,2,770,226.47,0,1410,0,0,0,0,2435,5640,770,1410,0,
"F5 Res Zn S Court 1-Bed-zn",Conditioned,720,1,240,70.59,0,720,0,0,0,0,1020,2880,840,720,0,
"F5 Res Zn S Court 2-Bed-zn",Conditioned,2160,1,240,70.59,0,2160,0,0,0,0,3120,8640,2400,2160,0,
"F5 Res Zn SE Court-zn",Conditioned,540,2,480,141.165,0,540,0,0,0,0,840,2160,480,540,0,
"F5 Res Zn SW Court-zn",Conditioned,540,2,480,141.165,0,540,0,0,0,0,840,2160,480,540,0,
"F5 Res Zn SE Perim-zn",Conditioned,1080,2,660,194.115,0,1080,0,0,0,0,1830,4320,660,1080,0,
"F5 Res Zn SW Perim-zn",Conditioned,1080,2,660,194.115,0,1080,0,0,0,0,1830,4320,660,1080,0,
"F5 Res Zn W Court-zn",Conditioned,1440,1,600,205.875,0,1440,0,0,0,0,2340,5760,1080,1440,0,
"F5 Res Zn W Perim-zn",Conditioned,2160,1,720,211.77,0,2160,0,0,0,0,3660,8640,1320,2160,0,
"F1 Business Center-zn",Directly Conditioned,360,1,150,17.64,0,0,0,0,0,0,525,1440,630,360,360,
"F1 Corridor-zn",Directly Conditioned,1464,2,670,90.615,0,0,0,0,0,0,2458,5856,3450,1464,1464,
"F1 Fitness Center-zn",Directly Conditioned,900,1,300,35.295,0,0,0,0,0,0,1500,3600,660,900,900,
"F1 Leasing Office-zn",Directly Conditioned,414,1,230,27.075,0,0,0,0,0,0,713,1656,590,414,414,
"F1 Lobby-zn",Directly Conditioned,1050,2,320,60.015,0,0,0,0,0,0,1600,4200,1360,1050,1140,
"F1 Mech Rm-zn",Unconditioned,384,0,0,0,0,0,0,0,0,0,518,1536,800,384,384,
"F1 Stairs E-zn",Directly Conditioned,180,0,100,0,0,0,0,0,0,0,130,720,460,180,180,
"F1 Stairs W-zn",Directly Conditioned,180,0,100,0,0,0,0,0,0,0,220,720,460,180,180,
"F2 Corridor-zn",Directly Conditioned,2340,0,0,0,0,0,0,0,0,0,1140,9360,7080,2340,2340,
"F2 Break Room-zn",Directly Conditioned,180,1,120,35.295,0,0,0,0,0,0,150,720,420,180,180,
"F2 Stairs E-zn",Directly Conditioned,180,0,100,0,0,0,0,0,0,0,130,720,460,180,180,
"F2 Stairs W-zn",Directly Conditioned,180,0,100,0,0,0,0,0,0,0,130,720,460,180,180,
"F3 Corridor-zn",Directly Conditioned,2340,0,0,0,0,0,0,0,0,0,1140,9360,7080,2340,2340,
"F3 Break Room-zn",Directly Conditioned,180,1,120,35.295,0,0,0,0,0,0,150,720,420,180,180,
"F3 Stairs E-zn",Directly Conditioned,180,0,100,0,0,0,0,0,0,0,130,720,460,180,180,
"F3 Stairs W-zn",Directly Conditioned,180,0,100,0,0,0,0,0,0,0,130,720,460,180,180,
"F4 Corridor-zn",Directly Conditioned,2340,0,0,0,0,0,0,0,0,0,1140,9360,7080,2340,2340,
"F4 Break Room-zn",Directly Conditioned,180,1,120,35.295,0,0,0,0,0,0,150,720,420,180,180,
"F4 Stairs E-zn",Directly Conditioned,180,0,100,0,0,0,0,0,0,0,130,720,460,180,180,
"F4 Stairs W-zn",Directly Conditioned,180,0,100,0,0,0,0,0,0,0,130,720,460,180,180,
"F5 Corridor-zn",Directly Conditioned,2340,0,0,0,0,2340,0,0,0,0,1140,9360,7080,2340,0,
"F5 Break Room-zn",Directly Conditioned,180,1,120,35.295,0,180,0,0,0,0,150,720,420,180,0,
"F5 Stairs E-zn",Directly Conditioned,180,0,100,0,0,180,0,0,0,0,130,720,460,180,0,
"F5 Stairs W-zn",Directly Conditioned,180,0,100,0,0,180,0,0,0,0,130,720,460,180,0,
"UG Garage-zn",Unconditioned,27900,0,16920,0,27900,0,0,0,0,0,55800,111600,0,0,4932,
