19,5,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC 2025.2.0.1 (1395)"
,CompMgr:,,"BEMCmpMgr 2025.2.0.1 (625)"
,OpenStudio:,,"n/a"
,EnergyPlus:,,"n/a"
,CSE:,,"CSE 0.927.0 EXE"
,Ruleset:,,"CA 2025 Nonresidential, Vers. 1.0 (T24_2025.bin)"
Run Title:,,,"MF8 Central Supply + Individual Exhaust (SZHP)"
Run Date/Time:,,,"2026-05-23 11:33:35"
NonRes Cond. Area:,,,0
Residential Cond. Area:,,,7320
Model:,,,"Standard"
Model File:,,,"C:\Users\MichaelSawford\A2 Efficiency\P-2050-006.00 SCE T24 Complex HVAC - Documents\4.00-Modeling\EX01b_MF Ventilation\MF08_1B_CSUP_IEXH_SZHP_CZ09\MF8Unit_CSUP_IEXH_SZHP_CZ09.cibd25x"

,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,LSC Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh)
1,1,1, 01/01 01,0,0,0.292356,0,0.0732819,0.507696,0,1.36184,2.04585,0.157374,0,0.873334,4.4384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1911,1269.81,1106.78,8.29512,89.9626,100,0.000438895,0.0060051,0.006288,0.00127989,0,0,
1,1,2, 01/01 02,0,0,0.292356,0,0.0732819,0.347076,0,1.25303,0.394942,0.130004,0,0.712714,2.49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2831,1269.81,1106.78,7.19566,89.9626,100,0.000380722,0.0060051,0.006288,0.000390829,0,0,
1,1,3, 01/01 03,0.173687,0,0.319594,0,0.0732819,0.40134,0,1.18786,0.380774,0.102635,0,0.967903,2.63917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.79372,1269.81,1106.78,4.74042,89.9626,100,0.000250816,0.0060051,0.006288,0,0,0,
1,1,4, 01/01 04,0.339769,0,0.345897,0,0.071349,0.492955,0,1.18448,0.371187,0.11632,0,1.24997,2.92195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.58349,1269.81,1106.78,4.31459,89.9626,100,0.000228285,0.0060051,0.006288,0,0,0,
1,1,5, 01/01 05,0.437009,0,0.361534,0,0.0694823,0.158973,0,1.12495,0.357056,0.143689,0,1.027,2.65269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54633,1269.81,1106.78,4.23227,89.9626,100,0.000223929,0.0060051,0.006288,0,0,0,
1,1,6, 01/01 06,0.455463,0,0.364723,0,0.0683724,0.506492,0,1.219,0.366847,0.212113,0,1.39505,3.19301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60773,1269.81,1106.78,4.35364,89.9626,100,0.000230351,0.0060051,0.006288,0,0,0,
1,1,7, 01/01 07,0.429257,0,0.360772,0,0.0681462,4.41517,0,1.369,0.594725,0.287378,0,5.27335,7.52445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.53865,1269.81,1106.78,5.54605,89.9626,100,0.000293441,0.0060051,0.006288,0.000150648,0,0,
1,1,8, 01/01 08,0.251474,0,0.332225,0,0.0684266,2.36117,0,1.47074,2.66999,0.280536,0,3.0133,7.43456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.59624,1269.81,1106.78,4.35696,89.9626,100,0.000230527,0.0060051,0.006288,0,-1.61153,0,
1,1,9, 01/01 09,0.090445,0,0.306549,0,0.0704524,1.11577,0,1.38294,5.11171,0.23264,0,1.58322,8.31051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76122,1269.81,1106.78,2.68137,89.9626,100,0.000141871,0.0060051,0.006288,0,-4.89137,0,
1,1,10, 01/01 10,0.00887134,0,0.293731,0,0,1.67624,0,1.32977,3.17266,0.198428,0,1.97885,6.67971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75832,1269.81,1106.78,2.3791,89.9626,100,0.000125878,0.0060051,0.006288,0,-7.50763,0,
1,1,11, 01/01 11,0,0,0.292356,0,0,2.71281,0,1.35231,14.9954,0.184743,0,3.00517,19.5376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76108,1269.81,1106.78,2.83208,89.9626,100,0.000149846,0.0060051,0.006288,0,-9.14248,0,
1,1,12, 01/01 12,0,0,0.292356,0,0,1.76741,0,1.33088,7.31023,0.171058,0,2.05976,10.8719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76842,1269.81,1106.78,2.70532,89.9626,100,0.000143139,0.0060051,0.006288,0,-9.75359,0,
1,1,13, 01/01 13,0,0,0.292356,0,0,1.44058,0,1.31879,0.815642,0.143689,0,1.73293,4.01106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76476,1269.81,1106.78,2.82681,89.9626,100,0.000149566,0.0060051,0.006288,0,-9.48491,0,
1,1,14, 01/01 14,0,0,0.292356,0,0,0.318746,0,1.35906,0.797291,0.143689,0,0.611102,2.91114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7652,1269.81,1106.78,2.88089,89.9626,100,0.000152428,0.0060051,0.006288,0,-5.81684,0,
1,1,15, 01/01 15,0,0,0.292356,0,0,0,0,1.42556,0.808557,0.143689,0,0.292356,2.67016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76532,1269.81,1106.78,2.92757,89.9626,100,0.000154898,0.0060051,0.006288,0,-4.76937,0,
1,1,16, 01/01 16,0,0,0.292356,0,0,0,0,1.49922,0.859079,0.177901,0,0.292356,2.82856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06237,1269.81,1106.78,3.29537,89.9626,100,0.000174358,0.0060051,0.006288,0,-2.91758,0,
1,1,17, 01/01 17,0,0,0.292356,0,0,0.0519331,0,1.68241,0.98523,0.212113,0,0.344289,3.22404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35764,1269.81,1106.78,3.86875,89.9626,100,0.000204695,0.0060051,0.006288,0,-0.354451,0,
1,1,18, 01/01 18,0,0,0.292356,0,0,0.45437,0,1.89695,1.30319,0.301063,0,0.746726,4.24793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.40918,1269.81,1106.78,3.94448,89.9626,100,0.000208702,0.0060051,0.006288,0,0,0,
1,1,19, 01/01 19,0,0,0.292356,0,0,0.817763,0,2.03865,1.28236,0.574758,0,1.11012,5.00589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51492,1269.81,1106.78,4.16914,89.9626,100,0.000220589,0.0060051,0.006288,0,0,0,
1,1,20, 01/01 20,0,0,0.292356,0,0,0.968397,0,2.11929,1.65139,0.800555,0,1.26075,5.83199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60367,1269.81,1106.78,4.37739,89.9626,100,0.000231608,0.0060051,0.006288,0,0,0,
1,1,21, 01/01 21,0,0,0.292356,0,0,1.55974,0,2.19655,0.927839,0.773183,0,1.85209,5.74967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.59307,1269.81,1106.78,4.33943,89.9626,100,0.000229599,0.0060051,0.006288,0,0,0,
1,1,22, 01/01 22,0,0,0.292356,0,0,1.4251,0,2.17607,2.72605,0.656865,0,1.71745,7.27644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69524,1269.81,1106.78,4.51762,89.9626,100,0.000239027,0.0060051,0.006288,0,0,0,
1,1,23, 01/01 23,0,0,0.292356,0,0,1.70782,0,1.94545,0.469123,0.431067,0,2.00018,4.84582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.37868,1269.81,1106.78,4.52964,89.9626,100,0.000239663,0.0060051,0.006288,0.000277533,0,0,
1,1,24, 01/01 24,0,0,0.292356,0,0,1.27871,0,1.65907,0.454759,0.266851,0,1.57106,3.95174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.45012,1269.81,1106.78,4.53692,89.9626,100,0.000240048,0.0060051,0.006288,0.000718441,0,0,
1,2,1, 01/02 01,0,0,0.292356,0,0.0732819,0.134509,0,1.35815,0.403382,0.157374,0,0.500147,2.41905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4923,1269.81,1106.78,8.44344,89.9626,100,0.000446742,0.0060051,0.006288,0.000518385,0,0,
1,2,2, 01/02 02,0,0,0.292356,0,0.0732819,0,0,1.23878,0.389188,0.130004,0,0.365638,2.12361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5695,1269.81,1106.78,8.43068,89.9626,100,0.000446067,0.0060051,0.006288,0.000175212,0,0,
1,2,3, 01/02 03,0.00368067,0,0.292926,0,0.0732819,0,0,1.19145,0.3758,0.102635,0,0.369888,2.03977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1615,1269.81,1106.78,8.07648,89.9626,100,0.000427327,0.0060051,0.006288,0.000173941,0,0,
1,2,4, 01/02 04,0.187409,0,0.321519,0,0.0732418,0,0,1.18438,0.370069,0.11632,0,0.58217,2.25294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.86281,1269.81,1106.78,5.75461,89.9626,100,0.000304476,0.0060051,0.006288,0.000305397,0,0,
1,2,5, 01/02 05,0.284714,0,0.336724,0,0.0712125,0,0,1.12854,0.358188,0.143689,0,0.692651,2.32307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.47133,1269.81,1106.78,4.70149,89.9626,100,0.000248756,0.0060051,0.006288,0.000305397,0,0,
1,2,6, 01/02 06,0.224479,0,0.327086,0,0.0701334,0,0,1.22259,0.427998,0.212113,0,0.621699,2.4844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85023,1269.81,1106.78,5.73985,89.9626,100,0.000303695,0.0060051,0.006288,0.000305397,0,0,
1,2,7, 01/02 07,0.17244,0,0.319017,0,0.0708172,0,0,1.39369,0.50643,0.287378,0,0.562275,2.74977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6686,1269.81,1106.78,7.50866,89.9626,100,0.000397283,0.0060051,0.006288,0.000705071,0,0,
1,2,8, 01/02 08,0.256808,0,0.332251,0,0.07139,0.326185,0,1.49912,0.585541,0.280536,0,0.986634,3.35183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.60515,1269.81,1106.78,6.16084,89.9626,100,0.00032597,0.0060051,0.006288,0.000176325,-0.0339399,0,
1,2,9, 01/02 09,0.341216,0,0.345294,0,0.0704507,1.17121,0,1.3898,0.577127,0.23264,0,1.92817,4.12774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49882,1269.81,1106.78,5.20798,89.9626,100,0.000275554,0.0060051,0.006288,0,-0.803526,0,
1,2,10, 01/02 10,0.368275,0,0.349176,0,0,2.20144,0,1.30466,0.517401,0.198428,0,2.91889,4.93938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4775,1269.81,1106.78,5.20583,89.9626,100,0.00027544,0.0060051,0.006288,0,-0.852627,0,
1,2,11, 01/02 11,0.324999,0,0.34216,0,0,2.22437,0,1.32012,1.26732,0.184743,0,2.89152,5.66371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47671,1269.81,1106.78,5.22056,89.9626,100,0.00027622,0.0060051,0.006288,0,-1.13928,0,
1,2,12, 01/02 12,0.188649,0,0.321179,0,0,1.50596,0,1.32012,1.75596,0.171058,0,2.01579,5.26293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47253,1269.81,1106.78,4.12507,89.9626,100,0.000218257,0.0060051,0.006288,0,-1.392,0,
1,2,13, 01/02 13,0.255081,0,0.331486,0,0,0.82505,0,1.32217,0.812448,0.143689,0,1.41162,3.68993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46866,1269.81,1106.78,4.06489,89.9626,100,0.000215074,0.0060051,0.006288,0,-1.48072,0,
1,2,14, 01/02 14,0.353332,0,0.346869,0,0,0.955658,0,1.35189,0.576812,0.143689,0,1.65586,3.72825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47764,1269.81,1106.78,4.09321,89.9626,100,0.000216572,0.0060051,0.006288,0,-0.735843,0,
1,2,15, 01/02 15,0.378899,0,0.351217,0,0.0694132,1.01131,0,1.40086,0.597743,0.143689,0,1.81084,3.95314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48356,1269.81,1106.78,4.08768,89.9626,100,0.000216279,0.0060051,0.006288,0,-0.824209,0,
1,2,16, 01/02 16,0.330164,0,0.343856,0,0.0691046,0.59793,0,1.44256,0.967273,0.177901,0,1.34105,3.92878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7661,1269.81,1106.78,4.78592,89.9626,100,0.000253223,0.0060051,0.006288,0,-0.331427,0,
1,2,17, 01/02 17,0.301271,0,0.339595,0,0.0696271,0.455826,0,1.62943,3.2811,0.212113,0,1.16632,6.28897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33289,1269.81,1106.78,6.19968,89.9626,100,0.000328025,0.0060051,0.006288,0,-0.0215759,0,
1,2,18, 01/02 18,0.360103,0,0.349191,0,0.0699294,0.479674,0,1.87574,1.60691,0.301063,0,1.2589,5.0426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.82542,1269.81,1106.78,7.16031,89.9626,100,0.000378852,0.0060051,0.006288,0,0,0,
1,2,19, 01/02 19,0.248948,0,0.331396,0,0.0692485,0.505343,0,2.04213,1.5688,0.574758,0,1.15494,5.34063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7605,1269.81,1106.78,8.51113,89.9626,100,0.000450324,0.0060051,0.006288,0.000284725,0,0,
1,2,20, 01/02 20,0.1472,0,0.315273,0,0.0705113,0.343062,0,2.14768,1.33593,0.800555,0,0.876046,5.16021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2007,1269.81,1106.78,8.50474,89.9626,100,0.000449986,0.0060051,0.006288,0.00038495,0,0,
1,2,21, 01/02 21,0.189696,0,0.322127,0,0.0716558,0.78057,0,2.23908,3.62225,0.773183,0,1.36405,7.99856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3245,1269.81,1106.78,8.48575,89.9626,100,0.000448981,0.0060051,0.006288,0.000461274,0,0,
1,2,22, 01/02 22,0.278485,0,0.336333,0,0.0711691,2.18649,0,2.22228,0.556124,0.656865,0,2.87248,6.30775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5875,1269.81,1106.78,8.50291,89.9626,100,0.000449889,0.0060051,0.006288,0.00092845,0,0,
1,2,23, 01/02 23,0.423054,0,0.359644,0,0.0701612,2.9138,0,1.97035,0.478356,0.431067,0,3.76666,6.64643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.42,1269.81,1106.78,8.49235,89.9626,100,0.00044933,0.0060051,0.006288,0.00129511,0,0,
1,2,24, 01/02 24,0.587969,0,0.386621,0,0.0685066,1.01786,0,1.68828,0.428588,0.266851,0,2.06095,4.44467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3355,1269.81,1106.78,8.49617,89.9626,100,0.000449532,0.0060051,0.006288,0.00200438,0,0,
1,3,1, 01/03 01,0.705641,0,0.40512,0,0.0665922,0.293627,0,1.36184,0.410531,0.157374,0,1.47098,3.40073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2566,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.00315686,0,0,
