"MF88 Central Supply + Individual Exhaust (SZHP)  /  Standard  /  MF88Unit_CSUP_IEXH-SZHP_CZ09.cibd25x",003
"Sat 23-May-26  11: am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",185.1,0,7.92118,0.114068,50.5071,0,0.163783,0,0.240358,10.9305,11.8005,6.09565,0,5.8374,51.3333,0,15.1435,0,18.5615,0,1.13058,0,5.32041,0,0
"MtrElec",1,1,2,"",118.737,0,10.1262,0,1.02961,0,0.163783,0,0.437729,10.9305,11.8005,6.04822,0,4.8222,47.2797,0,14.4188,2.47506,0,0,0.904462,0,8.30043,0,0
"MtrElec",1,1,3,"",119.675,0,11.8573,0.12964,4.16232,0,0.163783,0,0.629189,10.9305,11.8005,6.00373,0,3.807,44.8524,0,14.1254,0,0,0,0.678346,0,10.5346,0,0
"MtrElec",1,1,4,"",120.191,0,13.5356,0.840119,1.28911,0,0.163783,0,0.802443,10.9305,11.8005,5.95673,0,4.3146,44.7245,0,13.7679,0,0,0,0.678346,0,11.3867,0,0
"MtrElec",1,1,5,"",121.248,0,14.7503,1.06029,3.0518,0,0.163783,0,0.937214,10.9305,11.8005,5.92027,0,5.3298,42.5129,0,13.2983,0,0,0,0.678346,0,10.8137,0,0
"MtrElec",1,1,6,"",147.384,0,15.902,1.3958,28.0986,0,0.163783,0,1.06189,10.9305,11.8005,5.89159,0,7.8678,46.3646,0,13.2161,0,0,0,1.13058,0,3.56041,0,0
"MtrElec",1,1,7,"",230.095,0,16.2836,1.78816,100.325,0,0.163783,0,1.06037,10.9305,11.8005,5.86965,0,10.6596,52.2089,0,13.5238,1.40649,0,1.81286,2.26115,0,0,0,0
"MtrElec",1,1,8,"",255.528,0,12.986,1.49649,101.321,0,0.163783,0,0.677226,10.9305,11.8005,5.87248,0,10.4058,56.9195,0,14.6815,1.06891,15.3229,5.77618,6.10511,0,0,0,0
"MtrElec",1,1,9,"",286.7,0,9.82048,0.301158,99.1331,0,0.163783,0,0.426997,10.9305,11.8005,5.95412,0,8.6292,53.744,0,16.6782,0,48.8224,9.44234,10.8535,0,0,0,0
"MtrElec",1,1,10,"",320.329,0,6.75398,0,99.8045,0,0.163783,0,0.210597,10.9305,11.8005,0.116466,0,7.3602,51.7744,0,16.314,6.04963,79.8101,18.3867,10.8535,0,0,0,0
