"MF88 Central Supply + Individual Exhaust (SZHP)  /  Standard (PV-Batt only)  /  MF88Unit_CSUP_IEXH-SZHP_CZ09.cibd25x",001
"Sat 23-May-26  11: am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",243.817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.817,0,0,0
"MtrElec",1,1,2,"",178.437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.437,0,0,0
"MtrElec",1,1,3,"",178.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.407,0,0,0
"MtrElec",1,1,4,"",178.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.9,0,0,0
"MtrElec",1,1,5,"",180.912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.912,0,0,0
"MtrElec",1,1,6,"",206.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.086,0,0,0
"MtrElec",1,1,7,"",288.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.8,0,0,0
"MtrElec",1,1,8,"",218.183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316.88,0,0,-98.6962
"MtrElec",1,1,9,"",60.2036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359.769,0,0,-299.566
"MtrElec",1,1,10,"",-67.3308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392.464,0,0,-459.795
"MtrElec",1,1,11,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510.053,0,49.8675,-559.921
"MtrElec",1,1,12,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478.13,0,119.217,-597.347
"MtrElec",1,1,13,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439.9,0,140.992,-580.891
"MtrElec",1,1,14,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336.399,0,19.846,-356.245
"MtrElec",1,1,15,"",72.0936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364.188,0,0,-292.094
"MtrElec",1,1,16,"",121.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299.89,0,0,-178.684
"MtrElec",1,1,17,"",375.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396.968,0,0,-21.7079
"MtrElec",1,1,18,"",454.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454.75,0,0,0
"MtrElec",1,1,19,"",234.859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.076,0,-223.217,0
"MtrElec",1,1,20,"",266.336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340.874,0,-74.538,0
"MtrElec",1,1,21,"",328.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328.545,0,0,0
"MtrElec",1,1,22,"",350.792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350.792,0,0,0
"MtrElec",1,1,23,"",249.595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.595,0,0,0
"MtrElec",1,1,24,"",209.227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.227,0,0,0
"MtrElec",1,2,1,"",228.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.429,0,0,0
"MtrElec",1,2,2,"",176.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.58,0,0,0
"MtrElec",1,2,3,"",172.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.715,0,0,0
"MtrElec",1,2,4,"",177.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.154,0,0,0
"MtrElec",1,2,5,"",177.712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.712,0,0,0
"MtrElec",1,2,6,"",199.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.205,0,0,0
"MtrElec",1,2,7,"",301.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.343,0,0,0
"MtrElec",1,2,8,"",336.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338.23,0,0,-2.07862
"MtrElec",1,2,9,"",366.227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415.438,0,0,-49.211
"MtrElec",1,2,10,"",391.657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443.875,0,0,-52.2181
