"MF88 Central Supply + Individual Exhaust (SZHP)  /  Proposed  /  MF88Unit_CSUP_IEXH-SZHP_CZ09.cibd25x",002
"Sat 23-May-26  11: am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",135.029,0,5.21595,0.083057,0,0,0.163783,0,0.228425,10.9305,14.9651,6.19179,0,5.8374,51.3333,0,15.1892,0,18.5615,0,1.13058,0,5.19858,0,0
"MtrElec",1,1,2,"",118,0,7.18454,0,0,0,0.163783,0,0.38823,10.9305,14.965,6.15906,0,4.8222,47.2797,0,14.4606,2.47506,0,0,0.904462,0,8.26636,0,0
"MtrElec",1,1,3,"",115.582,0,8.7414,0.100564,0,0,0.163783,0,0.559013,10.9305,14.965,6.12554,0,3.807,44.8524,0,14.1667,0,0,0,0.678346,0,10.4917,0,0
"MtrElec",1,1,4,"",118.676,0,10.2808,0.657532,0,0,0.163783,0,0.730842,10.9305,14.965,6.07573,0,4.3146,44.7245,0,13.8081,0,0,0,0.678346,0,11.3466,0,0
"MtrElec",1,1,5,"",117.937,0,11.5248,0.86063,0,0,0.163783,0,0.860451,10.9305,14.965,6.0001,0,5.3298,42.5129,0,13.3434,0,0,0,0.678346,0,10.7674,0,0
"MtrElec",1,1,6,"",200.974,0,12.203,1.13364,82.5886,0,0.163783,0,0.919105,10.9305,14.965,5.97173,0,7.8678,46.3646,0,13.2623,0,0,0,1.13058,0,3.47294,0,0
"MtrElec",1,1,7,"",175.372,0,12.6105,1.4831,46.4092,0,0.163783,0,0.926639,10.9305,14.965,5.9581,0,10.6596,52.2089,0,13.5762,1.40649,0,1.81286,2.26115,0,0,0,0
"MtrElec",1,1,8,"",242.399,0,9.8074,1.20887,88.4093,0,0.163783,0,0.58975,10.9305,14.9649,5.99653,0,10.4058,56.9195,0,14.7298,1.06891,15.3229,5.77618,6.10511,0,0,0,0
"MtrElec",1,1,9,"",326.523,0,7.45577,0.245426,138.099,0,0.163783,0,0.385595,10.9305,14.965,6.07795,0,8.6292,53.744,0,16.7094,0,48.8224,9.44234,10.8535,0,0,0,0
"MtrElec",1,1,10,"",348.54,0,4.82649,0,126.693,0,0.163783,0,0.198975,10.9305,14.9651,0.170942,0,7.3602,51.7744,0,16.3563,6.04963,79.8101,18.3867,10.8535,0,0,0,0
"MtrElec",1,1,11,"",355.967,0,2.46711,0,60.1258,0,0.163783,0,0.0893098,10.9305,14.9652,0,0,6.8526,52.8005,0,16.1272,10.2429,155.411,15.3894,10.4013,0,0,0,0
"MtrElec",1,1,12,"",364.941,0,1.14658,0,105.01,0,0.163783,0,0.0391529,10.9305,14.9653,0,0,6.345,52.0002,0,16.4909,4.96314,130.077,10.3739,12.4363,0,0,0,0
"MtrElec",1,1,13,"",317.436,0,0.371598,0,94.2904,0,0.163783,0,0.0291704,10.9305,14.9652,0,0,5.3298,53.1487,0,16.8334,10.9151,87.6841,8.52904,14.2453,0,0,0,0
"MtrElec",1,1,14,"",209.5,0,0.07237,0,16.9103,0,0.163783,0,0.00494286,10.9305,14.9652,0,0,5.3298,54.647,0,17.0534,0,72.0906,3.99134,13.3408,0,0,0,0
