"MF88 Central Supply + Individual Exhaust (SZHP)  /  Proposed (PV-Batt only)  /  MF88Unit_CSUP_IEXH-SZHP_CZ09.cibd25x",001
"Sat 23-May-26  11: am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",193.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.778,0,0,0
"MtrElec",1,1,2,"",177.729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.729,0,0,0
"MtrElec",1,1,3,"",174.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.335,0,0,0
"MtrElec",1,1,4,"",177.405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.405,0,0,0
"MtrElec",1,1,5,"",177.631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.631,0,0,0
"MtrElec",1,1,6,"",259.682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259.682,0,0,0
"MtrElec",1,1,7,"",234.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.111,0,0,0
"MtrElec",1,1,8,"",204.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303.613,0,0,-98.7122
"MtrElec",1,1,9,"",110.358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409.972,0,0,-299.614
"MtrElec",1,1,10,"",-28.5244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431.346,0,0,-459.87
"MtrElec",1,1,11,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478.392,0,81.62,-560.012
"MtrElec",1,1,12,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488.294,0,109.15,-597.444
"MtrElec",1,1,13,"",0.0000078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462.355,0,118.631,-580.986
"MtrElec",1,1,14,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354.115,0,2.18822,-356.303
"MtrElec",1,1,15,"",71.0974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363.239,0,0,-292.142
"MtrElec",1,1,16,"",179.248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357.961,0,0,-178.713
"MtrElec",1,1,17,"",349.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.111,0,0,-21.7114
"MtrElec",1,1,18,"",446.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.107,0,0,0
"MtrElec",1,1,19,"",262.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485.254,0,-223.222,0
"MtrElec",1,1,20,"",299.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357.111,0,-57.9867,0
"MtrElec",1,1,21,"",338.781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338.781,0,0,0
"MtrElec",1,1,22,"",304.439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304.439,0,0,0
"MtrElec",1,1,23,"",281.897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281.897,0,0,0
"MtrElec",1,1,24,"",209.581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.581,0,0,0
"MtrElec",1,2,1,"",181.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.044,0,0,0
"MtrElec",1,2,2,"",177.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.126,0,0,0
"MtrElec",1,2,3,"",224.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.19,0,0,0
"MtrElec",1,2,4,"",179.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.425,0,0,0
"MtrElec",1,2,5,"",181.787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.787,0,0,0
"MtrElec",1,2,6,"",181.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.944,0,0,0
"MtrElec",1,2,7,"",283.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.256,0,0,0
