"MF88 Central Supply + Individual Exhaust (SZHP)  /  Proposed-x  /  MF88Unit_CSUP_IEXH-SZHP_CZ09.cibd25x",003
"Sat 23-May-26  11: am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",149.874,0,26.9819,0,0,0,0.163783,0,0.24804,10.9305,8.34376,5.83955,0,5.8374,51.3333,0,15.1175,0,18.5615,0,1.13058,0,5.38668,0,0
"MtrElec",1,1,2,"",135.796,0,30.8066,0,1.02995,0,0.163783,0,0.473643,10.9305,8.34375,5.81391,0,4.8222,47.2797,0,14.3951,2.47506,0,0,0.904462,0,8.35717,0,0
"MtrElec",1,1,3,"",228.963,0,33.3492,0,95.7586,0,0.163783,0,0.669637,10.9305,8.34376,5.76116,0,3.807,44.8524,0,14.1022,0,0,0,0.678346,0,10.5459,0,0
"MtrElec",1,1,4,"",138.02,0,35.748,0,1.43289,0,0.163783,0,0.838442,10.9305,8.34376,5.71483,0,4.3146,44.7245,0,13.7453,0,0,0,0.678346,0,11.3848,0,0
"MtrElec",1,1,5,"",139.796,0,38.0411,0,3.02599,0,0.163783,0,1.01922,10.9305,8.34376,5.67894,0,5.3298,42.5129,0,13.273,0,0,0,0.678346,0,10.7988,0,0
"MtrElec",1,1,6,"",138.868,0,40.4546,0,0.149816,0,0.163783,0,1.14775,10.9305,8.34378,5.64734,0,7.8678,46.3646,0,13.1908,0,0,0,1.13058,0,3.4771,0,0
"MtrElec",1,1,7,"",253.8,0,42.7917,0,102.951,0,0.163783,0,1.14822,10.9305,8.34379,5.62695,0,10.6596,52.2089,0,13.4952,1.40649,0,1.81286,2.26115,0,0,0,0
"MtrElec",1,1,8,"",290.718,0,37.3119,0,117.335,0,0.163783,0,0.750193,10.9305,8.34379,5.63015,0,10.4058,56.9195,0,14.6551,1.06891,15.3229,5.77618,6.10511,0,0,0,0
"MtrElec",1,1,9,"",319.491,0,29.9348,0,115.787,0,0.163783,0,0.465121,10.9305,8.3438,5.71253,0,8.6292,53.744,0,16.6614,0,48.8224,9.44234,10.8535,0,0,0,0
"MtrElec",1,1,10,"",333.429,0,22.4344,0,100.814,0,0.163783,0,0.21681,10.9305,8.34384,0,0,7.3602,51.7744,0,16.291,6.04963,79.8101,18.3867,10.8535,0,0,0,0
"MtrElec",1,1,11,"",398.721,0,15.6394,0,96.377,0,0.163783,0,0.1027,10.9305,8.34387,0,0,6.8526,52.8005,0,16.0659,10.2429,155.411,15.3894,10.4013,0,0,0,0
"MtrElec",1,1,12,"",359.251,0,11.9217,0,95.2257,0,0.163783,0,0.042424,10.9305,8.34389,0,0,6.345,52.0002,0,16.4276,4.96314,130.077,10.3739,12.4363,0,0,0,0
"MtrElec",1,1,13,"",319.044,0,8.37917,0,94.5758,0,0.163783,0,0.0305243,10.9305,8.34393,0,0,5.3298,53.1487,0,16.7682,10.9151,87.6841,8.52904,14.2453,0,0,0,0
"MtrElec",1,1,14,"",193.992,0,5.87552,0,2.28462,0,0.163783,0,0.00571845,10.9305,8.34394,0,0,5.3298,54.647,0,16.9888,0,72.0906,3.99134,13.3408,0,0,0,0
"MtrElec",1,1,15,"",153.146,0,4.7832,0,0,0,0.163783,0,0,10.9305,8.34393,0,0,5.3298,57.1222,0,16.7461,0,33.7363,1.97117,14.0191,0,0,0,0
"MtrElec",1,1,16,"",235.198,0,5.18044,0,88.4028,0,0.163783,0,0,10.9305,8.34394,0,0,6.5988,59.8622,0,17.1481,0,16.6611,6.53062,15.3758,0,0,0,0
"MtrElec",1,1,17,"",256.731,0,7.92943,0,54.339,0,0.163783,0,0.00446,10.9305,8.34397,0,0,7.8678,66.6719,0,16.8309,0,55.1992,7.87351,20.5765,0,0,0,0
"MtrElec",1,1,18,"",305.871,0,11.7267,0,60.1556,0,0.163783,0,0.0294173,10.9305,8.34402,0,0,11.1672,74.336,0,17.8176,3.64801,66.5499,9.57232,31.43,0,0,0,0
"MtrElec",1,1,19,"",398.718,0,14.071,0,125.055,0,0.163783,0,0.0795996,10.9305,8.34389,0,0,21.3192,79.8369,0,19.1382,5.70828,80.9088,3.99394,29.1689,0,0,0,0
"MtrElec",1,1,20,"",325.778,0,15.2,0,97.234,0,0.163783,0,0.107369,10.9305,8.34385,0,0,29.6946,82.9684,0,18.7642,10.4467,33.7583,1.88629,16.2803,0,0,0,0
