BuildingStory
,,Floor Area (including multipliers),,,,,Ventilation (Design),,,Ventilation (For Balance),,,,,,General,,Comm. Kitchen,,Parking Garage,,Laboratory
Name,Multiplier,Total,Cond. NRes,Cond. Res,Total Cond.,Number,Total,Code Min.,Exhaust,Total,Code Min.,Tot:Min Ratio,Exhaust,Vent:Exh Ratio,Vent Mult.,Vent,Exhaust,Vent,Exhaust,Vent,Exhaust,Vent,Exhaust
,,(ft2),(ft2),(ft2),(ft2),(people),(cfm),(cfm),(cfm),(cfm),(cfm),,(cfm),,,(cfm),(cfm),(cfm),(cfm),(cfm),(cfm),(cfm),(cfm)
"Building Story Nonresidential",1,17613.0,17613.0,0.0,17613.0,299.4,4491,4491,0,4491,4491,1.000,0,1.000,1.000,4491,0,0,0,0,0,0,0

Space
,,,,,,,Occupancy,,,Ventilation,,Design Input (By Component),,,,,Minimum Req. (By Component),,,,Simulated,,,Exhaust,,,ForBalance
Name,Story Name,Condg Type,Space Function,Thermal Zone,Floor Area,Multiplier,Design,Minimum,Number,Spec. Method,Control,Per Occupant,Per Area,Per Volume,Per Space,Calculated Flow,Per Occupant,Per Area,Per Volume,Calculated Flow,Per Occupant,Per Area,Calculated Flow,Calculated Flow,Lab Exh Type,Max Kitchen,Ventilation,Exhaust
,,,,,(ft2),,(ppl/1000ft2),(ppl/1000ft2),(people),,,(cfm/person),(cfm/ft2),(ACH),(cfm),(cfm),(cfm/person),(cfm/ft2),(ACH),(cfm),(cfm/person),(cfm/ft2),(cfm),(cfm),,(cfm),(cfm),(cfm)
"F1 Retail N Core","Building Story Nonresidential","DirectlyConditioned","Retail Sales Area (Retail Merchandise Sales)","Thermal Zone: F1 Retail N-NW",1665.0,1,17.0,17.0,28.3,"Maximum","Fixed",15,0.2,0,0,425,15,0.2,0,425,0,0.255,-99996,0,"UNDEFINED",0,425,0
"F1 Retail NE Core","Building Story Nonresidential","DirectlyConditioned","Retail Sales Area (Retail Merchandise Sales)","Thermal Zone: F1 Retail NE",1440.0,1,17.0,17.0,24.5,"Maximum","Fixed",15,0.2,0,0,367,15,0.2,0,367,0,0.255,-99996,0,"UNDEFINED",0,367,0
"F1 Retail NE Inner","Building Story Nonresidential","DirectlyConditioned","Retail Sales Area (Retail Merchandise Sales)","Thermal Zone: F1 Retail NE",1440.0,1,17.0,17.0,24.5,"Maximum","Fixed",15,0.2,0,0,367,15,0.2,0,367,0,0.255,-99996,0,"UNDEFINED",0,367,0
"F1 Retail NE Outer","Building Story Nonresidential","DirectlyConditioned","Retail Sales Area (Retail Merchandise Sales)","Thermal Zone: F1 Retail NE",1440.0,1,17.0,17.0,24.5,"Maximum","Fixed",15,0.2,0,0,367,15,0.2,0,367,0,0.255,-99996,0,"UNDEFINED",0,367,0
"F1 Retail NW Inner Core","Building Story Nonresidential","DirectlyConditioned","Retail Sales Area (Retail Merchandise Sales)","Thermal Zone: F1 Retail N-NW",1440.0,1,17.0,17.0,24.5,"Maximum","Fixed",15,0.2,0,0,367,15,0.2,0,367,0,0.255,-99996,0,"UNDEFINED",0,367,0
"F1 Retail NW Outer","Building Story Nonresidential","DirectlyConditioned","Retail Sales Area (Retail Merchandise Sales)","Thermal Zone: F1 Retail N-NW",1440.0,1,17.0,17.0,24.5,"Maximum","Fixed",15,0.2,0,0,367,15,0.2,0,367,0,0.255,-99996,0,"UNDEFINED",0,367,0
"F1 Retail NW Outer Core","Building Story Nonresidential","DirectlyConditioned","Retail Sales Area (Retail Merchandise Sales)","Thermal Zone: F1 Retail N-NW",1440.0,1,17.0,17.0,24.5,"Maximum","Fixed",15,0.2,0,0,367,15,0.2,0,367,0,0.255,-99996,0,"UNDEFINED",0,367,0
