"MF88 Individual Supply + Central Exhaust (SZHP)  /  Standard (PV-Batt only)  /  MF88Unit_ISUP_IEXH-SZHP_CZ9.cibd25x",001
"Thu 21-May-26   1:21:59 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",243.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.701,0,0,0
"MtrElec",1,1,2,"",179.772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.772,0,0,0
"MtrElec",1,1,3,"",179.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.93,0,0,0
"MtrElec",1,1,4,"",181.398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.398,0,0,0
"MtrElec",1,1,5,"",184.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.209,0,0,0
"MtrElec",1,1,6,"",209.517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.517,0,0,0
"MtrElec",1,1,7,"",292.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292.15,0,0,0
"MtrElec",1,1,8,"",220.583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319.279,0,0,-98.6962
"MtrElec",1,1,9,"",61.2204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.786,0,0,-299.566
"MtrElec",1,1,10,"",-67.7232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392.072,0,0,-459.795
"MtrElec",1,1,11,"",0.0000039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509.504,0,50.4169,-559.921
"MtrElec",1,1,12,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477.089,0,120.258,-597.347
"MtrElec",1,1,13,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438.532,0,142.36,-580.891
"MtrElec",1,1,14,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335.088,0,21.1573,-356.245
"MtrElec",1,1,15,"",70.5104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362.605,0,0,-292.094
"MtrElec",1,1,16,"",119.909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.593,0,0,-178.684
"MtrElec",1,1,17,"",373.923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395.631,0,0,-21.7079
"MtrElec",1,1,18,"",453.743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453.743,0,0,0
"MtrElec",1,1,19,"",233.979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457.196,0,-223.217,0
"MtrElec",1,1,20,"",261.388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.779,0,-78.3913,0
"MtrElec",1,1,21,"",327.485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.485,0,0,0
"MtrElec",1,1,22,"",349.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349.925,0,0,0
"MtrElec",1,1,23,"",248.623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248.623,0,0,0
"MtrElec",1,1,24,"",208.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.725,0,0,0
"MtrElec",1,2,1,"",228.215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.215,0,0,0
"MtrElec",1,2,2,"",176.669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.669,0,0,0
"MtrElec",1,2,3,"",173.546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.546,0,0,0
"MtrElec",1,2,4,"",179.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.273,0,0,0
"MtrElec",1,2,5,"",180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0
