"MF88 Individual Supply + Central Exhaust (SZHP)  /  Proposed  /  MF88Unit_ISUP_IEXH-SZHP_CZ9.cibd25x",002
"Thu 21-May-26   1:15:00 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",127.458,0,7.24056,0.085621,0,0,0.163783,0,0.39847,4.8365,11.4972,6.13689,0,5.8374,51.3333,0,15.0366,0,18.5615,0,1.13058,0,5.19969,0,0
"MtrElec",1,1,2,"",111.392,0,10.0337,0,0,0,0.163783,0,0.708598,4.8365,11.4972,6.08043,0,4.8222,47.2797,0,14.323,2.47506,0,0,0.904462,0,8.26709,0,0
"MtrElec",1,1,3,"",109.159,0,11.8019,0.0994491,0,0,0.163783,0,0.90994,4.8365,11.4972,5.98613,0,3.807,44.8524,0,14.0341,0,0,0,0.678346,0,10.4924,0,0
"MtrElec",1,1,4,"",113.241,0,14.237,0.651218,0,0,0.163783,0,1.18993,4.8365,11.4972,5.92077,0,4.3146,44.7245,0,13.6796,0,0,0,0.678346,0,11.3472,0,0
"MtrElec",1,1,5,"",113.365,0,16.2309,0.84242,0,0,0.163783,0,1.43119,4.8365,11.4972,5.87255,0,5.3298,42.5129,0,13.2014,0,0,0,0.678346,0,10.7681,0,0
"MtrElec",1,1,6,"",196.925,0,17.4106,1.13845,82.5529,0,0.163783,0,1.54109,4.8365,11.4972,5.82741,0,7.8678,46.3646,0,13.1204,0,0,0,1.13058,0,3.47363,0,0
"MtrElec",1,1,7,"",171.198,0,17.7503,1.54809,46.3479,0,0.163783,0,1.49522,4.8365,11.4972,5.7942,0,10.6596,52.2089,0,13.4156,1.40649,0,1.81286,2.26115,0,0,0,0
"MtrElec",1,1,8,"",236.869,0,13.7363,1.3088,88.3548,0,0.163783,0,0.983146,4.8365,11.4972,5.80881,0,10.4058,56.9195,0,14.5814,1.06891,15.3229,5.77618,6.10511,0,0,0,0
"MtrElec",1,1,9,"",319.346,0,9.86909,0.294206,138.025,0,0.163783,0,0.607567,4.8365,11.4972,5.94771,0,8.6292,53.744,0,16.6136,0,48.8224,9.44234,10.8535,0,0,0,0
"MtrElec",1,1,10,"",340.176,0,6.14255,0,126.638,0,0.163783,0,0.29417,4.8365,11.4973,0.14406,0,7.3602,51.7744,0,16.2246,6.04963,79.8101,18.3867,10.8535,0,0,0,0
"MtrElec",1,1,11,"",347.265,0,3.47747,0,60.0364,0,0.163783,0,0.154142,4.8365,11.4973,0,0,6.8526,52.8005,0,16.0014,10.2429,155.411,15.3894,10.4013,0,0,0,0
"MtrElec",1,1,12,"",355.923,0,1.85071,0,104.96,0,0.163783,0,0.0605402,4.8365,11.4973,0,0,6.345,52.0002,0,16.3587,4.96314,130.077,10.3739,12.4363,0,0,0,0
"MtrElec",1,1,13,"",307.95,0,0.898527,0,93.9591,0,0.163783,0,0.0477404,4.8365,11.4973,0,0,5.3298,53.1487,0,16.695,10.9151,87.6841,8.52904,14.2453,0,0,0,0
"MtrElec",1,1,14,"",200.374,0,0.405162,0,17.1457,0,0.163783,0,0.0112533,4.8365,11.4974,0,0,5.3298,54.647,0,16.9146,0,72.0906,3.99134,13.3408,0,0,0,0
"MtrElec",1,1,15,"",208.277,0,0.186707,0,62.7456,0,0.163783,0,0,4.8365,11.4974,0,0,5.3298,57.1222,0,16.6681,0,33.7363,1.97117,14.0191,0,0,0,0
"MtrElec",1,1,16,"",204.305,0,0.290138,0,65.4003,0,0.163783,0,0.000578929,4.8365,11.4974,0,0,6.5988,59.8622,0,17.0876,0,16.6611,6.53062,15.3758,0,0,0,0
"MtrElec",1,1,17,"",214.345,0,0.727453,0,22.1779,0,0.163783,0,0.00928684,4.8365,11.4973,0,0,7.8678,66.6719,0,16.7442,0,55.1992,7.87351,20.5765,0,0,0,0
"MtrElec",1,1,18,"",310.635,0,1.52506,0,78.1155,0,0.163783,0,0.0553026,4.8365,11.4973,0,0,11.1672,74.336,0,17.738,3.64801,66.5499,9.57232,31.43,0,0,0,0
