"MF88 Individual Supply + Central Exhaust (SZHP)  /  Proposed (PV-Batt only)  /  MF88Unit_ISUP_IEXH-SZHP_CZ9.cibd25x",001
"Thu 21-May-26   1:21:59 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",186.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.205,0,0,0
"MtrElec",1,1,2,"",170.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.715,0,0,0
"MtrElec",1,1,3,"",168.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.312,0,0,0
"MtrElec",1,1,4,"",171.966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.966,0,0,0
"MtrElec",1,1,5,"",172.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.091,0,0,0
"MtrElec",1,1,6,"",255.631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255.631,0,0,0
"MtrElec",1,1,7,"",230.909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.909,0,0,0
"MtrElec",1,1,8,"",198.815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.062,0,0,-98.247
"MtrElec",1,1,9,"",94.5147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392.717,0,0,-298.202
"MtrElec",1,1,10,"",-43.9703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413.732,0,0,-457.703
"MtrElec",1,1,11,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.114,0,98.259,-557.373
"MtrElec",1,1,12,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469.524,0,125.104,-594.628
"MtrElec",1,1,13,"",0.0000156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442.93,0,135.318,-578.248
"MtrElec",1,1,14,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334.587,0,20.0368,-354.624
"MtrElec",1,1,15,"",50.8551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341.62,0,0,-290.765
"MtrElec",1,1,16,"",160.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338.016,0,0,-177.871
"MtrElec",1,1,17,"",330.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352.396,0,0,-21.6091
"MtrElec",1,1,18,"",427.214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427.214,0,0,0
"MtrElec",1,1,19,"",244.602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466.528,0,-221.926,0
"MtrElec",1,1,20,"",228.199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348.066,0,-119.867,0
"MtrElec",1,1,21,"",329.321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.321,0,0,0
"MtrElec",1,1,22,"",295.354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295.354,0,0,0
"MtrElec",1,1,23,"",273.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.867,0,0,0
"MtrElec",1,1,24,"",201.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.224,0,0,0
"MtrElec",1,2,1,"",172.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.993,0,0,0
"MtrElec",1,2,2,"",168.396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.396,0,0,0
"MtrElec",1,2,3,"",216.659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.659,0,0,0
"MtrElec",1,2,4,"",174.903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.903,0,0,0
"MtrElec",1,2,5,"",175.716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.716,0,0,0
"MtrElec",1,2,6,"",176.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.62,0,0,0
"MtrElec",1,2,7,"",264.882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264.882,0,0,0
"MtrElec",1,2,8,"",385.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387.783,0,0,-2.06916
"MtrElec",1,2,9,"",369.795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418.782,0,0,-48.987
"MtrElec",1,2,10,"",366.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418.192,0,0,-51.9805
"MtrElec",1,2,11,"",381.792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.249,0,0,-69.4563
"MtrElec",1,2,12,"",352.354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.218,0,0,-84.8637
"MtrElec",1,2,13,"",275.076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365.348,0,0,-90.2724
"MtrElec",1,2,14,"",313.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.121,0,0,-44.8607
"MtrElec",1,2,15,"",312.981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363.229,0,0,-50.2479
