"MF88 Individual Supply + Central Exhaust (SZHP)  /  Proposed-x  /  MF88Unit_ISUP_IEXH-SZHP_CZ9.cibd25x",003
"Thu 21-May-26   1:05:46 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",151.028,0,29.2998,0,0,0,0.163783,0,0.462282,9.673,8.35162,5.83161,0,5.8374,51.3333,0,14.9961,0,18.5615,0,1.13058,0,5.38668,0,0
"MtrElec",1,1,2,"",137.545,0,33.6635,0,1.02875,0,0.163783,0,0.778391,9.673,8.35161,5.76038,0,4.8222,47.2797,0,14.2867,2.47506,0,0,0.904462,0,8.35717,0,0
"MtrElec",1,1,3,"",231.203,0,36.7116,0,95.6814,0,0.163783,0,1.0519,9.673,8.35162,5.68724,0,3.807,44.8524,0,13.9985,0,0,0,0.678346,0,10.5459,0,0
"MtrElec",1,1,4,"",142.811,0,41.2115,0,1.69444,0,0.163783,0,1.33354,9.673,8.35165,5.63528,0,4.3146,44.7245,0,13.6451,0,0,0,0.678346,0,11.3848,0,0
"MtrElec",1,1,5,"",145.32,0,44.6615,0,2.79886,0,0.163783,0,1.59671,9.673,8.35166,5.59069,0,5.3298,42.5129,0,13.1637,0,0,0,0.678346,0,10.7988,0,0
"MtrElec",1,1,6,"",144.194,0,46.7367,0,0.119677,0,0.163783,0,1.6743,9.673,8.35166,5.55178,0,7.8678,46.3646,0,13.0826,0,0,0,1.13058,0,3.47709,0,0
"MtrElec",1,1,7,"",258.065,0,48.1274,0,102.868,0,0.163783,0,1.62021,9.673,8.35167,5.53934,0,10.6596,52.2089,0,13.3725,1.40649,0,1.81286,2.26115,0,0,0,0
"MtrElec",1,1,8,"",293.143,0,40.9354,0,117.249,0,0.163783,0,1.08303,9.673,8.35166,5.5478,0,10.4058,56.9195,0,14.541,1.06891,15.3229,5.77618,6.10511,0,0,0,0
"MtrElec",1,1,9,"",321.37,0,33.0925,0,115.691,0,0.163783,0,0.666166,9.673,8.35167,5.65257,0,8.6292,53.744,0,16.5876,0,48.8224,9.44234,10.8535,0,0,0,0
"MtrElec",1,1,10,"",333.814,0,24.1503,0,100.736,0,0.163783,0,0.315635,9.673,8.35171,0,0,7.3602,51.7744,0,16.1895,6.04963,79.8101,18.3867,10.8535,0,0,0,0
"MtrElec",1,1,11,"",398.37,0,16.6025,0,96.3438,0,0.163783,0,0.169164,9.673,8.35172,0,0,6.8526,52.8005,0,15.9688,10.2429,155.411,15.3894,10.4013,0,0,0,0
"MtrElec",1,1,12,"",358.441,0,12.5453,0,95.1217,0,0.163783,0,0.0645213,9.673,8.35174,0,0,6.345,52.0002,0,16.3255,4.96314,130.077,10.3739,12.4363,0,0,0,0
"MtrElec",1,1,13,"",318.296,0,8.86038,0,94.6849,0,0.163783,0,0.0488208,9.673,8.35178,0,0,5.3298,53.1487,0,16.661,10.9151,87.6841,8.52904,14.2453,0,0,0,0
"MtrElec",1,1,14,"",192.752,0,6.16756,0,2.10448,0,0.163783,0,0.0112497,9.673,8.3518,0,0,5.3298,54.647,0,16.881,0,72.0906,3.99134,13.3408,0,0,0,0
"MtrElec",1,1,15,"",152.063,0,5.0625,0,0,0,0.163783,0,0,9.673,8.35179,0,0,5.3298,57.1222,0,16.6336,0,33.7363,1.97117,14.0191,0,0,0,0
"MtrElec",1,1,16,"",234.081,0,5.46406,0,88.3382,0,0.163783,0,0.000647636,9.673,8.35179,0,0,6.5988,59.8622,0,17.0614,0,16.6611,6.53062,15.3758,0,0,0,0
"MtrElec",1,1,17,"",255.683,0,8.2429,0,54.3459,0,0.163783,0,0.00954053,9.673,8.35182,0,0,7.8678,66.6719,0,16.707,0,55.1992,7.87351,20.5765,0,0,0,0
"MtrElec",1,1,18,"",304.931,0,12.2067,0,60.0709,0,0.163783,0,0.057414,9.673,8.35188,0,0,11.1672,74.336,0,17.7039,3.64801,66.5499,9.57232,31.43,0,0,0,0
"MtrElec",1,1,19,"",397.888,0,14.6328,0,124.957,0,0.163783,0,0.11125,9.673,8.35174,0,0,21.3192,79.8369,0,19.0617,5.70828,80.9088,3.99394,29.1689,0,0,0,0
"MtrElec",1,1,20,"",325.06,0,15.72,0,97.3054,0,0.163783,0,0.133132,9.673,8.3517,0,0,29.6946,82.9684,0,18.6789,10.4467,33.7583,1.88629,16.2803,0,0,0,0
"MtrElec",1,1,21,"",195.904,0,15.5923,0,2.6692,0,0.163783,0,0.157011,9.673,8.3517,0,0,28.6794,86.0232,0,18.1715,1.1769,15.9436,2.06695,7.23569,0,0,0,0
"MtrElec",1,1,22,"",292.702,0,15.6047,0,106.374,0,0.163783,0,0.186714,9.673,8.3517,0,0,24.3648,85.0899,0,17.4307,1.2979,17.4706,3.52809,3.16561,0,0,0,0
"MtrElec",1,1,23,"",186.244,0,20.0104,0,2.37832,0,0.163783,0,0.28212,9.673,8.35169,0,0,15.9894,73.9478,0,15.9977,4.94855,29.8207,2.64597,2.03504,0,0,0,0
"MtrElec",1,1,24,"",258.906,0,25.9681,0,95.5566,0,0.163783,0,0.420885,9.673,8.3517,0,0,9.8982,62.7554,0,16.196,4.95004,22.3647,0,1.13058,0,1.47721,0,0
"MtrElec",1,2,1,"",137.501,0,30.1083,0,0,0,0.163783,0,0.53975,9.673,8.35166,5.76543,0,5.8374,51.197,0,14.4502,2.47455,0,0,1.13058,0,7.80939,0,0
"MtrElec",1,2,2,"",135.169,0,32.2444,0,0,0,0.163783,0,0.628631,9.673,8.35168,5.73609,0,4.8222,46.7506,0,14.0847,1.69764,0,0,0.904462,0,10.1119,0,0
"MtrElec",1,2,3,"",132.88,0,34.4246,0,0,0,0.163783,0,0.813888,9.673,8.35168,5.72147,0,3.807,44.988,0,13.5998,3.25256,0,0.385447,0.904462,0,6.79395,0,0
"MtrElec",1,2,4,"",142.328,0,40.2055,0,0,0,0.163783,0,1.13471,9.673,8.35169,5.6876,0,4.3146,44.7238,0,13.386,0,3.25794,0.496546,0.904462,0,10.0281,0,0
"MtrElec",1,2,5,"",142.517,0,41.6002,0,0.523928,0,0.163783,0,1.25731,9.673,8.35171,5.63018,0,5.3298,42.6485,0,12.9897,0,4.19699,0,0.904462,0,9.24708,0,0
"MtrElec",1,2,6,"",137.874,0,36.417,0,0.493758,0,0.163783,0,0.945058,9.673,8.3517,5.61055,0,7.8678,46.6061,0,13.4194,0,0,0,3.16561,0,5.15973,0,0
"MtrElec",1,2,7,"",246.982,0,32.5771,0,104.758,0,0.163783,0,0.722506,9.673,8.3517,5.67234,0,10.6596,54.526,0,15.114,0,0,0.468189,4.29619,0,0,0,0
"MtrElec",1,2,8,"",283.813,0,33.6438,0,119.983,0,0.163783,0,0.887518,9.673,8.35171,5.71548,0,10.4058,60.4814,0,16.6059,2.58527,3.95731,5.70603,5.65288,0,0,0,0
"MtrElec",1,2,9,"",301.628,0,29.1336,0,100.107,0,0.163783,0,0.914227,9.673,8.35171,5.68423,0,8.6292,59.3392,0,16.1049,6.10072,48.2295,3.31761,5.879,0,0,0,0
"MtrElec",1,2,10,"",280.252,0,23.4898,0,104.733,0,0.163783,0,0.968054,9.673,8.35172,0,0,7.3602,58.8664,0,14.875,9.3224,28.0416,9.43204,4.97454,0,0,0,0
"MtrElec",1,2,11,"",327.572,0,21.0414,0,110.103,0,0.163783,0,0.759011,9.673,8.35174,0,0,6.8526,59.1677,0,14.4699,5.7197,79.7231,6.79933,4.74842,0,0,0,0
"MtrElec",1,2,12,"",195.773,0,17.814,0,8.83674,0,0.163783,0,0.741311,9.673,8.35179,0,0,6.345,59.1677,0,14.645,5.26854,57.4705,0.738297,6.55734,0,0,0,0
"MtrElec",1,2,13,"",232.784,0,17.5721,0,98.887,0,0.163783,0,0.696704,9.673,8.35182,0,0,5.3298,59.2479,0,15.1128,3.18173,6.24036,0.412509,7.91404,0,0,0,0
"MtrElec",1,2,14,"",131.074,0,19.8829,0,0.466187,0,0.163783,0,0.913982,9.673,8.35178,0,0,5.3298,60.3533,0,14.7474,0,3.48668,0.469537,7.23569,0,0,0,0
"MtrElec",1,2,15,"",243.617,0,22.6996,0,99.089,0,0.163783,0,1.08295,9.673,8.35177,5.68869,0,5.3298,62.172,0,14.9961,2.47465,3.9687,0.238764,7.68792,0,0,0,0
"MtrElec",1,2,16,"",158.772,0,24.8012,0,7.30109,0,0.163783,0,1.21988,9.673,8.35178,5.66041,0,6.5988,63.7188,0,15.0995,0,2.01812,2.40773,11.758,0,0,0,0
"MtrElec",1,2,17,"",195.843,0,26.3442,0,2.75926,0,0.163783,0,1.2137,9.673,8.35174,5.63015,0,7.8678,70.6647,0,15.438,0.530617,20.3511,0.851233,26.0033,0,0,0,0
"MtrElec",1,2,18,"",320.216,0,27.224,0,102.92,0,0.163783,0,1.07436,9.673,8.3518,5.6297,0,11.1672,76.6157,0,16.9088,6.12925,7.19494,3.52304,43.6403,0,0,0,0
"MtrElec",1,2,19,"",292.321,0,25.1413,0,44.8417,0,0.163783,0,0.693727,9.673,8.35174,5.64809,0,21.3192,81.4779,0,18.3741,3.64857,29.7781,2.50869,40.7008,0,0,0,0
