"MF88 Individual Supply + Central Exhaust (SZHP)  /  Proposed  /  MF88Unit_ISUP_IEXH-SZHP_CZ9.cibd25x",002
"Thu 21-May-26   1:05:37 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",137.664,0,21.1925,0,0,0,0.163783,0,0.437322,4.8365,8.12937,5.83217,0,5.8374,51.3333,0,15.0091,0,18.5615,0,1.13058,0,5.20046,0,0
"MtrElec",1,1,2,"",123.365,0,25.6708,0,0,0,0.163783,0,0.750285,4.8365,8.12932,5.76678,0,4.8222,47.2797,0,14.2985,2.47506,0,0,0.904462,0,8.26759,0,0
"MtrElec",1,1,3,"",122.383,0,28.7166,0,0,0,0.163783,0,1.00257,4.8365,8.12932,5.6936,0,3.807,44.8524,0,14.0102,0,0,0,0.678346,0,10.4928,0,0
"MtrElec",1,1,4,"",127.394,0,32.6144,0,0,0,0.163783,0,1.28467,4.8365,8.12931,5.64348,0,4.3146,44.7245,0,13.6566,0,0,0,0.678346,0,11.3475,0,0
"MtrElec",1,1,5,"",129.639,0,36.9034,0,0,0,0.163783,0,1.54238,4.8365,8.12931,5.59798,0,5.3298,42.5129,0,13.1764,0,0,0,0.678346,0,10.7685,0,0
"MtrElec",1,1,6,"",214.939,0,40.1305,0,82.555,0,0.163783,0,1.63084,4.8365,8.12936,5.56,0,7.8678,46.3646,0,13.0955,0,0,0,1.13058,0,3.47413,0,0
"MtrElec",1,1,7,"",188.75,0,40.4245,0,46.3489,0,0.163783,0,1.56513,4.8365,8.12933,5.5459,0,10.6596,52.2089,0,13.3873,1.40649,0,1.81286,2.26115,0,0,0,0
"MtrElec",1,1,8,"",252.878,0,34.6398,0,88.356,0,0.163783,0,1.04171,4.8365,8.12935,5.557,0,10.4058,56.9195,0,14.5549,1.06891,15.3229,5.77618,6.10511,0,0,0,0
"MtrElec",1,1,9,"",332.248,0,26.6937,0,138.026,0,0.163783,0,0.650922,4.8365,8.12936,5.65946,0,8.6292,53.744,0,16.5966,0,48.8224,9.44234,10.8535,0,0,0,0
"MtrElec",1,1,10,"",348.722,0,18.2077,0,126.639,0,0.163783,0,0.309177,4.8365,8.1294,0,0,7.3602,51.7744,0,16.2014,6.04963,79.8101,18.3867,10.8535,0,0,0,0
"MtrElec",1,1,11,"",351.448,0,11.0381,0,60.0374,0,0.163783,0,0.165355,4.8365,8.12942,0,0,6.8526,52.8005,0,15.9795,10.2429,155.411,15.3894,10.4013,0,0,0,0
"MtrElec",1,1,12,"",357.77,0,7.08416,0,104.961,0,0.163783,0,0.0636543,4.8365,8.12943,0,0,6.345,52.0002,0,16.3359,4.96314,130.077,10.3739,12.4363,0,0,0,0
"MtrElec",1,1,13,"",307.07,0,3.40688,0,93.9598,0,0.163783,0,0.0500108,4.8365,8.12947,0,0,5.3298,53.1487,0,16.6712,10.9151,87.6841,8.52904,14.2453,0,0,0,0
"MtrElec",1,1,14,"",198.547,0,1.96868,0,17.1463,0,0.163783,0,0.0117045,4.8365,8.12947,0,0,5.3298,54.647,0,16.8908,0,72.0906,3.99134,13.3408,0,0,0,0
"MtrElec",1,1,15,"",206.112,0,1.41398,0,62.7464,0,0.163783,0,0,4.8365,8.12947,0,0,5.3298,57.1222,0,16.6434,0,33.7363,1.97117,14.0191,0,0,0,0
"MtrElec",1,1,16,"",202.458,0,1.82868,0,65.4012,0,0.163783,0,0.000805402,4.8365,8.12948,0,0,6.5988,59.8622,0,17.0687,0,16.6611,6.53062,15.3758,0,0,0,0
"MtrElec",1,1,17,"",213.59,0,3.36694,0,22.1779,0,0.163783,0,0.0095436,4.8365,8.12951,0,0,7.8678,66.6719,0,16.7174,0,55.1992,7.87351,20.5765,0,0,0,0
"MtrElec",1,1,18,"",311.527,0,5.80624,0,78.1166,0,0.163783,0,0.0578293,4.8365,8.12959,0,0,11.1672,74.336,0,17.7134,3.64801,66.5499,9.57232,31.43,0,0,0,0
"MtrElec",1,1,19,"",379.456,0,8.7213,0,117.491,0,0.163783,0,0.109809,4.8365,8.1295,0,0,21.3192,79.8369,0,19.0685,5.70828,80.9088,3.99394,29.1689,0,0,0,0
"MtrElec",1,1,20,"",284.193,0,9.97033,0,67.2406,0,0.163783,0,0.131141,4.8365,8.1295,0,0,29.6946,82.9684,0,18.6871,10.4467,33.7583,1.88629,16.2803,0,0,0,0
"MtrElec",1,1,21,"",267.115,0,10.1319,0,84.3916,0,0.163783,0,0.154825,4.8365,8.1295,0,0,28.6794,86.0232,0,18.1813,1.1769,15.9436,2.06695,7.23569,0,0,0,0
"MtrElec",1,1,22,"",235.176,0,10.1764,0,59.3293,0,0.163783,0,0.182853,4.8365,8.12949,0,0,24.3648,85.0899,0,17.4406,1.2979,17.4706,3.52809,3.16561,0,0,0,0
"MtrElec",1,1,23,"",219.022,0,13.7411,0,46.4758,0,0.163783,0,0.276768,4.8365,8.1294,0,0,15.9894,73.9478,0,16.0115,4.94855,29.8207,2.64597,2.03504,0,0,0,0
"MtrElec",1,1,24,"",151.44,0,19.2268,0,0,0,0.163783,0,0.411549,4.8365,8.12939,0,0,9.8982,62.7554,0,16.2048,4.95004,22.3647,0,1.13058,0,1.36877,0,0
"MtrElec",1,2,1,"",125.382,0,23.0745,0,0,0,0.163783,0,0.528638,4.8365,8.12936,5.76729,0,5.8374,51.197,0,14.4635,2.47455,0,0,1.13058,0,7.77924,0,0
"MtrElec",1,2,2,"",122.619,0,24.7937,0,0,0,0.163783,0,0.607634,4.8365,8.12934,5.73833,0,4.8222,46.7506,0,14.0961,1.69764,0,0,0.904462,0,10.079,0,0
"MtrElec",1,2,3,"",171.943,0,28.0166,0,50.6432,0,0.163783,0,0.787914,4.8365,8.12937,5.72482,0,3.807,44.988,0,13.611,3.25256,0,0.385447,0.904462,0,6.69191,0,0
"MtrElec",1,2,4,"",132.264,0,33.0921,0,2.19415,0,0.163783,0,1.10763,4.8365,8.12937,5.6917,0,4.3146,44.7238,0,13.3966,0,3.25794,0.496546,0.904462,0,9.95504,0,0
"MtrElec",1,2,5,"",134.485,0,34.8679,0,4.3834,0,0.163783,0,1.23806,4.8365,8.12937,5.63366,0,5.3298,42.6485,0,13.0014,0,4.19699,0,0.904462,0,9.15069,0,0
"MtrElec",1,2,6,"",132.102,0,29.8879,0,6.44884,0,0.163783,0,0.928626,4.8365,8.12938,5.61283,0,7.8678,46.6061,0,13.4334,0,0,0,3.16561,0,5.02082,0,0
"MtrElec",1,2,7,"",208.262,0,26.1772,0,77.4994,0,0.163783,0,0.705464,4.8365,8.12938,5.67442,0,10.6596,54.526,0,15.1254,0,0,0.468189,4.29619,0,0,0,0
"MtrElec",1,2,8,"",309.012,0,27.1343,0,156.752,0,0.163783,0,0.875134,4.8365,8.12939,5.71786,0,10.4058,60.4814,0,16.6146,2.58527,3.95731,5.70603,5.65288,0,0,0,0
"MtrElec",1,2,9,"",299.703,0,23.3029,0,109.081,0,0.163783,0,0.893921,4.8365,8.1294,5.68559,0,8.6292,59.3392,0,16.1146,6.10072,48.2295,3.31761,5.879,0,0,0,0
"MtrElec",1,2,10,"",246.413,0,18.0467,0,81.407,0,0.163783,0,0.94583,4.8365,8.12941,0,0,7.3602,58.8664,0,14.887,9.3224,28.0416,9.43204,4.97454,0,0,0,0
"MtrElec",1,2,11,"",275.743,0,15.156,0,69.2178,0,0.163783,0,0.747691,4.8365,8.12939,0,0,6.8526,59.1677,0,14.4816,5.7197,79.7231,6.79933,4.74842,0,0,0,0
"MtrElec",1,2,12,"",252.849,0,12.6237,0,76.1617,0,0.163783,0,0.730198,4.8365,8.12946,0,0,6.345,59.1677,0,14.6563,5.26854,57.4705,0.738297,6.55734,0,0,0,0
"MtrElec",1,2,13,"",179.182,0,12.5175,0,55.3988,0,0.163783,0,0.68782,4.8365,8.12952,0,0,5.3298,59.2479,0,15.1222,3.18173,6.24036,0.412509,7.91404,0,0,0,0
"MtrElec",1,2,14,"",172.267,0,14.7412,0,51.8617,0,0.163783,0,0.902447,4.8365,8.12949,0,0,5.3298,60.3533,0,14.7573,0,3.48668,0.469537,7.23569,0,0,0,0
"MtrElec",1,2,15,"",181.904,0,17.4274,0,47.716,0,0.163783,0,1.06543,4.8365,8.12949,5.68983,0,5.3298,62.172,0,15.0041,2.47465,3.9687,0.238764,7.68792,0,0,0,0
"MtrElec",1,2,16,"",174.483,0,19.6565,0,33.2182,0,0.163783,0,1.20648,4.8365,8.12947,5.66272,0,6.5988,63.7188,0,15.1081,0,2.01812,2.40773,11.758,0,0,0,0
"MtrElec",1,2,17,"",205.373,0,21.0608,0,22.6326,0,0.163783,0,1.20013,4.8365,8.12948,5.63142,0,7.8678,70.6647,0,15.4492,0.530617,20.3511,0.851233,26.0033,0,0,0,0
"MtrElec",1,2,18,"",270.331,0,21.563,0,63.7575,0,0.163783,0,1.05824,4.8365,8.12942,5.63103,0,11.1672,76.6157,0,16.9207,6.12925,7.19494,3.52304,43.6403,0,0,0,0
"MtrElec",1,2,19,"",291.926,0,19.0009,0,55.6486,0,0.163783,0,0.678329,4.8365,8.12943,5.65007,0,21.3192,81.4779,0,18.3848,3.64857,29.7781,2.50869,40.7008,0,0,0,0
"MtrElec",1,2,20,"",312.323,0,16.4618,0,88.4378,0,0.163783,0,0.392315,4.8365,8.12938,5.72296,0,29.6946,85.7687,0,18.4797,4.19983,21.2043,6.67204,22.1593,0,0,0,0
"MtrElec",1,2,21,"",370.337,0,20.0763,0,114.929,0,0.163783,0,0.533656,4.8365,8.12939,5.78291,0,28.6794,88.9865,0,17.5625,9.79747,56.3945,4.96868,9.49684,0,0,0,0
"MtrElec",1,2,22,"",288.585,0,25.2727,0,62.3402,0,0.163783,0,0.814446,4.8365,8.12942,5.75663,0,24.3648,87.7289,0,16.7174,1.95897,41.9971,3.98203,4.52231,0,0,0,0
