PV Array & Battery Report
,"PV and Battery required based on Prescriptive tables:  275.8 kWdc PV  /  Battery Energy 261.7 kWh and Power 65.42 kW (Time of Use control)"
,"Standard Design PV Capacity: 275.8 kWdc  /  Battery Capacity: 261.7 kWh  (power 65.42 kW, Time of Use control)"
,"User-specified PV and Battery:  274.5 kWdc PV  /  260.2 kWh Battery  (65.0/65.0 charge/discharge rate (kW), Time of Use control)"

Prescriptive PV/Battery Requirements:
Space/ResOtherZn/ResZn,,,,,,NonRes & HiRiseRes Multiplied Areas by PVBattery Bldg Type,,,,,,,,,,,,,LowRiseRes,,Prescriptive Capacities:
Name,Conditioning Type,Space Function,PV/Batt Bldg Type,Floor Area,Multiplier,"Events, Exhibits",Library,Hotel/Motel,"Office, Financial, Unleased, Med Office/Clinic",Restaurants,"Retail, Grocery",School,Warehouse,Religious Worship,"Sports, Recreation",Highrise Multifamily,none,# Res Dwellings,MultArea,,PV,Batt Energy,Batt Power
,,,,(ft2),,(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),,(ft2),,(kWdc),(kWh),(kW)
"F1 Retail N Core","DirectlyConditioned","Retail Sales Area (Retail Merchandise Sales)","Retail, Grocery",1665,1,,,,,,1665,,,,,,,,,,6.07725,3.45268,0.863171,
"F1 Retail NE Core","DirectlyConditioned","Retail Sales Area (Retail Merchandise Sales)","Retail, Grocery",1440,1,,,,,,1440,,,,,,,,,,5.256,2.98611,0.746526,
"F1 Retail NE Inner","DirectlyConditioned","Retail Sales Area (Retail Merchandise Sales)","Retail, Grocery",1440,1,,,,,,1440,,,,,,,,,,5.256,2.98611,0.746526,
"F1 Retail NE Outer","DirectlyConditioned","Retail Sales Area (Retail Merchandise Sales)","Retail, Grocery",1440,1,,,,,,1440,,,,,,,,,,5.256,2.98611,0.746526,
"F1 Retail NW Inner Core","DirectlyConditioned","Retail Sales Area (Retail Merchandise Sales)","Retail, Grocery",1440,1,,,,,,1440,,,,,,,,,,5.256,2.98611,0.746526,
"F1 Retail NW Outer","DirectlyConditioned","Retail Sales Area (Retail Merchandise Sales)","Retail, Grocery",1440,1,,,,,,1440,,,,,,,,,,5.256,2.98611,0.746526,
"F1 Retail NW Outer Core","DirectlyConditioned","Retail Sales Area (Retail Merchandise Sales)","Retail, Grocery",1440,1,,,,,,1440,,,,,,,,,,5.256,2.98611,0.746526,
"F1 Retail SE Bottom","DirectlyConditioned","Retail Sales Area (Retail Merchandise Sales)","Retail, Grocery",1440,1,,,,,,1440,,,,,,,,,,5.256,2.98611,0.746526,
"F1 Retail SE Top","DirectlyConditioned","Retail Sales Area (Retail Merchandise Sales)","Retail, Grocery",1440,1,,,,,,1440,,,,,,,,,,5.256,2.98611,0.746526,
"F1 Retail SW Bottom","DirectlyConditioned","Retail Sales Area (Retail Merchandise Sales)","Retail, Grocery",1440,1,,,,,,1440,,,,,,,,,,5.256,2.98611,0.746526,
