"MF8  Central Supply + Central Exhaust (SZHP)  /  Standard  /  MF8Unit_CSUP_CEXH_SZHP_CZ09.cibd25x",001
"Fri 22-May-26   3:4 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",15.0876,0,0,0,1.73275,0,0,0,0,0.937253,0,0.250109,0,0.537112,4.64792,0,1.32696,0,5.55219,0,0.103269,0,0,0,0
"MtrElec",1,1,2,"",8.44009,0,0,0,1.18456,0,0,0,0,0.937253,0,0.250109,0,0.443701,4.27654,0,1.26531,0,0,0,0.082615,0,0,0,0
"MtrElec",1,1,3,"",8.94686,0,0.592787,0,1.36976,0,0,0,0.0929626,0.937253,0,0.250109,0,0.35029,4.05412,0,1.23761,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,4,"",9.912,0,1.15962,0,1.68244,0,0,0,0.182733,0.937253,0,0.243512,0,0.396996,4.04258,0,1.20489,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,5,"",8.99302,0,1.4915,0,0.54257,0,0,0,0.236101,0.937253,0,0.237141,0,0.490407,3.83942,0,1.15666,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,6,"",10.8371,0,1.55448,0,1.72864,0,0,0,0.246987,0.937253,0,0.233353,0,0.723934,4.16041,0,1.14877,0,0,0,0.103269,0,0,0,0
"MtrElec",1,1,7,"",25.6202,0,1.46504,0,1.64034,12.659,0,0,0.2335,0.937253,0,0.232581,0,0.980813,4.67234,0,1.16842,0,0,0.654821,0.206538,0,0.769515,0,0
"MtrElec",1,1,8,"",19.8133,0,0.858274,0,1.51086,6.05576,0,0,0.136072,0.937253,0,0.233538,0,0.957461,5.01958,0,1.27819,0,5.53479,1.74196,0.557651,0,0.491981,0,-5.5001
"MtrElec",1,1,9,"",11.6089,0,0.308686,0,3.55176,0,0,0,0.0484379,0.937253,0,0.240452,0,0.793992,4.71994,0,1.4817,0,14.7237,0.249339,0.99138,0,0.256332,0,-16.6941
"MtrElec",1,1,10,"",-2.88619,0,0.0302776,0,5.72097,0,0,0,0.00469193,0.937253,0,0,0,0.677228,4.53847,0,1.43231,1.00827,2.1075,5.28873,0.99138,0,0,0,-25.6233
"MtrElec",1,1,11,"",35.4178,0,0,0,9.22858,0,0,0,0,0.937253,0,0,0,0.630523,4.61538,0,1.41488,1.4659,44.7023,2.64576,0.950073,0,0.0301719,0,-31.203
"MtrElec",1,1,12,"",3.75634,0,0,0,6.01687,0,0,0,0,0.937253,0,0,0,0.583817,4.54226,0,1.45072,0,22.3629,0,1.13596,0,0.0152393,0,-33.2887
"MtrElec",1,1,13,"",-18.7426,0,0,0,4.91665,0,0,0,0,0.937253,0,0,0,0.490407,4.501,0,1.48257,0,0,0,1.30119,0,0,0,-32.3717
"MtrElec",1,1,14,"",-9.9776,0,0,0,1.08787,0,0,0,0,0.937253,0,0,0,0.490407,4.63842,0,1.50256,0,0,0,1.21857,0,0,0,-19.8527
"MtrElec",1,1,15,"",-7.22509,0,0,0,0,0,0,0,0,0.937253,0,0,0,0.490407,4.86538,0,1.47905,0,0,0,1.28053,0,0,0,-16.2777
"MtrElec",1,1,16,"",-0.364398,0,0,0,0,0,0,0,0,0.937253,0,0,0,0.60717,5.1168,0,1.52755,0,0,0,1.40446,0,0,0,-9.95762
"MtrElec",1,1,17,"",9.73328,0,0,0,0.177246,0,0,0,0,0.937253,0,0,0,0.723934,5.74202,0,1.48307,0,0,0,1.87949,0,0,0,-1.20973
"MtrElec",1,1,18,"",14.4375,0,0,0,1.55075,0,0,0,0,0.937253,0,0,0,1.02752,6.47423,0,1.57689,0,0,0,2.87087,0,0,0,0
"MtrElec",1,1,19,"",17.0244,0,0,0,2.791,0,0,0,0,0.937253,0,0,0,1.96163,6.95786,0,1.71233,0,0,0,2.66433,0,0,0,0
"MtrElec",1,1,20,"",19.8438,0,0,0,3.30511,0,0,0,0,0.937253,0,0,0,2.73227,7.23308,0,1.67346,2.47561,0,0,1.48707,0,0,0,0
"MtrElec",1,1,21,"",19.5629,0,0,0,5.31598,0,0,0,0,0.937253,0,0,0,2.63885,7.49676,0,1.62351,0,0,0.882255,0.66092,0,0.00735417,0,0
"MtrElec",1,1,22,"",24.7737,0,0,0,4.85966,0,0,0,0,0.937253,0,0,0,2.24186,7.42686,0,1.55763,0,7.45715,0,0.289153,0,0.00414659,0,0
"MtrElec",1,1,23,"",16.4781,0,0,0,5.82875,0,0,0,0,0.937253,0,0,0,1.47122,6.63975,0,1.41522,0,0,0,0.185884,0,0,0,0
"MtrElec",1,1,24,"",13.4266,0,0,0,4.36419,0,0,0,0,0.937253,0,0,0,0.910755,5.66234,0,1.44881,0,0,0,0.103269,0,0,0,0
"MtrElec",1,2,1,"",8.1956,0,0,0,0.459076,0,0,0,0,0.937253,0,0.250109,0,0.537112,4.63532,0,1.27346,0,0,0,0.103269,0,0,0,0
"MtrElec",1,2,2,"",7.18728,0,0,0,0,0,0,0,0,0.937253,0,0.250109,0,0.443701,4.22793,0,1.24567,0,0,0,0.082615,0,0,0,0
"MtrElec",1,2,3,"",6.90113,0,0.012562,0,0,0,0,0,0.00194301,0.937253,0,0.250109,0,0.35029,4.06638,0,1.19998,0,0,0,0.082615,0,0,0,0
"MtrElec",1,2,4,"",7.62865,0,0.639622,0,0,0,0,0,0.0995315,0.937253,0,0.249972,0,0.396996,4.04224,0,1.18042,0,0,0,0.082615,0,0,0,0
"MtrElec",1,2,5,"",7.86802,0,0.971721,0,0,0,0,0,0.151426,0.937253,0,0.243046,0,0.490407,3.85168,0,1.13987,0,0,0,0.082615,0,0,0,0
