"MF8  Central Supply + Central Exhaust (SZHP)  /  Proposed  /  MF8Unit_CSUP_CEXH_SZHP_CZ09.cibd25x",001
"Fri 22-May-26   3:4 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",15.0839,0,0,0,1.73036,0,0,0,0,0.937253,0,0.244341,0,0.537112,4.64792,0,1.33151,0,5.55219,0,0.103269,0,0,0,0
"MtrElec",1,1,2,"",8.43782,0,0,0,1.18387,0,0,0,0,0.937253,0,0.244341,0,0.443701,4.27654,0,1.2695,0,0,0,0.082615,0,0,0,0
"MtrElec",1,1,3,"",8.23238,0,0,0,1.3426,0,0,0,0,0.937253,0,0.244341,0,0.35029,4.05412,0,1.24181,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,4,"",9.05157,0,0.414316,0,1.68083,0,0,0,0.0650549,0.937253,0,0.244341,0,0.396996,4.04258,0,1.20823,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,5,"",8.44618,0,0.991609,0,0.571009,0,0,0,0.156476,0.937253,0,0.239725,0,0.490407,3.83942,0,1.15832,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,6,"",10.3658,0,1.14682,0,1.72873,0,0,0,0.18176,0.937253,0,0.233238,0,0.723934,4.16041,0,1.15035,0,0,0,0.103269,0,0,0,0
"MtrElec",1,1,7,"",25.2072,0,1.11129,0,1.64039,12.659,0,0,0.176736,0.937253,0,0.231444,0,0.980813,4.67234,0,1.17024,0,0,0.654821,0.206538,0,0.76634,0,0
"MtrElec",1,1,8,"",19.4633,0,0.572411,0,1.5109,6.04982,0,0,0.0905907,0.937253,0,0.2318,0,0.957461,5.01958,0,1.27988,0,5.53479,1.74196,0.557651,0,0.49108,0,-5.51185
"MtrElec",1,1,9,"",11.2936,0,0.118553,0,3.49382,0,0,0,0.01861,0.937253,0,0.237913,0,0.793992,4.71994,0,1.48278,0,14.7237,0.249339,0.99138,0,0.256056,0,-16.7297
"MtrElec",1,1,10,"",-2.94897,0,0,0,5.74645,0,0,0,0,0.937253,0,0,0,0.677228,4.53847,0,1.43377,1.00827,2.1075,5.28873,0.99138,0,0,0,-25.678
"MtrElec",1,1,11,"",35.3512,0,0,0,9.22697,0,0,0,0,0.937253,0,0,0,0.630523,4.61538,0,1.41665,1.4659,44.7023,2.64576,0.950073,0,0.0301139,0,-31.2697
"MtrElec",1,1,12,"",3.70409,0,0,0,6.03363,0,0,0,0,0.937253,0,0,0,0.583817,4.54226,0,1.45288,0,22.3629,0,1.13596,0,0.0151976,0,-33.3598
"MtrElec",1,1,13,"",-18.8445,0,0,0,4.8816,0,0,0,0,0.937253,0,0,0,0.490407,4.501,0,1.48489,0,0,0,1.30119,0,0,0,-32.4408
"MtrElec",1,1,14,"",-9.98962,0,0,0,1.116,0,0,0,0,0.937253,0,0,0,0.490407,4.63842,0,1.50484,0,0,0,1.21857,0,0,0,-19.8951
"MtrElec",1,1,15,"",-7.25761,0,0,0,0,0,0,0,0,0.937253,0,0,0,0.490407,4.86538,0,1.48132,0,0,0,1.28053,0,0,0,-16.3125
"MtrElec",1,1,16,"",-0.384029,0,0,0,0,0,0,0,0,0.937253,0,0,0,0.60717,5.1168,0,1.52919,0,0,0,1.40446,0,0,0,-9.9789
"MtrElec",1,1,17,"",9.73291,0,0,0,0.177244,0,0,0,0,0.937253,0,0,0,0.723934,5.74202,0,1.48528,0,0,0,1.87949,0,0,0,-1.21231
"MtrElec",1,1,18,"",14.4395,0,0,0,1.55074,0,0,0,0,0.937253,0,0,0,1.02752,6.47423,0,1.57883,0,0,0,2.87087,0,0,0,0
"MtrElec",1,1,19,"",17.0257,0,0,0,2.79103,0,0,0,0,0.937253,0,0,0,1.96163,6.95786,0,1.71361,0,0,0,2.66433,0,0,0,0
"MtrElec",1,1,20,"",19.8454,0,0,0,3.30518,0,0,0,0,0.937253,0,0,0,2.73227,7.23308,0,1.67492,2.47561,0,0,1.48707,0,0,0,0
"MtrElec",1,1,21,"",19.5617,0,0,0,5.31312,0,0,0,0,0.937253,0,0,0,2.63885,7.49676,0,1.62524,0,0,0.882255,0.66092,0,0.00732446,0,0
"MtrElec",1,1,22,"",24.5696,0,0,0,4.65381,0,0,0,0,0.937253,0,0,0,2.24186,7.42686,0,1.5594,0,7.45715,0,0.289153,0,0.0041294,0,0
"MtrElec",1,1,23,"",16.6596,0,0,0,6.00777,0,0,0,0,0.937253,0,0,0,1.47122,6.63975,0,1.41778,0,0,0,0.185884,0,0,0,0
"MtrElec",1,1,24,"",13.4567,0,0,0,4.39253,0,0,0,0,0.937253,0,0,0,0.910755,5.66234,0,1.45051,0,0,0,0.103269,0,0,0,0
"MtrElec",1,2,1,"",8.19143,0,0,0,0.457966,0,0,0,0,0.937253,0,0.244341,0,0.537112,4.63532,0,1.27617,0,0,0,0.103269,0,0,0,0
"MtrElec",1,2,2,"",7.18395,0,0,0,0,0,0,0,0,0.937253,0,0.244341,0,0.443701,4.22793,0,1.2481,0,0,0,0.082615,0,0,0,0
"MtrElec",1,2,3,"",6.88343,0,0,0,0,0,0,0,0,0.937253,0,0.244341,0,0.35029,4.06638,0,1.20256,0,0,0,0.082615,0,0,0,0
"MtrElec",1,2,4,"",7.05284,0,0.143954,0,0,0,0,0,0.0224065,0.937253,0,0.244341,0,0.396996,4.04224,0,1.18303,0,0,0,0.082615,0,0,0,0
"MtrElec",1,2,5,"",7.52251,0,0.671721,0,0,0,0,0,0.10447,0.937253,0,0.242751,0,0.490407,3.85168,0,1.14162,0,0,0,0.082615,0,0,0,0
"MtrElec",1,2,6,"",8.13528,0,0.52175,0,0,0,0,0,0.0805925,0.937253,0,0.236928,0,0.723934,4.17266,0,1.17301,0,0,0,0.289153,0,0,0,0
"MtrElec",1,2,7,"",9.07921,0,0.377955,0,0,0,0,0,0.058366,0.937253,0,0.238622,0,0.980813,4.75662,0,1.33716,0,0,0,0.392421,0,0,0,0
"MtrElec",1,2,8,"",10.9262,0,0.683439,0,1.0021,0,0,0,0.106048,0.937253,0,0.240199,0,0.957461,5.11646,0,1.48295,0,0,0,0.516344,0,0,0,-0.116084
"MtrElec",1,2,9,"",10.9057,0,0.987373,0,3.83151,0,0,0,0.153038,0.937253,0,0.236816,0,0.793992,4.74336,0,1.43367,0,0,0,0.536998,0,0,0,-2.74827
"MtrElec",1,2,10,"",13.7004,0,1.08864,0,7.52591,0,0,0,0.167817,0.937253,0,0,0,0.677228,4.45277,0,1.31265,0,0,0,0.454383,0,0,0,-2.91621
"MtrElec",1,2,11,"",15.4448,0,0.956706,0,7.83844,0,0,0,0.146492,0.937253,0,0,0,0.630523,4.50554,0,1.27549,2.61726,0,0,0.433729,0,0,0,-3.89664
"MtrElec",1,2,12,"",13.0458,0,0.506944,0,5.20178,0,0,0,0.0773913,0.937253,0,0,0,0.583817,4.50554,0,1.29342,4.10175,0,0,0.598959,0,0,0,-4.76102
"MtrElec",1,2,13,"",7.31723,0,0.744078,0,2.80959,0,0,0,0.114066,0.937253,0,0,0,0.490407,4.51254,0,1.34405,0.70683,0,0,0.722881,0,0,0,-5.06446
"MtrElec",1,2,14,"",10.0099,0,1.08637,0,3.26158,0,0,0,0.16752,0.937253,0,0,0,0.490407,4.61395,0,1.30866,0,0,0,0.66092,0,0,0,-2.51678
"MtrElec",1,2,15,"",10.4793,0,1.18129,0,3.45153,0,0,0,0.183429,0.937253,0,0.232454,0,0.490407,4.7811,0,1.33859,0,0,0,0.702228,0,0,0,-2.81901
"MtrElec",1,2,16,"",12.0902,0,1.02244,0,2.01218,0,0,0,0.159412,0.937253,0,0.231325,0,0.60717,4.9234,0,1.3458,0,0,0.882252,1.074,0,0.0285265,0,-1.13356
"MtrElec",1,2,17,"",21.2084,0,0.926397,0,1.55586,0,0,0,0.145191,0.937253,0,0.233029,0,0.723934,5.56121,0,1.36703,0,7.45712,0,2.37518,0,0,0,-0.0737952
"MtrElec",1,2,18,"",17.0269,0,1.1261,0,1.6318,0,0,0,0.177657,0.937253,0,0.234039,0,1.02752,6.40183,0,1.49921,0,0,0,3.98618,0,0.00526375,0,0
"MtrElec",1,2,19,"",18.0458,0,0.748099,0,1.72489,0,0,0,0.117259,0.937253,0,0.231735,0,1.96163,6.96974,0,1.63752,0,0,0,3.71768,0,0,0,0
"MtrElec",1,2,20,"",17.4259,0,0.400915,0,1.16691,0,0,0,0.0623761,0.937253,0,0.236021,0,2.73227,7.32996,0,1.65419,0,0,0.881954,2.02407,0,0,0,0
"MtrElec",1,2,21,"",26.8094,0,0.540956,0,2.3622,0,0,0,0.084852,0.937253,0,0.239915,0,2.63885,7.6419,0,1.56554,2.47586,7.4546,0,0.867458,0,0,0,0
"MtrElec",1,2,22,"",21.4067,0,0.838114,0,7.53535,0,0,0,0.132274,0.937253,0,0.23832,0,2.24186,7.58459,0,1.48588,0,0,0,0.413075,0,0,0,0
"MtrElec",1,2,23,"",22.6063,0,1.32535,0,5.28119,4.78733,0,0,0.210705,0.937253,0,0.234955,0,1.47122,6.72474,0,1.3857,0,0,0,0.247845,0,0,0,0
"MtrElec",1,2,24,"",15.016,0,1.8818,0,3.52932,0,0,0,0.30159,0.937253,0,0.22939,0,0.910755,5.76204,0,1.25735,0,0,0,0.206538,0,0,0,0
"MtrElec",1,3,1,"",11.1648,0,2.08384,0,1.00054,0,0,0,0.333256,0.937253,0,0.222941,0,0.537112,4.64792,0,1.2987,0,0,0,0.103269,0,0,0,0
"MtrElec",1,3,2,"",10.1675,0,2.55621,0,0,0,0,0,0.406994,0.937253,0,0.220641,0,0.443701,4.27654,0,1.24359,0,0,0,0.082615,0,0,0,0
"MtrElec",1,3,3,"",10.0427,0,2.76423,0,0,0,0,0,0.438895,0.937253,0,0.214174,0,0.35029,4.05412,0,1.22181,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,3,4,"",10.2584,0,2.94651,0,0,0,0,0,0.468138,0.937253,0,0.211402,0,0.396996,4.04258,0,1.19355,0,0,0,0.0619613,0,0,0,0
