19,5,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC 2025.2.0.1 (1395)"
,CompMgr:,,"BEMCmpMgr 2025.2.0.1 (625)"
,OpenStudio:,,"n/a"
,EnergyPlus:,,"n/a"
,CSE:,,"CSE 0.927.0 EXE"
,Ruleset:,,"CA 2025 Nonresidential, Vers. 1.0 (T24_2025.bin)"
Run Title:,,,"MF8  Central Supply + Central Exhaust (SZHP)"
Run Date/Time:,,,"2026-05-22 15:42:57"
NonRes Cond. Area:,,,0
Residential Cond. Area:,,,7320
Model:,,,"Proposed"
Model File:,,,"C:\Users\MichaelSawford\A2 Efficiency\P-2050-006.00 SCE T24 Complex HVAC - Documents\4.00-Modeling\EX01e_MF Ventilation\MF08_1E_CSUP_CEXH_SZ_CZ09\MF8Unit_CSUP_CEXH_SZHP_CZ09.cibd25x"

,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,LSC Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh)
1,1,1, 01/01 01,0,0,0.274615,0,0.0715919,0.506995,0,1.36184,2.04718,0.157374,0,0.853203,4.4196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1911,1269.81,1106.78,8.29512,89.9626,100,0.000438895,0.0060051,0.006288,0.00127989,0,0,
1,1,2, 01/01 02,0,0,0.274615,0,0.0715919,0.346874,0,1.25303,0.39617,0.130004,0,0.693081,2.47228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2831,1269.81,1106.78,7.19566,89.9626,100,0.000380722,0.0060051,0.006288,0.000390829,0,0,
1,1,3, 01/01 03,0,0,0.274615,0,0.0715919,0.393382,0,1.18786,0.382005,0.102635,0,0.739589,2.41209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.79372,1269.81,1106.78,4.74042,89.9626,100,0.000250816,0.0060051,0.006288,0,0,0,
1,1,4, 01/01 04,0.121395,0,0.293676,0,0.0715919,0.492483,0,1.18448,0.372166,0.11632,0,0.979146,2.65211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.58349,1269.81,1106.78,4.31459,89.9626,100,0.000228285,0.0060051,0.006288,0,0,0,
1,1,5, 01/01 05,0.290541,0,0.320463,0,0.0702394,0.167306,0,1.12495,0.357542,0.143689,0,0.848549,2.47473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54633,1269.81,1106.78,4.23227,89.9626,100,0.000223929,0.0060051,0.006288,0,0,0,
1,1,6, 01/01 06,0.336018,0,0.327871,0,0.0683387,0.506518,0,1.219,0.36731,0.212113,0,1.23875,3.03717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60773,1269.81,1106.78,4.35364,89.9626,100,0.000230351,0.0060051,0.006288,0,0,0,
1,1,7, 01/01 07,0.325608,0,0.326399,0,0.0678131,4.41426,0,1.369,0.595259,0.287378,0,5.13408,7.38571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.53865,1269.81,1106.78,5.54605,89.9626,100,0.000293441,0.0060051,0.006288,0.000150648,0,0,
1,1,8, 01/01 08,0.167716,0,0.301158,0,0.0679174,2.35918,0,1.47074,2.67048,0.280536,0,2.89597,7.31773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.59624,1269.81,1106.78,4.35696,89.9626,100,0.000230527,0.0060051,0.006288,0,-1.61497,0,
1,1,9, 01/01 09,0.034736,0,0.280068,0,0.0697085,1.09871,0,1.38294,5.11203,0.23264,0,1.48323,8.21084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76122,1269.81,1106.78,2.68137,89.9626,100,0.000141871,0.0060051,0.006288,0,-4.9018,0,
1,1,10, 01/01 10,0,0,0.274615,0,0,1.68371,0,1.32977,3.17309,0.198428,0,1.95832,6.65961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75832,1269.81,1106.78,2.3791,89.9626,100,0.000125878,0.0060051,0.006288,0,-7.52365,0,
1,1,11, 01/01 11,0,0,0.274615,0,0,2.71233,0,1.35231,14.9959,0.184743,0,2.98694,19.5199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76108,1269.81,1106.78,2.83208,89.9626,100,0.000149846,0.0060051,0.006288,0,-9.16202,0,
1,1,12, 01/01 12,0,0,0.274615,0,0,1.77231,0,1.33088,7.31086,0.171058,0,2.04692,10.8597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76842,1269.81,1106.78,2.70532,89.9626,100,0.000143139,0.0060051,0.006288,0,-9.77442,0,
1,1,13, 01/01 13,0,0,0.274615,0,0,1.43031,0,1.31879,0.816321,0.143689,0,1.70492,3.98373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76476,1269.81,1106.78,2.82681,89.9626,100,0.000149566,0.0060051,0.006288,0,-9.50515,0,
1,1,14, 01/01 14,0,0,0.274615,0,0,0.326988,0,1.35906,0.797959,0.143689,0,0.601603,2.90231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7652,1269.81,1106.78,2.88089,89.9626,100,0.000152428,0.0060051,0.006288,0,-5.82926,0,
1,1,15, 01/01 15,0,0,0.274615,0,0,0,0,1.42556,0.809222,0.143689,0,0.274615,2.65308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76532,1269.81,1106.78,2.92757,89.9626,100,0.000154898,0.0060051,0.006288,0,-4.77956,0,
1,1,16, 01/01 16,0,0,0.274615,0,0,0,0,1.49922,0.859559,0.177901,0,0.274615,2.8113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06237,1269.81,1106.78,3.29537,89.9626,100,0.000174358,0.0060051,0.006288,0,-2.92382,0,
1,1,17, 01/01 17,0,0,0.274615,0,0,0.0519325,0,1.68241,0.985878,0.212113,0,0.326548,3.20695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35764,1269.81,1106.78,3.86875,89.9626,100,0.000204695,0.0060051,0.006288,0,-0.355207,0,
