"MF8  Individual Supply + Individual Exhaust (SZHP-HRV)  /  Proposed  /  EX02_MF08_Central_VRF_TYPE 1_HP_CZ09.cibd25x",001
"Thu 11-Jun-26  10: pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",18.1258,0,0,0,5.36267,0,0,0,0,0.504578,0,0,0,0.537112,4.64792,0,1.41802,0,5.55219,0,0.103269,0,0,0,0
"MtrElec",1,1,2,"",9.0364,0,0,0,2.37979,0,0,0,0,0.504578,0,0,0,0.443701,4.27654,0,1.34918,0,0,0,0.082615,0,0,0,0
"MtrElec",1,1,3,"",6.29267,0,0,0,0,0,0,0,0,0.504578,0,0,0,0.35029,4.05412,0,1.32171,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,4,"",6.29411,0,0,0,0,0,0,0,0,0.504578,0,0,0,0.396996,4.04258,0,1.28799,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,5,"",6.14514,0,0,0,0,0,0,0,0,0.504578,0,0,0,0.490407,3.83942,0,1.24877,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,6,"",8.46608,0,0,0,1.73204,0,0,0,0,0.504578,0,0,0,0.723934,4.16041,0,1.24184,0,0,0,0.103269,0,0,0,0
"MtrElec",1,1,7,"",23.0291,0,0,0,1.66511,12.4202,0,0,0,0.504578,0,0,0,0.980813,4.67234,0,1.27557,0,0,0.654821,0.206538,0,0.649136,0,0
"MtrElec",1,1,8,"",18.1536,0,0,0,1.5119,5.99232,0,0,0,0.504578,0,0,0,0.957461,5.01958,0,1.37893,0,5.53479,1.74196,0.557651,0,0.466232,0,-5.51185
"MtrElec",1,1,9,"",9.05946,0,0,0,2.01063,0,0,0,0,0.504578,0,0,0,0.793992,4.71994,0,1.54726,0,14.7237,0.249339,0.99138,0,0.248356,0,-16.7297
"MtrElec",1,1,10,"",-2.81984,0,0,0,6.21948,0,0,0,0,0.504578,0,0,0,0.677228,4.53847,0,1.52254,1.00827,2.1075,5.28873,0.99138,0,0,0,-25.678
"MtrElec",1,1,11,"",34.0354,0,0,0,8.26172,0,0,0,0,0.504578,0,0,0,0.630523,4.61538,0,1.50062,1.4659,44.7023,2.64576,0.950073,0,0.0282771,0,-31.2697
"MtrElec",1,1,12,"",3.90556,0,0,0,6.58277,0,0,0,0,0.504578,0,0,0,0.583817,4.54226,0,1.53925,0,22.3629,0,1.13596,0,0.0138399,0,-33.3598
"MtrElec",1,1,13,"",-19.6989,0,0,0,4.3714,0,0,0,0,0.504578,0,0,0,0.490407,4.501,0,1.57334,0,0,0,1.30119,0,0,0,-32.4408
"MtrElec",1,1,14,"",-8.90066,0,0,0,2.55038,0,0,0,0,0.504578,0,0,0,0.490407,4.63842,0,1.5921,0,0,0,1.21857,0,0,0,-19.8951
"MtrElec",1,1,15,"",-7.60057,0,0,0,0,0,0,0,0,0.504578,0,0,0,0.490407,4.86538,0,1.57103,0,0,0,1.28053,0,0,0,-16.3125
"MtrElec",1,1,16,"",-0.748695,0,0,0,0,0,0,0,0,0.504578,0,0,0,0.60717,5.1168,0,1.5972,0,0,0,1.40446,0,0,0,-9.9789
"MtrElec",1,1,17,"",9.39596,0,0,0,0.177014,0,0,0,0,0.504578,0,0,0,0.723934,5.74202,0,1.58124,0,0,0,1.87949,0,0,0,-1.21231
"MtrElec",1,1,18,"",14.0923,0,0,0,1.54855,0,0,0,0,0.504578,0,0,0,1.02752,6.47423,0,1.66659,0,0,0,2.87087,0,0,0,0
"MtrElec",1,1,19,"",16.651,0,0,0,2.78951,0,0,0,0,0.504578,0,0,0,1.96163,6.95786,0,1.77309,0,0,0,2.66433,0,0,0,0
"MtrElec",1,1,20,"",19.4795,0,0,0,3.30484,0,0,0,0,0.504578,0,0,0,2.73227,7.23308,0,1.74207,2.47561,0,0,1.48707,0,0,0,0
"MtrElec",1,1,21,"",17.9734,0,0,0,4.08125,0,0,0,0,0.504578,0,0,0,2.63885,7.49676,0,1.70264,0,0,0.882255,0.66092,0,0.00617502,0,0
"MtrElec",1,1,22,"",23.9796,0,0,0,4.42132,0,0,0,0,0.504578,0,0,0,2.24186,7.42686,0,1.63524,0,7.45715,0,0.289153,0,0.00346371,0,0
"MtrElec",1,1,23,"",13.5957,0,0,0,3.27243,0,0,0,0,0.504578,0,0,0,1.47122,6.63975,0,1.52183,0,0,0,0.185884,0,0,0,0
"MtrElec",1,1,24,"",15.0258,0,0,0,6.32869,0,0,0,0,0.504578,0,0,0,0.910755,5.66234,0,1.51616,0,0,0,0.103269,0,0,0,0
"MtrElec",1,2,1,"",8.97849,0,0,0,1.82234,0,0,0,0,0.504578,0,0,0,0.537112,4.63532,0,1.37587,0,0,0,0.103269,0,0,0,0
"MtrElec",1,2,2,"",7.32645,0,0,0,0.733783,0,0,0,0,0.504578,0,0,0,0.443701,4.22793,0,1.33384,0,0,0,0.082615,0,0,0,0
"MtrElec",1,2,3,"",6.29358,0,0,0,0,0,0,0,0,0.504578,0,0,0,0.35029,4.06638,0,1.28972,0,0,0,0.082615,0,0,0,0
"MtrElec",1,2,4,"",6.29477,0,0,0,0,0,0,0,0,0.504578,0,0,0,0.396996,4.04224,0,1.26834,0,0,0,0.082615,0,0,0,0
"MtrElec",1,2,5,"",6.16583,0,0,0,0,0,0,0,0,0.504578,0,0,0,0.490407,3.85168,0,1.23655,0,0,0,0.082615,0,0,0,0
"MtrElec",1,2,6,"",6.97475,0,0,0,0,0,0,0,0,0.504578,0,0,0,0.723934,4.17266,0,1.28442,0,0,0,0.289153,0,0,0,0
"MtrElec",1,2,7,"",8.06158,0,0,0,0,0,0,0,0,0.504578,0,0,0,0.980813,4.75662,0,1.42715,0,0,0,0.392421,0,0,0,0
"MtrElec",1,2,8,"",8.53049,0,0,0,0,0,0,0,0,0.504578,0,0,0,0.957461,5.11646,0,1.55174,0,0,0,0.516344,0,0,0,-0.116084
"MtrElec",1,2,9,"",7.07815,0,0,0,1.73783,0,0,0,0,0.504578,0,0,0,0.793992,4.74336,0,1.50966,0,0,0,0.536998,0,0,0,-2.74827
"MtrElec",1,2,10,"",10.1648,0,0,0,5.58593,0,0,0,0,0.504578,0,0,0,0.677228,4.45277,0,1.40615,0,0,0,0.454383,0,0,0,-2.91621
"MtrElec",1,2,11,"",13.7856,0,0,0,7.62413,0,0,0,0,0.504578,0,0,0,0.630523,4.50554,0,1.36644,2.61726,0,0,0.433729,0,0,0,-3.89664
"MtrElec",1,2,12,"",14.9433,0,0,0,8.02911,0,0,0,0,0.504578,0,0,0,0.583817,4.50554,0,1.38058,4.10175,0,0,0.598959,0,0,0,-4.76102
"MtrElec",1,2,13,"",7.63726,0,0,0,4.34614,0,0,0,0,0.504578,0,0,0,0.490407,4.51254,0,1.41835,0.70683,0,0,0.722881,0,0,0,-5.06446
"MtrElec",1,2,14,"",8.95156,0,0,0,3.80949,0,0,0,0,0.504578,0,0,0,0.490407,4.61395,0,1.38899,0,0,0,0.66092,0,0,0,-2.51678
"MtrElec",1,2,15,"",8.51434,0,0,0,3.45231,0,0,0,0,0.504578,0,0,0,0.490407,4.7811,0,1.40273,0,0,0,0.702228,0,0,0,-2.81901
"MtrElec",1,2,16,"",10.2764,0,0,0,1.99608,0,0,0,0,0.504578,0,0,0,0.60717,4.9234,0,1.41441,0,0,0.882252,1.074,0,0.00813107,0,-1.13356
"MtrElec",1,2,17,"",19.5658,0,0,0,1.56035,0,0,0,0,0.504578,0,0,0,0.723934,5.56121,0,1.45722,0,7.45712,0,2.37518,0,0,0,-0.0737952
"MtrElec",1,2,18,"",15.1516,0,0,0,1.63694,0,0,0,0,0.504578,0,0,0,1.02752,6.40183,0,1.59454,0,0,0,3.98618,0,0,0,0
"MtrElec",1,2,19,"",16.6057,0,0,0,1.73053,0,0,0,0,0.504578,0,0,0,1.96163,6.96974,0,1.72158,0,0,0,3.71768,0,0,0,0
