"MF8_Individual Supply + Individual Exhaust (WSHP)  /  Standard  /  EX03_MF08_Central-WSHP_CZ09.cibd25x",001
"Fri 22-May-26   4:1 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",14.9125,0,0.225552,0,1.74028,0,0,0,0.0353674,0.504578,0,0.24881,0,0.537112,4.64792,0,1.31747,0,5.55219,0,0.103269,0,0,0,0
"MtrElec",1,1,2,"",9.27577,0,1.10492,0,1.18675,0,0,0,0.173548,0.504578,0,0.246301,0,0.443701,4.27654,0,1.25682,0,0,0,0.082615,0,0,0,0
"MtrElec",1,1,3,"",9.58848,0,1.51392,0,1.3969,0,0,0,0.238585,0.504578,0,0.236494,0,0.35029,4.05412,0,1.23162,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,4,"",10.2108,0,1.80274,0,1.68397,0,0,0,0.285387,0.504578,0,0.231879,0,0.396996,4.04258,0,1.20072,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,5,"",9.11479,0,2.00332,0,0.516221,0,0,0,0.318305,0.504578,0,0.228557,0,0.490407,3.83942,0,1.15201,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,6,"",10.8929,0,1.98561,0,1.72837,0,0,0,0.316486,0.504578,0,0.226221,0,0.723934,4.16041,0,1.14401,0,0,0,0.103269,0,0,0,0
"MtrElec",1,1,7,"",25.6224,0,1.84131,0,1.6402,12.659,0,0,0.294288,0.504578,0,0.22635,0,0.980813,4.67234,0,1.1629,0,0,0.654821,0.206538,0,0.779187,0,0
"MtrElec",1,1,8,"",19.7522,0,1.17007,0,1.51075,6.07381,0,0,0.185916,0.504578,0,0.227926,0,0.957461,5.01958,0,1.27301,0,5.53479,1.74196,0.557651,0,0.49477,0,-5.5001
"MtrElec",1,1,9,"",11.702,0,0.568578,0,3.78407,0,0,0,0.0892671,0.504578,0,0.235616,0,0.793992,4.71994,0,1.47839,0,14.7237,0.249339,0.99138,0,0.257185,0,-16.6941
"MtrElec",1,1,10,"",-2.59944,0,0.126921,0,6.33324,0,0,0,0.0196497,0.504578,0,0,0,0.677228,4.53847,0,1.42786,1.00827,2.1075,5.28873,0.99138,0,0,0,-25.6233
"MtrElec",1,1,11,"",32.3268,0,0,0,6.57439,0,0,0,0,0.504578,0,0,0,0.630523,4.61538,0,1.41057,1.4659,44.7023,2.64576,0.950073,0,0.0303563,0,-31.203
"MtrElec",1,1,12,"",2.71114,0,0,0,5.40925,0,0,0,0,0.504578,0,0,0,0.583817,4.54226,0,1.44568,0,22.3629,0,1.13596,0,0.0153755,0,-33.2887
"MtrElec",1,1,13,"",-19.0814,0,0,0,5.01609,0,0,0,0,0.504578,0,0,0,0.490407,4.501,0,1.47703,0,0,0,1.30119,0,0,0,-32.3717
"MtrElec",1,1,14,"",-10.5,0,0,0,1.00386,0,0,0,0,0.504578,0,0,0,0.490407,4.63842,0,1.49685,0,0,0,1.21857,0,0,0,-19.8527
"MtrElec",1,1,15,"",-6.11503,0,0,0,1.54882,0,0,0,0,0.504578,0,0,0,0.490407,4.86538,0,1.47297,0,0,0,1.28053,0,0,0,-16.2777
"MtrElec",1,1,16,"",0.977173,0,0,0,1.77901,0,0,0,0,0.504578,0,0,0,0.60717,5.1168,0,1.52279,0,0,0,1.40446,0,0,0,-9.95762
"MtrElec",1,1,17,"",9.56218,0,0,0,0.445672,0,0,0,0,0.504578,0,0,0,0.723934,5.74202,0,1.47622,0,0,0,1.87949,0,0,0,-1.20973
"MtrElec",1,1,18,"",13.9984,0,0,0,1.55067,0,0,0,0,0.504578,0,0,0,1.02752,6.47423,0,1.57056,0,0,0,2.87087,0,0,0,0
"MtrElec",1,1,19,"",16.5871,0,0,0,2.79073,0,0,0,0,0.504578,0,0,0,1.96163,6.95786,0,1.708,0,0,0,2.66433,0,0,0,0
"MtrElec",1,1,20,"",19.522,0,0,0,3.42082,0,0,0,0,0.504578,0,0,0,2.73227,7.23308,0,1.66856,2.47561,0,0,1.48707,0,0,0,0
"MtrElec",1,1,21,"",19.8949,0,0,0,6.08623,0,0,0,0,0.504578,0,0,0,2.63885,7.49676,0,1.61785,0,0,0.882255,0.66092,0,0.00747593,0,0
"MtrElec",1,1,22,"",23.0399,0,0,0,3.56401,0,0,0,0,0.504578,0,0,0,2.24186,7.42686,0,1.55206,0,7.45715,0,0.289153,0,0.00421584,0,0
"MtrElec",1,1,23,"",14.3546,0,0,0,4.14565,0,0,0,0,0.504578,0,0,0,1.47122,6.63975,0,1.40755,0,0,0,0.185884,0,0,0,0
"MtrElec",1,1,24,"",12.8215,0,0,0,4.19667,0,0,0,0,0.504578,0,0,0,0.910755,5.66234,0,1.44392,0,0,0,0.103269,0,0,0,0
"MtrElec",1,2,1,"",7.75852,0,0,0,0.463463,0,0,0,0,0.504578,0,0.24881,0,0.537112,4.63532,0,1.26596,0,0,0,0.103269,0,0,0,0
"MtrElec",1,2,2,"",6.90109,0,0.133699,0,0,0,0,0,0.0205857,0.504578,0,0.24881,0,0.443701,4.22793,0,1.23916,0,0,0,0.082615,0,0,0,0
"MtrElec",1,2,3,"",8.15245,0,0.68427,0,0.917612,0,0,0,0.105899,0.504578,0,0.247349,0,0.35029,4.06638,0,1.19346,0,0,0,0.082615,0,0,0,0
"MtrElec",1,2,4,"",8.28792,0,1.11196,0,0.55912,0,0,0,0.173559,0.504578,0,0.241295,0,0.396996,4.04224,0,1.17555,0,0,0,0.082615,0,0,0,0
"MtrElec",1,2,5,"",7.8676,0,1.35462,0,0,0,0,0,0.211685,0.504578,0,0.236493,0,0.490407,3.85168,0,1.13553,0,0,0,0.082615,0,0,0,0
"MtrElec",1,2,6,"",8.33836,0,1.08027,0,0,0,0,0,0.167515,0.504578,0,0.233788,0,0.723934,4.17266,0,1.16646,0,0,0,0.289153,0,0,0,0
"MtrElec",1,2,7,"",9.19647,0,0.860043,0,0,0,0,0,0.133216,0.504578,0,0.236922,0,0.980813,4.75662,0,1.33186,0,0,0,0.392421,0,0,0,0
"MtrElec",1,2,8,"",11.6734,0,1.11285,0,1.69005,0,0,0,0.173176,0.504578,0,0.239357,0,0.957461,5.11646,0,1.47893,0,0,0,0.516344,0,0,0,-0.115836
"MtrElec",1,2,9,"",12.2806,0,1.38665,0,5.17622,0,0,0,0.215486,0.504578,0,0.236521,0,0.793992,4.74336,0,1.42924,0,0,0,0.536998,0,0,0,-2.74241
"MtrElec",1,2,10,"",11.94,0,1.45973,0,5.76858,0,0,0,0.225553,0.504578,0,0,0,0.677228,4.45277,0,1.30717,0,0,0,0.454383,0,0,0,-2.90999
"MtrElec",1,2,11,"",13.9168,0,1.29509,0,6.34957,0,0,0,0.198734,0.504578,0,0,0,0.630523,4.50554,0,1.27011,2.61726,0,0,0.433729,0,0,0,-3.88833
"MtrElec",1,2,12,"",12.915,0,0.817828,0,5.14012,0,0,0,0.125108,0.504578,0,0,0,0.583817,4.50554,0,1.28822,4.10175,0,0,0.598959,0,0,0,-4.75087
"MtrElec",1,2,13,"",7.23224,0,1.03815,0,2.81144,0,0,0,0.159449,0.504578,0,0,0,0.490407,4.51254,0,1.33963,0.70683,0,0,0.722881,0,0,0,-5.05366
"MtrElec",1,2,14,"",10.5094,0,1.36925,0,3.8663,0,0,0,0.211504,0.504578,0,0,0,0.490407,4.61395,0,1.30392,0,0,0,0.66092,0,0,0,-2.51141
