"MF08_Individual Supply + Individual Exhaust (WSHP)  /  Proposed  /  EX03_MF08_Central-WSHP_CZ09.cibd25x",001
"Thu 11-Jun-26  10: pm"
"x-ldPass","Hour"
"Month","Day","Hr","CW Loop-HtgLd (Btu)","ClgLd (Btu)","NetLd (Btu)","DemFlw (gpm)","ActualFlw (gpm)","NetLd (W)","FlowFrac"
1,1,1,0,0,0,0,14.1,0,0
1,1,2,926.136,0,926.136,0.185157,14.1,271.435,0.000889478
1,1,3,2622.79,0,2622.79,0.524358,14.1,768.695,0.000889478
1,1,4,3523.53,0,3523.53,0.704438,14.1,1032.69,0.000889478
1,1,5,4147.84,0,4147.84,0.829253,14.1,1215.66,0.000889478
1,1,6,4157.24,0,4157.24,0.831131,14.1,1218.42,0.000889478
1,1,7,3833.91,0,3833.91,0.76649,14.1,1123.65,0.000889478
1,1,8,2278.01,0,2278.01,0.455429,14.1,667.646,0.000889478
1,1,9,928.404,0,928.404,0.18561,14.1,272.1,0.000889478
1,1,10,128.81,0,128.81,0.0257523,14.1,37.7521,0.000889478
1,1,11,0,0,0,0,14.1,0,0
1,1,12,0,0,0,0,14.1,0,0
1,1,13,0,0,0,0,14.1,0,0
1,1,14,0,0,0,0,14.1,0,0
1,1,15,0,0,0,0,14.1,0,0
1,1,16,0,0,0,0,14.1,0,0
1,1,17,0,0,0,0,14.1,0,0
1,1,18,0,0,0,0,14.1,0,0
1,1,19,0,0,0,0,14.1,0,0
1,1,20,0,0,0,0,14.1,0,0
1,1,21,0,0,0,0,14.1,0,0
1,1,22,0,0,0,0,14.1,0,0
1,1,23,0,0,0,0,14.1,0,0
1,1,24,0,0,0,0,14.1,0,0
1,2,1,0,0,0,0,14.1,0,0
1,2,2,0,0,0,0,14.1,0,0
1,2,3,813.244,0,813.244,0.162587,14.1,238.348,0.000889478
1,2,4,2128.97,0,2128.97,0.425632,14.1,623.965,0.000889478
1,2,5,2809.41,0,2809.41,0.561669,14.1,823.392,0.000889478
1,2,6,2214.75,0,2214.75,0.442781,14.1,649.106,0.000889478
1,2,7,1711.6,0,1711.6,0.34219,14.1,501.641,0.000889478
1,2,8,2351.05,0,2351.05,0.470031,14.1,689.052,0.000889478
1,2,9,3049.85,0,3049.85,0.609738,14.1,893.86,0.000889478
1,2,10,3278.88,0,3278.88,0.655527,14.1,960.985,0.000889478
1,2,11,2905.7,0,2905.7,0.580919,14.1,851.611,0.000889478
1,2,12,1726.71,0,1726.71,0.345211,14.1,506.069,0.000889478
1,2,13,2294.25,0,2294.25,0.458675,14.1,672.406,0.000889478
1,2,14,3136.15,0,3136.15,0.626992,14.1,919.153,0.000889478
1,2,15,3338.72,0,3338.72,0.667491,14.1,978.523,0.000889478
1,2,16,2907.72,0,2907.72,0.581324,14.1,852.205,0.000889478
1,2,17,2751.1,0,2751.1,0.550011,14.1,806.301,0.000889478
1,2,18,3111.02,0,3111.02,0.621968,14.1,911.788,0.000889478
1,2,19,2178.62,0,2178.62,0.435558,14.1,638.517,0.000889478
1,2,20,1327.43,0,1327.43,0.265384,14.1,389.046,0.000889478
1,2,21,1658.92,0,1658.92,0.331658,14.1,486.202,0.000889478
1,2,22,2376.54,0,2376.54,0.475127,14.1,696.523,0.000889478
1,2,23,3559.54,0,3559.54,0.711637,14.1,1043.24,0.000889478
1,2,24,5974.24,0,5974.24,1.19439,14.1,1750.95,0.000889478
1,3,1,7461.47,0,7461.47,1.49173,14.1,2186.83,0.000889478
1,3,2,7921.18,0,7921.18,1.58363,14.1,2321.56,0.000889478
1,3,3,8202.23,0,8202.23,1.63982,14.1,2403.94,0.000889478
1,3,4,8468.53,0,8468.53,1.69306,14.1,2481.99,0.000889478
1,3,5,9681.79,0,9681.79,1.93562,14.1,2837.57,0.000889478
1,3,6,8813.02,0,8813.02,1.76193,14.1,2582.95,0.000889478
1,3,7,7043.33,0,7043.33,1.40813,14.1,2064.28,0.000889478
1,3,8,7815.41,0,7815.41,1.56249,14.1,2290.56,0.000889478
1,3,9,6426.08,0,6426.08,1.28473,14.1,1883.38,0.000889478
1,3,10,5190.59,0,5190.59,1.03772,14.1,1521.27,0.000889478
1,3,11,3132.71,0,3132.71,0.626304,14.1,918.145,0.000889478
1,3,12,2301.1,0,2301.1,0.460045,14.1,674.413,0.000889478
1,3,13,1511.29,0,1511.29,0.302144,14.1,442.934,0.000889478
1,3,14,12.0082,0,12.0082,0.00240073,14.1,3.51941,0.000889478
1,3,15,0,0,0,0,14.1,0,0
1,3,16,0,0,0,0,14.1,0,0
1,3,17,0,0,0,0,14.1,0,0
1,3,18,0,0,0,0,14.1,0,0
1,3,19,0,0,0,0,14.1,0,0
1,3,20,0,0,0,0,14.1,0,0
1,3,21,0,0,0,0,14.1,0,0
1,3,22,0,0,0,0,14.1,0,0
1,3,23,0,0,0,0,14.1,0,0
1,3,24,173.835,0,173.835,0.0347538,14.1,50.9481,0.000889478
1,4,1,2543.84,0,2543.84,0.508574,14.1,745.556,0.000889478
1,4,2,3595.34,0,3595.34,0.718794,14.1,1053.73,0.000889478
1,4,3,5689.6,0,5689.6,1.13749,14.1,1667.53,0.000889478
1,4,4,6878.75,0,6878.75,1.37523,14.1,2016.05,0.000889478
1,4,5,8433.99,0,8433.99,1.68616,14.1,2471.86,0.000889478
1,4,6,9006.67,0,9006.67,1.80065,14.1,2639.7,0.000889478
1,4,7,7719.17,0,7719.17,1.54325,14.1,2262.36,0.000889478
1,4,8,5783.63,0,5783.63,1.15629,14.1,1695.09,0.000889478
1,4,9,2156.87,0,2156.87,0.43121,14.1,632.142,0.000889478
1,4,10,0,0,0,0,14.1,0,0
1,4,11,0,0,0,0,14.1,0,0
1,4,12,0,0,0,0,14.1,0,0
1,4,13,0,0,0,0,14.1,0,0
1,4,14,0,0,0,0,14.1,0,0
1,4,15,0,0,0,0,14.1,0,0
1,4,16,0,0,0,0,14.1,0,0
1,4,17,0,0,0,0,14.1,0,0
1,4,18,0,0,0,0,14.1,0,0
1,4,19,0,0,0,0,14.1,0,0
1,4,20,0,0,0,0,14.1,0,0
1,4,21,0,0,0,0,14.1,0,0
1,4,22,0,0,0,0,14.1,0,0
1,4,23,0,0,0,0,14.1,0,0
1,4,24,0,0,0,0,14.1,0,0
1,5,1,0,0,0,0,14.1,0,0
1,5,2,0,0,0,0,14.1,0,0
1,5,3,0,0,0,0,14.1,0,0
1,5,4,0,0,0,0,14.1,0,0
1,5,5,0,0,0,0,14.1,0,0
1,5,6,0,0,0,0,14.1,0,0
1,5,7,0,0,0,0,14.1,0,0
1,5,8,0,0,0,0,14.1,0,0
1,5,9,0,0,0,0,14.1,0,0
1,5,10,0,0,0,0,14.1,0,0
1,5,11,0,0,0,0,14.1,0,0
1,5,12,0,0,0,0,14.1,0,0
1,5,13,0,0,0,0,14.1,0,0
1,5,14,0,0,0,0,14.1,0,0
1,5,15,0,0,0,0,14.1,0,0
1,5,16,0,0,0,0,14.1,0,0
1,5,17,0,0,0,0,14.1,0,0
1,5,18,0,0,0,0,14.1,0,0
1,5,19,0,0,0,0,14.1,0,0
1,5,20,0,0,0,0,14.1,0,0
1,5,21,0,0,0,0,14.1,0,0
1,5,22,0,0,0,0,14.1,0,0
1,5,23,0,0,0,0,14.1,0,0
1,5,24,0,0,0,0,14.1,0,0
1,6,1,0,0,0,0,14.1,0,0
1,6,2,0,0,0,0,14.1,0,0
1,6,3,0,0,0,0,14.1,0,0
1,6,4,0,0,0,0,14.1,0,0
1,6,5,0,0,0,0,14.1,0,0
1,6,6,0,0,0,0,14.1,0,0
1,6,7,0,0,0,0,14.1,0,0
1,6,8,0,0,0,0,14.1,0,0
1,6,9,0,0,0,0,14.1,0,0
1,6,10,0,0,0,0,14.1,0,0
1,6,11,0,0,0,0,14.1,0,0
1,6,12,0,0,0,0,14.1,0,0
1,6,13,0,0,0,0,14.1,0,0
1,6,14,0,0,0,0,14.1,0,0
1,6,15,0,0,0,0,14.1,0,0
1,6,16,0,0,0,0,14.1,0,0
1,6,17,0,0,0,0,14.1,0,0
1,6,18,0,0,0,0,14.1,0,0
1,6,19,0,0,0,0,14.1,0,0
1,6,20,0,0,0,0,14.1,0,0
1,6,21,0,0,0,0,14.1,0,0
1,6,22,0,0,0,0,14.1,0,0
1,6,23,0,0,0,0,14.1,0,0
1,6,24,0,0,0,0,14.1,0,0
1,7,1,0,0,0,0,14.1,0,0
1,7,2,0,0,0,0,14.1,0,0
1,7,3,0,0,0,0,14.1,0,0
1,7,4,0,0,0,0,14.1,0,0
1,7,5,0,0,0,0,14.1,0,0
1,7,6,0,0,0,0,14.1,0,0
1,7,7,0,0,0,0,14.1,0,0
1,7,8,0,0,0,0,14.1,0,0
1,7,9,0,0,0,0,14.1,0,0
1,7,10,0,0,0,0,14.1,0,0
1,7,11,0,0,0,0,14.1,0,0
1,7,12,0,0,0,0,14.1,0,0
1,7,13,0,0,0,0,14.1,0,0
1,7,14,0,0,0,0,14.1,0,0
1,7,15,0,0,0,0,14.1,0,0
1,7,16,0,0,0,0,14.1,0,0
1,7,17,0,0,0,0,14.1,0,0
1,7,18,0,0,0,0,14.1,0,0
1,7,19,0,0,0,0,14.1,0,0
1,7,20,0,0,0,0,14.1,0,0
1,7,21,0,0,0,0,14.1,0,0
1,7,22,0,0,0,0,14.1,0,0
1,7,23,0,0,0,0,14.1,0,0
1,7,24,0,0,0,0,14.1,0,0
1,8,1,0,0,0,0,14.1,0,0
1,8,2,0,0,0,0,14.1,0,0
1,8,3,0,0,0,0,14.1,0,0
1,8,4,0,0,0,0,14.1,0,0
1,8,5,0,0,0,0,14.1,0,0
1,8,6,0,0,0,0,14.1,0,0
1,8,7,0,0,0,0,14.1,0,0
1,8,8,0,0,0,0,14.1,0,0
1,8,9,0,0,0,0,14.1,0,0
1,8,10,0,0,0,0,14.1,0,0
1,8,11,0,0,0,0,14.1,0,0
