"MF08_Individual Supply + Individual Exhaust (WSHP)  /  Proposed  /  EX03_MF08_Central-WSHP_CZ09.cibd25x",001
"Thu 11-Jun-26  10: pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",14.618,0,0,0,1.73807,0,0,0,0,0.504578,0,0.213608,0,0.537112,4.64792,0,1.32123,0,5.55219,0,0.103269,0,0,0,0
"MtrElec",1,1,2,"",8.36923,0,0.337389,0,1.18617,0,0,0,0.0645183,0.504578,0,0.213608,0,0.443701,4.27654,0,1.26011,0,0,0,0.082615,0,0,0,0
"MtrElec",1,1,3,"",8.96225,0,0.94166,0,1.42417,0,0,0,0.182002,0.504578,0,0.210473,0,0.35029,4.05412,0,1.23299,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,4,"",9.59288,0,1.25075,0,1.68563,0,0,0,0.243763,0.504578,0,0.204764,0,0.396996,4.04258,0,1.20186,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,5,"",8.4844,0,1.46053,0,0.486114,0,0,0,0.286335,0.504578,0,0.201763,0,0.490407,3.83942,0,1.15329,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,6,"",10.3161,0,1.46347,0,1.72846,0,0,0,0.286943,0.504578,0,0.199695,0,0.723934,4.16041,0,1.14532,0,0,0,0.103269,0,0,0,0
"MtrElec",1,1,7,"",25.079,0,1.35542,0,1.64024,12.659,0,0,0.264897,0.504578,0,0.199665,0,0.980813,4.67234,0,1.16441,0,0,0.654821,0.206538,0,0.776198,0,0
"MtrElec",1,1,8,"",19.3321,0,0.821501,0,1.51078,6.06826,0,0,0.158224,0.504578,0,0.200736,0,0.957461,5.01958,0,1.27442,0,5.53479,1.74196,0.557651,0,0.494012,0,-5.51185
"MtrElec",1,1,9,"",11.3261,0,0.339981,0,3.72593,0,0,0,0.0647608,0.504578,0,0.205919,0,0.793992,4.71994,0,1.47929,0,14.7237,0.249339,0.99138,0,0.256954,0,-16.7297
"MtrElec",1,1,10,"",-2.21767,0,0.04764,0,6.8585,0,0,0,0.00901153,0.504578,0,0,0,0.677228,4.53847,0,1.42904,1.00827,2.1075,5.28873,0.99138,0,0,0,-25.678
"MtrElec",1,1,11,"",33.9942,0,0,0,8.30742,0,0,0,0,0.504578,0,0,0,0.630523,4.61538,0,1.41174,1.4659,44.7023,2.64576,0.950073,0,0.030308,0,-31.2697
"MtrElec",1,1,12,"",3.19062,0,0,0,5.95831,0,0,0,0,0.504578,0,0,0,0.583817,4.54226,0,1.44727,0,22.3629,0,1.13596,0,0.0153406,0,-33.3598
"MtrElec",1,1,13,"",-19.1497,0,0,0,5.01512,0,0,0,0,0.504578,0,0,0,0.490407,4.501,0,1.47883,0,0,0,1.30119,0,0,0,-32.4408
"MtrElec",1,1,14,"",-10.5424,0,0,0,1.00208,0,0,0,0,0.504578,0,0,0,0.490407,4.63842,0,1.49865,0,0,0,1.21857,0,0,0,-19.8951
"MtrElec",1,1,15,"",-7.69683,0,0,0,0,0,0,0,0,0.504578,0,0,0,0.490407,4.86538,0,1.47477,0,0,0,1.28053,0,0,0,-16.3125
"MtrElec",1,1,16,"",-0.821799,0,0,0,0,0,0,0,0,0.504578,0,0,0,0.60717,5.1168,0,1.5241,0,0,0,1.40446,0,0,0,-9.9789
"MtrElec",1,1,17,"",9.2929,0,0,0,0.17724,0,0,0,0,0.504578,0,0,0,0.723934,5.74202,0,1.47795,0,0,0,1.87949,0,0,0,-1.21231
"MtrElec",1,1,18,"",13.9999,0,0,0,1.55069,0,0,0,0,0.504578,0,0,0,1.02752,6.47423,0,1.57203,0,0,0,2.87087,0,0,0,0
"MtrElec",1,1,19,"",16.5881,0,0,0,2.79077,0,0,0,0,0.504578,0,0,0,1.96163,6.95786,0,1.70896,0,0,0,2.66433,0,0,0,0
"MtrElec",1,1,20,"",19.465,0,0,0,3.36277,0,0,0,0,0.504578,0,0,0,2.73227,7.23308,0,1.66966,2.47561,0,0,1.48707,0,0,0,0
"MtrElec",1,1,21,"",19.8056,0,0,0,5.99564,0,0,0,0,0.504578,0,0,0,2.63885,7.49676,0,1.61916,0,0,0.882255,0.66092,0,0.00745062,0,0
"MtrElec",1,1,22,"",24.1159,0,0,0,4.63867,0,0,0,0,0.504578,0,0,0,2.24186,7.42686,0,1.55342,0,7.45715,0,0.289153,0,0.00420133,0,0
"MtrElec",1,1,23,"",15.6688,0,0,0,5.45784,0,0,0,0,0.504578,0,0,0,1.47122,6.63975,0,1.40954,0,0,0,0.185884,0,0,0,0
"MtrElec",1,1,24,"",12.8799,0,0,0,4.25368,0,0,0,0,0.504578,0,0,0,0.910755,5.66234,0,1.44528,0,0,0,0.103269,0,0,0,0
"MtrElec",1,2,1,"",7.72459,0,0,0,0.462525,0,0,0,0,0.504578,0,0.213608,0,0.537112,4.63532,0,1.26818,0,0,0,0.103269,0,0,0,0
"MtrElec",1,2,2,"",6.71363,0,0,0,0,0,0,0,0,0.504578,0,0.213608,0,0.443701,4.22793,0,1.24119,0,0,0,0.082615,0,0,0,0
"MtrElec",1,2,3,"",6.76745,0,0.297731,0,0,0,0,0,0.0567451,0.504578,0,0.213608,0,0.35029,4.06638,0,1.1955,0,0,0,0.082615,0,0,0,0
"MtrElec",1,2,4,"",7.33139,0,0.769493,0,0,0,0,0,0.148027,0.504578,0,0.21085,0,0.396996,4.04224,0,1.17659,0,0,0,0.082615,0,0,0,0
"MtrElec",1,2,5,"",7.47401,0,1.00684,0,0,0,0,0,0.194902,0.504578,0,0.206415,0,0.490407,3.85168,0,1.13657,0,0,0,0.082615,0,0,0,0
"MtrElec",1,2,6,"",8.01622,0,0.800086,0,0,0,0,0,0.153995,0.504578,0,0.204137,0,0.723934,4.17266,0,1.16768,0,0,0,0.289153,0,0,0,0
"MtrElec",1,2,7,"",8.91503,0,0.622427,0,0,0,0,0,0.119218,0.504578,0,0.206125,0,0.980813,4.75662,0,1.33284,0,0,0,0.392421,0,0,0,0
"MtrElec",1,2,8,"",11.1746,0,0.847725,0,1.49724,0,0,0,0.163377,0.504578,0,0.207815,0,0.957461,5.11646,0,1.47967,0,0,0,0.516344,0,0,0,-0.116084
"MtrElec",1,2,9,"",11.935,0,1.08964,0,5.16755,0,0,0,0.211441,0.504578,0,0.205669,0,0.793992,4.74336,0,1.43004,0,0,0,0.536998,0,0,0,-2.74827
"MtrElec",1,2,10,"",12.6476,0,1.16793,0,6.77155,0,0,0,0.227174,0.504578,0,0,0,0.677228,4.45277,0,1.30816,0,0,0,0.454383,0,0,0,-2.91621
"MtrElec",1,2,11,"",14.1979,0,1.04022,0,6.88997,0,0,0,0.201614,0.504578,0,0,0,0.630523,4.50554,0,1.27107,2.61726,0,0,0.433729,0,0,0,-3.89664
"MtrElec",1,2,12,"",12.7114,0,0.627964,0,5.14038,0,0,0,0.12031,0.504578,0,0,0,0.583817,4.50554,0,1.28915,4.10175,0,0,0.598959,0,0,0,-4.76102
"MtrElec",1,2,13,"",7.00687,0,0.828002,0,2.80616,0,0,0,0.159519,0.504578,0,0,0,0.490407,4.51254,0,1.34042,0.70683,0,0,0.722881,0,0,0,-5.06446
"MtrElec",1,2,14,"",9.65594,0,1.11918,0,3.26155,0,0,0,0.217391,0.504578,0,0,0,0.490407,4.61395,0,1.30475,0,0,0,0.66092,0,0,0,-2.51678
"MtrElec",1,2,15,"",10.0687,0,1.18826,0,3.45144,0,0,0,0.231232,0.504578,0,0.203045,0,0.490407,4.7811,0,1.33544,0,0,0,0.702228,0,0,0,-2.81901
"MtrElec",1,2,16,"",11.6904,0,1.04061,0,2.01407,0,0,0,0.201649,0.504578,0,0.202372,0,0.60717,4.9234,0,1.3424,0,0,0.882252,1.074,0,0.0314804,0,-1.13356
"MtrElec",1,2,17,"",20.8501,0,0.989136,0,1.55542,0,0,0,0.190993,0.504578,0,0.203809,0,0.723934,5.56121,0,1.36256,0,7.45712,0,2.37518,0,0,0,-0.0737952
