"MF88 Individual Supply + Individual Exhaust (ERV, ResVRF)  /  Standard  /  EX03_MF88_Central-WSHP_CZ09.cibd25",003
"Fri 22-May-26   4:3 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",185.782,0,9.68535,0.0358677,50.5071,0,0.163783,0,0.436405,9.67301,11.9966,6.07291,0,5.8374,51.3333,0,15.028,0,18.5615,0,1.13058,0,5.32041,0,0
"MtrElec",1,1,2,"",120.377,0,12.6094,0.0591488,1.02869,0,0.163783,0,0.751613,9.67301,11.9966,5.9983,0,4.8222,47.2797,0,14.315,2.47506,0,0,0.904462,0,8.30043,0,0
"MtrElec",1,1,3,"",120.498,0,14.5735,0.0299187,3.23835,0,0.163783,0,1.0028,9.67301,11.9966,5.9251,0,3.807,44.8524,0,14.0225,0,0,0,0.678346,0,10.5347,0,0
"MtrElec",1,1,4,"",122.443,0,16.9286,0.819413,0.932883,0,0.163783,0,1.28255,9.67301,11.9966,5.87531,0,4.3146,44.7245,0,13.6663,0,0,0,0.678346,0,11.3867,0,0
"MtrElec",1,1,5,"",121.833,0,18.8178,1.05646,0.255047,0,0.163783,0,1.52375,9.67301,11.9967,5.82677,0,5.3298,42.5129,0,13.1845,0,0,0,0.678346,0,10.8137,0,0
"MtrElec",1,1,6,"",151.674,0,20.0575,1.43395,28.9149,0,0.163783,0,1.6329,9.67301,11.9967,5.77627,0,7.8678,46.3646,0,13.1013,0,0,0,1.13058,0,3.56041,0,0
"MtrElec",1,1,7,"",237.988,0,20.442,1.87111,101.432,3.31134,0.163783,0,1.60554,9.67301,11.9967,5.75079,0,10.6596,52.2089,0,13.3918,1.40649,0,1.81286,2.26115,0,0,0,0
"MtrElec",1,1,8,"",258.939,0,16.2514,1.68664,101.321,0.890542,0.163783,0,1.04903,9.67301,11.9966,5.74947,0,10.4058,56.9195,0,14.5586,1.06891,15.3229,5.77618,6.10511,0,0,0,0
"MtrElec",1,1,9,"",288.104,0,12.0572,0.488669,99.1331,0,0.163783,0,0.641999,9.67301,11.9967,5.86165,0,8.6292,53.744,0,16.5964,0,48.8224,9.44234,10.8535,0,0,0,0
"MtrElec",1,1,10,"",320.533,0,8.03391,0,99.8045,0,0.163783,0,0.32097,9.67301,11.9967,0.104683,0,7.3602,51.7744,0,16.2005,6.04963,79.8101,18.3867,10.8535,0,0,0,0
"MtrElec",1,1,11,"",396.603,0,5.20095,0,102.332,0,0.163783,0,0.160601,9.67301,11.9967,0,0,6.8526,52.8005,0,15.9779,10.2429,155.411,15.3894,10.4013,0,0,0,0
"MtrElec",1,1,12,"",362.455,0,3.52762,0,104.497,0,0.163783,0,0.0639971,9.67301,11.9967,0,0,6.345,52.0002,0,16.3368,4.96314,130.077,10.3739,12.4363,0,0,0,0
"MtrElec",1,1,13,"",301.606,0,2.40048,0,80.7947,0,0.163783,0,0.0473442,9.67301,11.9968,0,0,5.3298,53.1487,0,16.678,10.9151,87.6841,8.52904,14.2453,0,0,0,0
"MtrElec",1,1,14,"",196.861,0,1.54809,0,7.16821,0,0.163783,0,0.0112843,9.67301,11.9969,0,0,5.3298,54.647,0,16.9003,0,72.0906,3.99134,13.3408,0,0,0,0
"MtrElec",1,1,15,"",228.03,0,1.15003,0,76.2119,0,0.163783,0,0,9.67301,11.997,0,0,5.3298,57.1222,0,16.6557,0,33.7363,1.97117,14.0191,0,0,0,0
"MtrElec",1,1,16,"",164.275,0,1.27477,0,19.0576,0,0.163783,0,0.000289393,9.67301,11.9969,0,0,6.5988,59.8622,0,17.0806,0,16.6611,6.53062,15.3758,0,0,0,0
"MtrElec",1,1,17,"",258.686,0,1.98565,0,59.9314,0,0.163783,0,0.00929516,9.67301,11.9969,0,0,7.8678,66.6719,0,16.7367,0,55.1992,7.87351,20.5765,0,0,0,0
"MtrElec",1,1,18,"",338.591,0,3.43776,0,98.8335,0,0.163783,0,0.0493754,9.67301,11.997,0,0,11.1672,74.336,0,17.7332,3.64801,66.5499,9.57232,31.43,0,0,0,0
"MtrElec",1,1,19,"",368.686,0,4.43232,0,102.276,0,0.163783,0,0.110536,9.67301,11.9968,0.0166935,0,21.3192,79.8369,0,19.0809,5.70828,80.9088,3.99394,29.1689,0,0,0,0
"MtrElec",1,1,20,"",273.792,0,4.84295,0,52.9252,0,0.163783,0,0.134451,9.67301,11.9968,0.321835,0,29.6946,82.9684,0,18.6996,10.4467,33.7583,1.88629,16.2803,0,0,0,0
"MtrElec",1,1,21,"",260.586,0,4.95433,0,74.0206,0,0.163783,0,0.158058,9.67301,11.9967,0.299484,0,28.6794,86.0232,0,18.1941,1.1769,15.9436,2.06695,7.23569,0,0,0,0
"MtrElec",1,1,22,"",285.192,0,5.15168,0,105.649,0,0.163783,0,0.188113,9.67301,11.9967,0,0,24.3648,85.0899,0,17.4528,1.2979,17.4706,3.52809,3.16561,0,0,0,0
"MtrElec",1,1,23,"",187.226,0,6.68517,0,12.9989,0,0.163783,0,0.279639,9.67301,11.9967,0.0141003,0,15.9894,73.9478,0,16.0268,4.94855,29.8207,2.64597,2.03504,0,0,0,0
"MtrElec",1,1,24,"",151.749,0,8.78985,0,1.64774,0,0.163783,0,0.418035,9.67301,11.9967,0.262381,0,9.8982,62.7554,0,16.2145,4.95004,22.3647,0,1.13058,0,1.48457,0,0
"MtrElec",1,2,1,"",172.338,0,10.6621,0,50.3745,0,0.163783,0,0.538644,9.67301,11.9967,5.99921,0,5.8374,51.197,0,14.477,2.47455,0,0,1.13058,0,7.81316,0,0
"MtrElec",1,2,2,"",118.295,0,11.4959,0,0,0,0.163783,0,0.616025,9.67301,11.9966,5.96951,0,4.8222,46.7506,0,14.1055,1.69764,0,0,0.904462,0,10.0999,0,0
"MtrElec",1,2,3,"",115.111,0,12.8097,0,0,0,0.163783,0,0.788784,9.67301,11.9967,5.95603,0,3.807,44.988,0,13.618,3.25256,0,0.385447,0.904462,0,6.76716,0,0
"MtrElec",1,2,4,"",121.733,0,15.7357,0,0,0,0.163783,0,1.12667,9.67301,11.9967,5.9147,0,4.3146,44.7238,0,13.4021,0,3.25794,0.496546,0.904462,0,10.0236,0,0
"MtrElec",1,2,5,"",122.418,0,17.0967,0,1.03787,0,0.163783,0,1.28103,9.67301,11.9967,5.8365,0,5.3298,42.6485,0,13.0064,0,4.19699,0,0.904462,0,9.24592,0,0
"MtrElec",1,2,6,"",142.413,0,14.3884,0,23.1675,0,0.163783,0,0.96741,9.67301,11.9968,5.81428,0,7.8678,46.6061,0,13.4366,0,0,0,3.16561,0,5.1659,0,0
"MtrElec",1,2,7,"",231.959,0,12.0899,0,106.357,0,0.163783,0,0.726003,9.67301,11.9967,5.87827,0,10.6596,54.526,0,15.1251,0,0,0.468189,4.29619,0,0,0,0
"MtrElec",1,2,8,"",246.997,0,13.1021,0,99.8624,0,0.163783,0,0.877344,9.67301,11.9967,5.91895,0,10.4058,60.4814,0,16.614,2.58527,3.95731,5.70603,5.65288,0,0,0,0
"MtrElec",1,2,9,"",289.844,0,12.0075,0,101.561,0,0.163783,0,0.910634,9.67301,11.9968,5.92207,0,8.6292,59.3392,0,16.1139,6.10072,48.2295,3.31761,5.879,0,0,0,0
"MtrElec",1,2,10,"",270.361,0,10.8691,0,103.788,0,0.163783,0,0.986743,9.67301,11.9969,0,0,7.3602,58.8664,0,14.886,9.3224,28.0416,9.43204,4.97454,0,0,0,0
"MtrElec",1,2,11,"",251.934,0,9.07902,0,42.7627,0,0.163783,0,0.768835,9.67301,11.9969,0,0,6.8526,59.1677,0,14.4791,5.7197,79.7231,6.79933,4.74842,0,0,0,0
"MtrElec",1,2,12,"",271.924,0,8.04926,0,91.103,0,0.163783,0,0.738289,9.67301,11.9969,0,0,6.345,59.1677,0,14.6525,5.26854,57.4705,0.738297,6.55734,0,0,0,0
"MtrElec",1,2,13,"",164.357,0,7.83878,0,36.5406,0,0.163783,0,0.697518,9.67301,11.9969,0,0,5.3298,59.2479,0,15.1198,3.18173,6.24036,0.412509,7.91404,0,0,0,0
"MtrElec",1,2,14,"",180.991,0,9.48968,0,57.1033,0,0.163783,0,0.919977,9.67301,11.9968,0.0141415,0,5.3298,60.3533,0,14.7552,0,3.48668,0.469537,7.23569,0,0,0,0
"MtrElec",1,2,15,"",192.36,0,10.9683,0,55.6189,0,0.163783,0,1.09458,9.67301,11.9968,5.97126,0,5.3298,62.172,0,15.0019,2.47465,3.9687,0.238764,7.68792,0,0,0,0
"MtrElec",1,2,16,"",165.857,0,12.2103,0,23.0285,0,0.163783,0,1.23807,9.67301,11.9968,5.94073,0,6.5988,63.7188,0,15.1046,0,2.01812,2.40773,11.758,0,0,0,0
"MtrElec",1,2,17,"",220.784,0,12.5961,0.0147018,37.495,0,0.163783,0,1.22331,9.67301,11.9968,5.90894,0,7.8678,70.6647,0,15.444,0.530617,20.3511,0.851233,26.0033,0,0,0,0
