"MF88 Individual Supply + Individual Exhaust (ERV, ResVRF)  /  Standard (PV-Batt only)  /  EX03_MF88_Central-WSHP_CZ09.cibd25",001
"Fri 22-May-26   4:4 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",244.499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.499,0,0,0
"MtrElec",1,1,2,"",180.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.077,0,0,0
"MtrElec",1,1,3,"",179.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.23,0,0,0
"MtrElec",1,1,4,"",181.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.151,0,0,0
"MtrElec",1,1,5,"",181.496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.496,0,0,0
"MtrElec",1,1,6,"",210.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.375,0,0,0
"MtrElec",1,1,7,"",296.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296.691,0,0,0
"MtrElec",1,1,8,"",221.593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320.289,0,0,-98.6962
"MtrElec",1,1,9,"",61.606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361.172,0,0,-299.566
"MtrElec",1,1,10,"",-67.1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392.669,0,0,-459.795
"MtrElec",1,1,11,"",0.0000039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509.821,0,50.0995,-559.921
"MtrElec",1,1,12,"",0.0000078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476.362,0,120.985,-597.347
"MtrElec",1,1,13,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438.337,0,142.554,-580.891
"MtrElec",1,1,14,"",0.0000020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333.506,0,22.7392,-356.245
"MtrElec",1,1,15,"",72.3837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364.478,0,0,-292.094
"MtrElec",1,1,16,"",122.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.109,0,0,-178.684
"MtrElec",1,1,17,"",374.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395.931,0,0,-21.7079
"MtrElec",1,1,18,"",453.862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453.862,0,0,0
"MtrElec",1,1,19,"",234.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457.292,0,-223.217,0
"MtrElec",1,1,20,"",260.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340.754,0,-80.364,0
"MtrElec",1,1,21,"",326.304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326.304,0,0,0
"MtrElec",1,1,22,"",348.823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348.823,0,0,0
"MtrElec",1,1,23,"",247.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.022,0,0,0
