"MF88 Individual Supply + Individual Exhaust (ERV, ResVRF)  /  Proposed (PV-Batt only)  /  EX03_MF88_Central-WSHP_CZ09.cibd25",001
"Fri 22-May-26   4:4 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",184.793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.793,0,0,0
"MtrElec",1,1,2,"",166.998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.998,0,0,0
"MtrElec",1,1,3,"",162.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.21,0,0,0
"MtrElec",1,1,4,"",164.459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.459,0,0,0
"MtrElec",1,1,5,"",167.339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.339,0,0,0
"MtrElec",1,1,6,"",246.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.12,0,0,0
"MtrElec",1,1,7,"",225.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.021,0,0,0
"MtrElec",1,1,8,"",194.792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.039,0,0,-98.247
"MtrElec",1,1,9,"",95.4939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393.696,0,0,-298.202
"MtrElec",1,1,10,"",-43.2913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414.411,0,0,-457.703
"MtrElec",1,1,11,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462.383,0,94.9901,-557.373
"MtrElec",1,1,12,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470.5,0,124.128,-594.628
"MtrElec",1,1,13,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442.66,0,135.587,-578.248
"MtrElec",1,1,14,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337.59,0,17.0342,-354.624
