Space Interior Loads Fuel Use Report
,,,,Non-Regulated,,,Non-Regulated,,,
,,,,Equipment,,,Process,,,
,,Floor Area,,Power Density,Schedule,Fuel Use,Power Density,Schedule,Fuel Use,
Space Name,Conditioning Type,(ft2),Mult,(Btuh/ft2),(FLH),(therms),(Btuh/ft2),(FLH),(therms),
"F1 Retail N Core","DirectlyConditioned",1665,1,,,,,,,
"F1 Retail NE Core","DirectlyConditioned",1440,1,,,,,,,
"F1 Retail NE Inner","DirectlyConditioned",1440,1,,,,,,,
"F1 Retail NE Outer","DirectlyConditioned",1440,1,,,,,,,
"F1 Retail NW Inner Core","DirectlyConditioned",1440,1,,,,,,,
"F1 Retail NW Outer","DirectlyConditioned",1440,1,,,,,,,
"F1 Retail NW Outer Core","DirectlyConditioned",1440,1,,,,,,,
"F1 Retail SE Bottom","DirectlyConditioned",1440,1,,,,,,,
"F1 Retail SE Top","DirectlyConditioned",1440,1,,,,,,,
"F1 Retail SW Bottom","DirectlyConditioned",1440,1,,,,,,,
"F1 Retail SW Core","DirectlyConditioned",1440,1,,,,,,,
"F1 Retail SW Top","DirectlyConditioned",1548,1,,,,,,,
