"MF88 Individual Supply + Individual Exhaust (ERV, ResVRF)  /  Proposed  /  EX03_MF88_Central-WSHP_CZ09.cibd25",002
"Fri 22-May-26   4:3 pm"
"x-ldPass","Hour"
"Month","Day","Hr","CW Loop-HtgLd (Btu)","ClgLd (Btu)","NetLd (Btu)","DemFlw (gpm)","ActualFlw (gpm)","NetLd (W)","FlowFrac"
1,1,1,0,0,0,0,698.198,0,0
1,1,2,0,0,0,0,698.198,0,0
1,1,3,0,0,0,0,698.198,0,0
1,1,4,0,0,0,0,698.198,0,0
1,1,5,0,0,0,0,698.198,0,0
1,1,6,0,0,0,0,698.198,0,0
1,1,7,0,0,0,0,698.198,0,0
1,1,8,0,0,0,0,698.198,0,0
1,1,9,0,0,0,0,698.198,0,0
1,1,10,0,0,0,0,698.198,0,0
1,1,11,0,0,0,0,698.198,0,0
1,1,12,0,0,0,0,698.198,0,0
1,1,13,0,0,0,0,698.198,0,0
1,1,14,0,0,0,0,698.198,0,0
1,1,15,0,0,0,0,698.198,0,0
1,1,16,0,0,0,0,698.198,0,0
1,1,17,0,0,0,0,698.198,0,0
1,1,18,0,0,0,0,698.198,0,0
1,1,19,0,0,0,0,698.198,0,0
1,1,20,0,0,0,0,698.198,0,0
1,1,21,0,0,0,0,698.198,0,0
1,1,22,0,0,0,0,698.198,0,0
1,1,23,0,0,0,0,698.198,0,0
1,1,24,0,0,0,0,698.198,0,0
1,2,1,0,0,0,0,698.198,0,0
1,2,2,0,0,0,0,698.198,0,0
1,2,3,0,0,0,0,698.198,0,0
1,2,4,0,0,0,0,698.198,0,0
1,2,5,0,0,0,0,698.198,0,0
1,2,6,0,0,0,0,698.198,0,0
1,2,7,0,0,0,0,698.198,0,0
1,2,8,0,0,0,0,698.198,0,0
1,2,9,0,0,0,0,698.198,0,0
1,2,10,0,0,0,0,698.198,0,0
1,2,11,0,0,0,0,698.198,0,0
1,2,12,0,0,0,0,698.198,0,0
1,2,13,0,0,0,0,698.198,0,0
1,2,14,0,0,0,0,698.198,0,0
1,2,15,0,0,0,0,698.198,0,0
1,2,16,119.472,0,119.472,0.0238852,698.198,35.0151,0.0440448
1,2,17,235.898,0,235.898,0.0471617,698.198,69.1378,0.0440448
1,2,18,224.81,0,224.81,0.0449449,698.198,65.888,0.0440448
1,2,19,11.8858,0,11.8858,0.00237626,698.198,3.48353,0.0440448
1,2,20,0,0,0,0,698.198,0,0
1,2,21,0,0,0,0,698.198,0,0
1,2,22,0,0,0,0,698.198,0,0
1,2,23,0,0,0,0,698.198,0,0
1,2,24,506.443,0,506.443,0.10125,698.198,148.43,0.0440448
1,3,1,902.654,0,902.654,0.180462,698.198,264.553,0.0440448
1,3,2,1055.54,0,1055.54,0.211028,698.198,309.361,0.0440448
1,3,3,1172.35,0,1172.35,0.234382,698.198,343.597,0.0440448
1,3,4,1269.66,0,1269.66,0.253835,698.198,372.116,0.0440448
1,3,5,1899.98,0,1899.98,0.379852,698.198,556.853,0.0440448
1,3,6,1874.57,0,1874.57,0.374771,698.198,549.405,0.0440448
1,3,7,1540.62,0,1540.62,0.308007,698.198,451.53,0.0440448
1,3,8,1830.47,0,1830.47,0.365954,698.198,536.479,0.0440448
1,3,9,1882.89,0,1882.89,0.376435,698.198,551.843,0.0440448
1,3,10,1587.78,0,1587.78,0.317436,698.198,465.353,0.0440448
