"",001
"Mon 30-Mar-26   5:0 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",22.0024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0024,0,0,0
"MtrElec",1,1,2,"",24.8741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8741,0,0,0
"MtrElec",1,1,3,"",28.6635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6635,0,0,0
"MtrElec",1,1,4,"",32.3578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.3578,0,0,0
"MtrElec",1,1,5,"",31.9548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.9548,0,0,0
"MtrElec",1,1,6,"",33.6575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.6575,0,0,0
"MtrElec",1,1,7,"",33.8353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.8353,0,0,0
"MtrElec",1,1,8,"",17.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.4336,0,0,-16.4896
"MtrElec",1,1,9,"",-22.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6987,0,0,-50.0496
"MtrElec",1,1,10,"",-60.0684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7515,0,0,-76.8198
"MtrElec",1,1,11,"",-26.5589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.98915,0,58.0002,-93.5482
"MtrElec",1,1,12,"",-33.2184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.58252,0,58.0002,-99.8011
"MtrElec",1,1,13,"",-30.4745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57716,0,58.0002,-97.0518
"MtrElec",1,1,14,"",-17.361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57931,0,33.5791,-59.5194
"MtrElec",1,1,15,"",-40.2251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57628,0,0,-48.8014
"MtrElec",1,1,16,"",-22.0215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.83195,0,0,-29.8534
"MtrElec",1,1,17,"",5.40255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.02938,0,0,-3.62683
"MtrElec",1,1,18,"",9.20636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.20636,0,0,0
"MtrElec",1,1,19,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.80148,0,-8.80148,0
"MtrElec",1,1,20,"",-0.0000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5763,0,-10.5763,0
"MtrElec",1,1,21,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5652,0,-10.5652,0
"MtrElec",1,1,22,"",-0.0000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.20414,0,-9.20415,0
"MtrElec",1,1,23,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8819,0,-12.8819,0
"MtrElec",1,1,24,"",-0.0000020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9765,0,-22.9765,0
"MtrElec",1,2,1,"",-0.0000020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6335,0,-23.6335,0
"MtrElec",1,2,2,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0558,0,-23.0558,0
"MtrElec",1,2,3,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6959,0,-24.6959,0
"MtrElec",1,2,4,"",-0.0000020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.1615,0,-26.1615,0
"MtrElec",1,2,5,"",12.549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.3375,0,-14.7885,0
"MtrElec",1,2,6,"",90.0249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0249,0,0,0
"MtrElec",1,2,7,"",69.3975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.3975,0,0,0
"MtrElec",1,2,8,"",75.5104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.8577,0,0,-0.347283
"MtrElec",1,2,9,"",91.0598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.2817,0,0,-8.22188
"MtrElec",1,2,10,"",85.5105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.2348,0,0,-8.72429
"MtrElec",1,2,11,"",81.0453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.7027,0,0,-11.6574
"MtrElec",1,2,12,"",79.7574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0007,0,0,-14.2433
"MtrElec",1,2,13,"",79.6067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.7579,0,0,-15.1511
"MtrElec",1,2,14,"",87.2091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.7384,0,0,-7.52933
"MtrElec",1,2,15,"",85.7443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.1778,0,0,-8.4335
"MtrElec",1,2,16,"",93.1897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.581,0,0,-3.39123
"MtrElec",1,2,17,"",102.359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.58,0,0,-0.22077
"MtrElec",1,2,18,"",76.2316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.2316,0,0,0
"MtrElec",1,2,19,"",69.2989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.2989,0,0,0
"MtrElec",1,2,20,"",69.1078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.1078,0,0,0
"MtrElec",1,2,21,"",64.9747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.9747,0,0,0
"MtrElec",1,2,22,"",65.8526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.8526,0,0,0
"MtrElec",1,2,23,"",61.9194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.9194,0,0,0
"MtrElec",1,2,24,"",60.5222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.5222,0,0,0
"MtrElec",1,3,1,"",10.5682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5682,0,0,0
"MtrElec",1,3,2,"",9.81782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.81782,0,0,0
"MtrElec",1,3,3,"",10.5682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5682,0,0,0
"MtrElec",1,3,4,"",12.2948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2948,0,0,0
"MtrElec",1,3,5,"",18.9582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9582,0,0,0
"MtrElec",1,3,6,"",89.0354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0354,0,0,0
"MtrElec",1,3,7,"",72.9181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.9181,0,0,0
"MtrElec",1,3,8,"",68.6318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.6318,0,0,0
"MtrElec",1,3,9,"",70.5269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.9653,0,0,-3.43843
"MtrElec",1,3,10,"",60.5831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.6561,0,0,-9.07304
"MtrElec",1,3,11,"",35.8777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.0676,0,0,-27.1899
"MtrElec",1,3,12,"",21.1344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.3763,0,0,-37.2418
"MtrElec",1,3,13,"",4.26781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.1592,0,0,-42.8914
"MtrElec",1,3,14,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.9968,0,16.6721,-60.6689
"MtrElec",1,3,15,"",0.0000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.2752,0,9.08323,-52.3584
"MtrElec",1,3,16,"",27.2878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.6925,0,0,-16.4046
"MtrElec",1,3,17,"",44.6492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.4764,0,0,-1.82723
"MtrElec",1,3,18,"",41.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.088,0,0,0
"MtrElec",1,3,19,"",20.7605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.0047,0,-23.2441,0
"MtrElec",1,3,20,"",9.21547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.21547,0,0,0
"MtrElec",1,3,21,"",9.55792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.55792,0,0,0
"MtrElec",1,3,22,"",10.5917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5917,0,0,0
"MtrElec",1,3,23,"",10.5795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5795,0,0,0
"MtrElec",1,3,24,"",10.9308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9308,0,0,0
"MtrElec",1,4,1,"",14.6058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6058,0,0,0
"MtrElec",1,4,2,"",20.7463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7463,0,0,0
"MtrElec",1,4,3,"",25.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.149,0,0,0
"MtrElec",1,4,4,"",32.0831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0831,0,0,0
"MtrElec",1,4,5,"",31.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.1667,0,0,0
"MtrElec",1,4,6,"",34.8455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.8455,0,0,0
"MtrElec",1,4,7,"",32.0488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0488,0,0,0
"MtrElec",1,4,8,"",17.1445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2852,0,0,-17.1407
"MtrElec",1,4,9,"",-23.8755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0534,0,0,-49.9289
"MtrElec",1,4,10,"",-65.6913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62196,0,0,-75.3133
"MtrElec",1,4,11,"",-24.1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57423,0,58.0002,-90.6866
"MtrElec",1,4,12,"",-33.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.58515,0,58.0002,-100.029
"MtrElec",1,4,13,"",-33.3365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.58344,0,58.0002,-99.9201
"MtrElec",1,4,14,"",-46.5768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.59054,0,33.5791,-88.7464
"MtrElec",1,4,15,"",-61.5776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.58228,0,0,-70.1599
"MtrElec",1,4,16,"",-36.2254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8297,0,0,-44.0551
"MtrElec",1,4,17,"",-2.76662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9945,0,0,-11.7611
"MtrElec",1,4,18,"",9.20636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.20636,0,0,0
"MtrElec",1,4,19,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.45897,0,-8.45897,0
"MtrElec",1,4,20,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.20636,0,-9.20636,0
"MtrElec",1,4,21,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0479,0,-9.0479,0
"MtrElec",1,4,22,"",-0.0000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.35305,0,-9.35305,0
"MtrElec",1,4,23,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.79025,0,-8.79025,0
"MtrElec",1,4,24,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5652,0,-10.5652,0
"MtrElec",1,5,1,"",-0.0000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5682,0,-10.5682,0
"MtrElec",1,5,2,"",-0.0000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4652,0,-14.4652,0
"MtrElec",1,5,3,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.008,0,-22.008,0
"MtrElec",1,5,4,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0051,0,-25.0051,0
"MtrElec",1,5,5,"",-0.0000020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0189,0,-28.0189,0
"MtrElec",1,5,6,"",64.5323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.3858,0,-31.8535,0
"MtrElec",1,5,7,"",75.2271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.2271,0,0,0
"MtrElec",1,5,8,"",75.2721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.9395,0,0,-3.66741
"MtrElec",1,5,9,"",59.3351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.8724,0,0,-37.5372
"MtrElec",1,5,10,"",26.4444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.6857,0,0,-66.2413
"MtrElec",1,5,11,"",11.5686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.574,0,0,-80.0053
"MtrElec",1,5,12,"",24.8238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.1402,0,0,-68.3163
"MtrElec",1,5,13,"",40.1331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.2566,0,0,-54.1235
"MtrElec",1,5,14,"",29.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.6035,0,0,-67.3915
"MtrElec",1,5,15,"",60.8944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.4404,0,0,-35.5459
"MtrElec",1,5,16,"",77.1265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.637,0,0,-20.5105
