"",001
"Mon 30-Mar-26   5:0 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",13.0637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0637,0,0,0
"MtrElec",1,1,2,"",17.2879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2879,0,0,0
"MtrElec",1,1,3,"",17.9494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.9494,0,0,0
"MtrElec",1,1,4,"",21.3152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.3152,0,0,0
"MtrElec",1,1,5,"",20.7788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7788,0,0,0
"MtrElec",1,1,6,"",23.1675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1675,0,0,0
"MtrElec",1,1,7,"",23.7155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7155,0,0,0
"MtrElec",1,1,8,"",7.82313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.3229,0,0,-16.4998
"MtrElec",1,1,9,"",-32.1394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.9412,0,0,-50.0806
"MtrElec",1,1,10,"",-63.0626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8047,0,0,-76.8673
"MtrElec",1,1,11,"",-25.828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.77172,0,58.0064,-93.6061
"MtrElec",1,1,12,"",-32.1515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.70491,0,58.0064,-99.8629
"MtrElec",1,1,13,"",-29.4058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.69966,0,58.0064,-97.1119
"MtrElec",1,1,14,"",-16.2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.70239,0,33.5827,-59.5562
"MtrElec",1,1,15,"",-39.1326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.69894,0,0,-48.8316
"MtrElec",1,1,16,"",-20.9161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.95578,0,0,-29.8719
