19,5,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC 2025.2.0.1 (1395)"
,CompMgr:,,"BEMCmpMgr 2025.2.0.1 (625)"
,OpenStudio:,,"3.10.0+e80a80c812"
,EnergyPlus:,,"25.1.0-1c11a3d85f"
,CSE:,,"CSE 0.927.0 EXE"
,Ruleset:,,"CA 2025 Nonresidential, Vers. 1.0 (T24_2025.bin)"
Run Title:,,,""
Run Date/Time:,,,"2026-03-30 17:08:13"
NonRes Cond. Area:,,,13585
Residential Cond. Area:,,,0
Model:,,,"Standard"
Model File:,,,"C:\GitHub\P-ComplexHVAC\P-SCE-Complex_HVAC\NR Small Office Examples\NR Example 1 SZVAVDFHP\NR Example - SZVAVDFHP.cibd25x"

,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,LSC Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh)
1,1,1, 01/01 01,0.816441,0.0257411,3.71668,0,0,0,0.407313,1.47283,0,0.00926056,0,4.96617,6.44826,0,0,0,0,0,0.865039,0,0,0,0,0,0.865039,0.865039,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3628,626.966,894.518,8.29512,89.9626,100,0.000438895,0.0054633,0.006288,0.00127989,0,0,
1,1,2, 01/01 02,1.11912,0.0247041,4.0376,0,0,0.219044,0.407313,1.47283,0,0.00926056,0,5.80778,7.28987,0,0,0,0,0,0.865058,0,0,0,0,0,0.865058,0.865058,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3529,626.966,894.518,7.19566,89.9626,100,0.000380722,0.0054633,0.006288,0.000390829,0,0,
1,1,3, 01/01 03,1.33711,0.0303326,5.1436,0,0,0,0.407313,1.47283,0,0.00926056,0,6.91835,8.40044,0,0,0,0,0,0.86511,0,0,0,0,0,0.86511,0.86511,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74636,626.966,894.518,4.74042,89.9626,100,0.000250816,0.0054633,0.006288,0,0,0,
1,1,4, 01/01 04,1.67921,0.0253188,5.67021,0,0,0.219005,0.407313,1.47283,0,0.00926056,0,8.00106,9.48314,0,0,0,0,0,0.865128,0,0,0,0,0,0.865128,0.865128,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53065,626.966,894.518,4.31459,89.9626,100,0.000228285,0.0054633,0.006288,0,0,0,
1,1,5, 01/01 05,1.45696,0.0246606,5.77497,0,0,0.219042,0.407313,1.47283,0,0.00926056,0,7.88294,9.36503,0,0,0,0,0,0.865114,0,0,0,0,0,0.865114,0.865114,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49252,626.966,894.518,4.23227,89.9626,100,0.000223929,0.0054633,0.006288,0,0,0,
1,1,6, 01/01 06,1.62787,0.0256703,6.09612,0,0,0.221703,0.41061,1.47283,0,0.00926056,0,8.38197,9.86405,0,0,0,0,0,0.874481,0,0,0,0,0,0.874481,0.874481,0,0,0,0,0,0,0,0,0,0,0,0,0,6.55552,626.966,894.518,4.35364,89.9626,100,0.000230351,0.0054633,0.006288,0,0,0,
1,1,7, 01/01 07,1.72599,0.0257575,6.27171,0,0,0,0.41061,1.47283,0,0.00926056,0,8.43406,9.91615,0,0,0,0,0,0.865264,0,0,0,0,0,0.865264,0.865264,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51072,626.966,894.518,5.54605,89.9626,100,0.000293441,0.0054633,0.006288,0.000150648,0,0,
1,1,8, 01/01 08,1.72472,0.0254732,6.3156,0,0,0.219011,0.32459,1.47283,0,0.00926056,0,8.60939,10.0915,0,0,0,0,0,0.865242,0,0,0,0,0,0.865242,0.865242,0,0,0,0,0,0,0,0,0,0,0,0,0,6.54374,626.966,894.518,4.35696,89.9626,100,0.000230527,0.0054633,0.006288,0,-4.83145,0,
1,1,9, 01/01 09,0.930576,0.0247192,5.23356,0,0,0.219042,0.227696,1.47283,0,0.00926056,0,6.63559,8.11768,0,0,0,0,0,0.865328,0,0,0,0,0,0.865328,0.865328,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68693,626.966,894.518,2.68137,89.9626,100,0.000141871,0.0054633,0.006288,0,-14.6645,0,
1,1,10, 01/01 10,0.219738,0.0136518,2.96961,0,0,0,0.22428,1.47283,0,0.00926056,0,3.42728,4.90937,0,0,0,0,0,0.865227,0,0,0,0,0,0.865227,0.865227,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68395,626.966,894.518,2.3791,89.9626,100,0.000125878,0.0054633,0.006288,0,-22.5082,0,
