AirSystems
,,Fan Capacity,,,,Fan Pwr (Design),,,,,Fan Pwr Ratio,,,,Fan Pwr Adj
System Name,Type,Supply Fan Capacity,Return Fan Capacity,Relief Fan Capacity,Exhaust Fan Capacity,Supply Fan Pwr,Return Fan Pwr,Relief Fan Pwr,Exhaust Fan Pwr,Total System Fan Pwr,Supply Fan Pwr Ratio,Return Fan Pwr Ratio,Relief Fan Pwr Ratio,Exhaust Fan Pwr Ratio,Total Exhaust Fan Pwr Adj,Total NonExhaust Fan Pwr Adj,Total System Fan Pwr Adj,Fully Ducted Exhaust Pressure Drop Adj,Exhaust Filter Pressure Drop Adj,Biosafety Cabinet Pressure Drop Adj,Fully Ducted Return Pressure Drop Adj,MERV16 Filter Pressure Drop Adj,Air Cleaner Pressure Drop Adj,Fully Ducted Exhaust Design Flow,Exhaust Filter Design Flow,Biosafety Design Flow,Fully Ducted Return Design Flow,MERV16 Filter Design Flow,Air Cleaner Design Flow
,,(cfm),(cfm),(cfm),(cfm),(kW),(kW),(kW),(kW),(kW),(frac),(frac),(frac),(frac),(kW),(kW),(kW),(inH2O),(inH2O),(inH2O),(inH2O),(inH2O),(inH2O),(cfm),(cfm),(cfm),(cfm),(cfm),(cfm)
"SZHPAirSys 1","SZVAVDFHP",1362.8,0.0,0.0,0.0,1.315,0.000,0.000,0.000,1.011,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"SZHPAirSys 2","SZVAVDFHP",1448.8,0.0,0.0,0.0,1.398,0.000,0.000,0.000,1.075,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"SZHPAirSys 3","SZVAVDFHP",1472.8,0.0,0.0,0.0,1.421,0.000,0.000,0.000,1.093,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"SZHPAirSys 4","SZVAVDFHP",5602.4,0.0,0.0,0.0,5.404,0.000,0.000,0.000,4.157,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"SZHPAirSys 5","SZVAVDFHP",620.9,0.0,0.0,0.0,0.599,0.000,0.000,0.000,0.461,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"SZHPAirSys 6","SZVAVDFHP",1566.8,0.0,0.0,0.0,1.597,0.000,0.000,0.000,1.163,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"PSZ CRAC","SZAC",1010.4,0.0,0.0,0.0,0.890,0.000,0.000,0.000,0.684,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"SZHPAirSys 7","SZVAVDFHP",2172.8,0.0,0.0,0.0,2.096,0.000,0.000,0.000,1.612,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000

ZoneSystems
,,Fan Capacity,,,,Fan Pwr (Design),,,,,Fan Pwr Ratio,,,,Fan Pwr Adj
System Name,Type,Supply Fan Capacity,Return Fan Capacity,Relief Fan Capacity,Exhaust Fan Capacity,Supply Fan Pwr,Return Fan Pwr,Relief Fan Pwr,Exhaust Fan Pwr,Total System Fan Pwr,Supply Fan Pwr Ratio,Return Fan Pwr Ratio,Relief Fan Pwr Ratio,Exhaust Fan Pwr Ratio,Total Exhaust Fan Pwr Adj,Total NonExhaust Fan Pwr Adj,Total System Fan Pwr Adj,Fully Ducted Exhaust Pressure Drop Adj,Exhaust Filter Pressure Drop Adj,Biosafety Cabinet Pressure Drop Adj,Fully Ducted Return Pressure Drop Adj,MERV16 Filter Pressure Drop Adj,Air Cleaner Pressure Drop Adj,Fully Ducted Exhaust Design Flow,Exhaust Filter Design Flow,Biosafety Design Flow,Fully Ducted Return Design Flow,MERV16 Filter Design Flow,Air Cleaner Design Flow
,,(cfm),(cfm),(cfm),(cfm),(kW),(kW),(kW),(kW),(kW),(frac),(frac),(frac),(frac),(kW),(kW),(kW),(inH2O),(inH2O),(inH2O),(inH2O),(inH2O),(inH2O),(cfm),(cfm),(cfm),(cfm),(cfm),(cfm)
"ZoneSys-Exhaust","Exhaust",0.0,0,0,250.0,0.000,0,0,0.150,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000

Thermal Zone
,,,,,,Fan Capacity,,,Fan Flow Ratio,,,Fan Pwr,,,,,Fan Pwr Adj
Name,Pri HVAC Sys,Vent Sys,Exhaust Sys,Floor Area,Multiplier,Pri. System Flow,Ventilation System Flow,Exhaust Flow,Zone Pri-Air-Flow-to-Sys Flow Ratio,Zone Vent-to-Sys-Air Flow Ratio,Zone Exh-to-Sys Flow Ratio,Prop Supply Fan Pwr,Prop Return Fan Pwr,Prop Relief Fan Pwr,Prop Exhaust Fan Pwr,Total Prop Fan Pwr,Total Exhaust Fan Pwr Adj,Total NonExhaust Fan Pwr Adj,Total Fan Pwr Adj,Fully Ducted Exhaust Pwr Adj,Exhaust Filter Fan Pwr Adj,Biosafety Cabinet Fan Pwr Adj,Fully Ducted Return Fan Pwr Adj,MERV16 Fan Pwr Adj,Air Cleaner Fan Pwr Adj,Exhaust Fan Motor BHP
,,,,(ft2),,(cfm),(cfm),(cfm),(frac),(frac),(frac),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW)
"Zn Sys 1 Reception","SZHPAirSys 1","SZHPAirSys 1","NONE",1392.2,1,1362.8,1362.8,0.0,1.000,0.000,0.000,1.011,0.000,0.000,0.000,1.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Zn Sys 2 Conference","SZHPAirSys 2","SZHPAirSys 2","NONE",928.9,1,1448.8,1448.8,0.0,1.000,0.000,0.000,1.075,0.000,0.000,0.000,1.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Zn Sys 3 Break Room","SZHPAirSys 3","SZHPAirSys 3","NONE",1414.3,1,1472.8,1472.8,0.0,1.000,0.000,0.000,1.093,0.000,0.000,0.000,1.093,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Zn Sys 4 Open Office","SZHPAirSys 4","SZHPAirSys 4","NONE",5962.3,1,5602.4,5602.4,0.0,1.000,0.000,0.000,4.157,0.000,0.000,0.000,4.157,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Zn Sys 5 Conference-Office","SZHPAirSys 5","SZHPAirSys 5","NONE",578.3,1,620.9,620.9,0.0,1.000,0.000,0.000,0.461,0.000,0.000,0.000,0.461,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Zn Sys 6 Conference-Support","SZHPAirSys 6","SZHPAirSys 6","NONE",1359.2,1,1566.8,1566.8,0.0,1.000,0.000,0.000,1.163,0.000,0.000,0.000,1.163,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Zn Sys 7 Restrooms","NONE","NONE","ZoneSys-Exhaust",245.5,1,0.0,0.0,250.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.150
"Zn Sys 8 IT and Elec","PSZ CRAC","PSZ CRAC","NONE",131.9,1,1010.4,1010.4,0.0,1.000,0.000,0.000,0.684,0.000,0.000,0.000,0.684,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Zn Sys 9 Library","SZHPAirSys 7","SZHPAirSys 7","NONE",1818.0,1,2172.8,2172.8,0.0,1.000,0.000,0.000,1.612,0.000,0.000,0.000,1.612,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Zn Sys 10 Elec","NONE","NONE","NONE",64.1,1,0.0,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
