19,5,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC 2025.2.0.1 (1395)"
,CompMgr:,,"BEMCmpMgr 2025.2.0.1 (625)"
,OpenStudio:,,"3.10.0+e80a80c812"
,EnergyPlus:,,"25.1.0-1c11a3d85f"
,CSE:,,"CSE 0.927.0 EXE"
,Ruleset:,,"CA 2025 Nonresidential, Vers. 1.0 (T24_2025.bin)"
Run Title:,,,""
Run Date/Time:,,,"2026-03-30 17:08:13"
NonRes Cond. Area:,,,13585
Residential Cond. Area:,,,0
Model:,,,"Proposed"
Model File:,,,"C:\GitHub\P-ComplexHVAC\P-SCE-Complex_HVAC\NR Small Office Examples\NR Example 1 SZVAVDFHP\NR Example - SZVAVDFHP.cibd25x"

,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,LSC Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh)
1,1,1, 01/01 01,0.466128,0.0243648,1.44869,0,0,0,0.407313,1.47283,0,0.00926056,0,2.3465,3.82859,0,0,0,0,0,0.864635,0,0,0,0,0,0.864635,0.864635,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3628,626.966,894.518,8.29512,89.9626,100,0.000438895,0.0054633,0.006288,0.00127989,0,0,
1,1,2, 01/01 02,0.855298,0.0243648,2.07849,0,0,0.219044,0.407313,1.47283,0,0.00926056,0,3.58451,5.06659,0,0,0,0,0,0.864756,0,0,0,0,0,0.864756,0.864756,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3529,626.966,894.518,7.19566,89.9626,100,0.000380722,0.0054633,0.006288,0.000390829,0,0,
1,1,3, 01/01 03,1.16259,0.0243648,2.1841,0,0,0,0.407313,1.47283,0,0.00926056,0,3.77837,5.26046,0,0,0,0,0,0.864877,0,0,0,0,0,0.864877,0.864877,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74636,626.966,894.518,4.74042,89.9626,100,0.000250816,0.0054633,0.006288,0,0,0,
1,1,4, 01/01 04,1.81573,0.0243648,2.29835,0,0,0.219036,0.407313,1.47283,0,0.00926056,0,4.76479,6.24688,0,0,0,0,0,0.864997,0,0,0,0,0,0.864997,0.864997,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53065,626.966,894.518,4.31459,89.9626,100,0.000228285,0.0054633,0.006288,0,0,0,
1,1,5, 01/01 05,1.71725,0.0243648,2.23962,0,0,0.219042,0.407313,1.47283,0,0.00926056,0,4.60759,6.08968,0,0,0,0,0,0.865116,0,0,0,0,0,0.865116,0.865116,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49252,626.966,894.518,4.23227,89.9626,100,0.000223929,0.0054633,0.006288,0,0,0,
1,1,6, 01/01 06,2.13836,0.0243648,2.5126,0,0,0.221703,0.41061,1.47283,0,0.00926056,0,5.30764,6.78972,0,0,0,0,0,0.874483,0,0,0,0,0,0.874483,0.874483,0,0,0,0,0,0,0,0,0,0,0,0,0,6.55552,626.966,894.518,4.35364,89.9626,100,0.000230351,0.0054633,0.006288,0,0,0,
1,1,7, 01/01 07,2.34761,0.0243648,2.68566,0,0,0,0.41061,1.47283,0,0.00926056,0,5.46825,6.95033,0,0,0,0,0,0.865266,0,0,0,0,0,0.865266,0.865266,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51072,626.966,894.518,5.54605,89.9626,100,0.000293441,0.0054633,0.006288,0.000150648,0,0,
1,1,8, 01/01 08,2.38419,0.0243648,2.68566,0,0,0.219012,0.333022,1.47283,0,0.00926056,0,5.64625,7.12834,0,0,0,0,0,0.865218,0,0,0,0,0,0.865218,0.865218,0,0,0,0,0,0,0,0,0,0,0,0,0,6.54374,626.966,894.518,4.35696,89.9626,100,0.000230527,0.0054633,0.006288,0,-4.83444,0,
1,1,9, 01/01 09,1.06738,0.0255612,2.21083,0,0,0.219042,0.253136,1.47283,0,0.00926056,0,3.77595,5.25804,0,0,0,0,0,0.865039,0,0,0,0,0,0.865039,0.865039,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68693,626.966,894.518,2.68137,89.9626,100,0.000141871,0.0054633,0.006288,0,-14.6736,0,
1,1,10, 01/01 10,0.320459,0.0143653,1.97883,0,0,0,0.250019,1.47283,0,0.00926056,0,2.56368,4.04576,0,0,0,0,0,0.865058,0,0,0,0,0,0.865058,0.865058,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68395,626.966,894.518,2.3791,89.9626,100,0.000125878,0.0054633,0.006288,0,-22.5221,0,
