BuildingStory
,,Floor Area (including multipliers),,,,,Ventilation (Design),,,Ventilation (For Balance),,,,,,General,,Comm. Kitchen,,Parking Garage,,Laboratory
Name,Multiplier,Total,Cond. NRes,Cond. Res,Total Cond.,Number,Total,Code Min.,Exhaust,Total,Code Min.,Tot:Min Ratio,Exhaust,Vent:Exh Ratio,Vent Mult.,Vent,Exhaust,Vent,Exhaust,Vent,Exhaust,Vent,Exhaust
,,(ft2),(ft2),(ft2),(ft2),(people),(cfm),(cfm),(cfm),(cfm),(cfm),,(cfm),,,(cfm),(cfm),(cfm),(cfm),(cfm),(cfm),(cfm),(cfm)
"Building Story 1",1,13894.6,13585.0,0.0,13585.0,174.1,3354,3354,250,3354,3354,1.000,0,1.000,1.000,3354,250,0,0,0,0,0,0

Space
,,,,,,,Occupancy,,,Ventilation,,Design Input (By Component),,,,,Minimum Req. (By Component),,,,Simulated,,,Exhaust,,,ForBalance
Name,Story Name,Condg Type,Space Function,Thermal Zone,Floor Area,Multiplier,Design,Minimum,Number,Spec. Method,Control,Per Occupant,Per Area,Per Volume,Per Space,Calculated Flow,Per Occupant,Per Area,Per Volume,Calculated Flow,Per Occupant,Per Area,Calculated Flow,Calculated Flow,Lab Exh Type,Max Kitchen,Ventilation,Exhaust
,,,,,(ft2),,(ppl/1000ft2),(ppl/1000ft2),(people),,,(cfm/person),(cfm/ft2),(ACH),(cfm),(cfm),(cfm/person),(cfm/ft2),(ACH),(cfm),(cfm/person),(cfm/ft2),(cfm),(cfm),,(cfm),(cfm),(cfm)
"Zn 101 Reception Space","Building Story 1","DirectlyConditioned","Lobby, Main Entry","Zn Sys 1 Reception",351.1,1,66.0,66.0,11.6,"Maximum","Fixed",15,0.15,0,0,174,15,0.15,0,174,0,0.237018,-99996,0,"UNDEFINED",0,174,0
"Zn 102 Mail Space","Building Story 1","DirectlyConditioned","Storage, General","Zn Sys 1 Reception",311.0,1,4.0,4.0,0.6,"Maximum","Fixed",15,0.15,0,0,47,15,0.15,0,47,0,0.237018,-99996,0,"UNDEFINED",0,47,0
"Zn 103 Copy_Print Space","Building Story 1","DirectlyConditioned","Storage, General","Zn Sys 1 Reception",292.3,1,4.0,4.0,0.6,"Maximum","Fixed",15,0.15,0,0,44,15,0.15,0,44,0,0.237018,-99996,0,"UNDEFINED",0,44,0
"Zn 104 Corridor Space","Building Story 1","DirectlyConditioned","Corridor Area","Zn Sys 1 Reception",437.7,1,10.0,10.0,2.2,"Maximum","Fixed",15,0.15,0,0,66,15,0.15,0,66,0,0.237018,-99996,0,"UNDEFINED",0,66,0
"Zn 105 Phone Space","Building Story 1","DirectlyConditioned","Electrical, Mechanical, Telephone Rooms","Zn Sys 2 Conference",119.1,1,10.0,10.0,0.6,"Maximum","Fixed",15,0.15,0,0,18,15,0.15,0,18,0,0.450754,-99996,0,"UNDEFINED",0,18,0
"Zn 106 Conference Space","Building Story 1","DirectlyConditioned","Convention, Conference, Multipurpose and Meeting Area","Zn Sys 2 Conference",488.6,1,66.0,66.0,16.1,"Maximum","Fixed",15,0.15,0,0,242,15,0.15,0,242,0,0.450754,-99996,0,"UNDEFINED",0,242,0
"Zn 107 Storage Space","Building Story 1","DirectlyConditioned","Storage, General","Zn Sys 3 Break Room",316.1,1,10.0,10.0,1.6,"Maximum","Fixed",15,0.15,0,0,47,15,0.15,0,47,0,0.417896,-99996,0,"UNDEFINED",0,47,0
"Zn 108 Break Room Space","Building Story 1","DirectlyConditioned","Lounge, Breakroom, or Waiting Area","Zn Sys 3 Break Room",598.4,1,66.0,66.0,19.7,"Maximum","Fixed",15,0.15,0,0,296,15,0.15,0,296,0,0.417896,-99996,0,"UNDEFINED",0,296,0
"Zn 109 Dining Space","Building Story 1","DirectlyConditioned","Lounge, Breakroom, or Waiting Area","Zn Sys 3 Break Room",499.8,1,66.0,66.0,16.5,"Maximum","Fixed",15,0.15,0,0,247,15,0.15,0,247,0,0.417896,-99996,0,"UNDEFINED",0,247,0
"Zn 111 Open Office Space","Building Story 1","DirectlyConditioned","Office Area (>250 square feet)","Zn Sys 4 Open Office",5712.8,1,10.0,10.0,28.6,"Maximum","Fixed",15,0.15,0,0,857,15,0.15,0,857,0,0.155708,-99996,0,"UNDEFINED",0,857,0
"Zn 111A Vestibule Space","Building Story 1","DirectlyConditioned","Corridor Area","Zn Sys 5 Conference-Office",101.4,1,10.0,10.0,0.5,"Maximum","Fixed",15,0.15,0,0,15,15,0.15,0,15,0,0.209266,-99996,0,"UNDEFINED",0,15,0
"Zn 112 Huddle Space","Building Story 1","DirectlyConditioned","Convention, Conference, Multipurpose and Meeting Area","Zn Sys 6 Conference-Support",147.1,1,66.0,66.0,4.9,"Maximum","Fixed",15,0.15,0,0,73,15,0.15,0,73,0,0.495,-99996,0,"UNDEFINED",0,73,0
"Zn 113 Restroom Space","Building Story 1","Unconditioned","Restrooms","Zn Sys 7 Restrooms",245.5,1,10.0,10.0,1.2,"NoVentilation","UNDEFINED",0,0,0,0,0,0,0,0,0,0,0,-99996,250,"UNDEFINED",0,0,0
"Zn 120 Conference Space","Building Story 1","DirectlyConditioned","Convention, Conference, Multipurpose and Meeting Area","Zn Sys 6 Conference-Support",390.8,1,66.0,66.0,12.9,"Maximum","Fixed",15,0.15,0,0,193,15,0.15,0,193,0,0.495,-99996,0,"UNDEFINED",0,193,0
"Zn 121 Huddle Space","Building Story 1","DirectlyConditioned","Convention, Conference, Multipurpose and Meeting Area","Zn Sys 5 Conference-Office",99.3,1,66.0,66.0,3.3,"Maximum","Fixed",15,0.15,0,0,49,15,0.15,0,49,0,0.209266,-99996,0,"UNDEFINED",0,49,0
"Zn 122 Office Space","Building Story 1","DirectlyConditioned","Office Area (<=250 square feet)","Zn Sys 5 Conference-Office",198.7,1,10.0,10.0,1.0,"Maximum","Fixed",15,0.15,0,0,30,15,0.15,0,30,0,0.209266,-99996,0,"UNDEFINED",0,30,0
"Zn 123 Office Space","Building Story 1","DirectlyConditioned","Office Area (<=250 square feet)","Zn Sys 5 Conference-Office",178.9,1,10.0,10.0,0.9,"Maximum","Fixed",15,0.15,0,0,27,15,0.15,0,27,0,0.209266,-99996,0,"UNDEFINED",0,27,0
"Zn 124 Conference Space","Building Story 1","DirectlyConditioned","Convention, Conference, Multipurpose and Meeting Area","Zn Sys 2 Conference",148.3,1,66.0,66.0,4.9,"Maximum","Fixed",15,0.15,0,0,73,15,0.15,0,73,0,0.450754,-99996,0,"UNDEFINED",0,73,0
"Zn 125 Electrical Space","Building Story 1","Unconditioned","Electrical, Mechanical, Telephone Rooms","Zn Sys 10 Elec",64.1,1,10.0,10.0,0.3,"NoVentilation","UNDEFINED",0,0,0,0,0,0,0,0,0,0,0,-99996,0,"UNDEFINED",0,0,0
"Zn 126 Copy Space","Building Story 1","DirectlyConditioned","Storage, General","Zn Sys 4 Open Office",150.8,1,4.0,4.0,0.3,"Maximum","Fixed",15,0.15,0,0,23,15,0.15,0,23,0,0.155708,-99996,0,"UNDEFINED",0,23,0
"Zn 127 Huddle Space","Building Story 1","DirectlyConditioned","Convention, Conference, Multipurpose and Meeting Area","Zn Sys 4 Open Office",98.6,1,66.0,66.0,3.3,"Maximum","Fixed",15,0.15,0,0,49,15,0.15,0,49,0,0.155708,-99996,0,"UNDEFINED",0,49,0
"Zn 128 IT Room Space","Building Story 1","DirectlyConditioned","Computer Room","Zn Sys 8 IT and Elec",131.9,1,10.0,10.0,0.7,"Maximum","Fixed",15,0.15,0,0,20,15,0.15,0,20,0,0.15,-99996,0,"UNDEFINED",0,20,0
"Zn 129 Conference Space","Building Story 1","DirectlyConditioned","Convention, Conference, Multipurpose and Meeting Area","Zn Sys 2 Conference",172.8,1,66.0,66.0,5.7,"Maximum","Fixed",15,0.15,0,0,86,15,0.15,0,86,0,0.450754,-99996,0,"UNDEFINED",0,86,0
"Zn 130 Library Space","Building Story 1","DirectlyConditioned","Office Area (>250 square feet)","Zn Sys 9 Library",1818.0,1,10.0,10.0,9.1,"Maximum","Fixed",15,0.15,0,0,273,15,0.15,0,273,0,0.15,-99996,0,"UNDEFINED",0,273,0
"Zn 131 Support Space","Building Story 1","DirectlyConditioned","Convention, Conference, Multipurpose and Meeting Area","Zn Sys 6 Conference-Support",821.4,1,66.0,66.0,27.1,"Maximum","Fixed",15,0.15,0,0,407,15,0.15,0,407,0,0.495,-99996,0,"UNDEFINED",0,407,0

ThermalZone
,,,,,,,Occupancy,,,,Ventilation,,Design Value (Total),,,,Minimum Req. (Total),,,,Simulated,,,Exhaust
Name,Story Name,Type,Ventilation Source,Pri. HVAC System,Ventilation System,Floor Area,Multiplier,Design,Minimum,Number,Spec. Method,Control,Per Occupant,Per Area,Per Volume,Calculated Flow,Per Occupant,Per Area,Per Volume,Calculated Flow,Per Occupant,Per Area,Calculated Flow,Calculated Flow,ExhSysRef,ExhOperMode,ExhCtrlMthd,ExhBalancedSchRef
,,,,,(ft2),,(ppl/1000ft2),(ppl/1000ft2),(people),,,,(cfm/person),(cfm/ft2),(ACH),(cfm),(cfm/person),(cfm/ft2),(ACH),(cfm),(cfm/person),(cfm/ft2),(cfm),(cfm)
"Zn Sys 1 Reception","Building Story 1","Conditioned","Forced","BaseAirSys7or3b","BaseAirSys7or3b",1392.2,1,21.5,21.5,15.0,"Maximum","Fixed",22.0231,0.237018,1.42211,330,22.0231,0.237018,1.42211,330,0,0.237018,-99996
"Zn Sys 2 Conference","Building Story 1","Conditioned","Forced","BaseAirSys7or3b-2","BaseAirSys7or3b-2",928.9,1,58.8,58.8,27.3,"Maximum","Fixed",15.3271,0.450754,2.70452,419,15.3271,0.450754,2.70452,419,0,0.450754,-99996
"Zn Sys 3 Break Room","Building Story 1","Conditioned","Forced","BaseAirSys7or3b-3","BaseAirSys7or3b-3",1414.3,1,53.5,53.5,37.8,"Maximum","Fixed",15.6268,0.417896,2.50737,591,15.6268,0.417896,2.50737,591,0,0.417896,-99996
"Zn Sys 4 Open Office","Building Story 1","Conditioned","Forced","BaseAirSys7or3b-4","BaseAirSys7or3b-4",5962.3,1,10.8,10.8,32.1,"Maximum","Fixed",28.9026,0.155708,0.934245,928,28.9026,0.155708,0.934245,928,0,0.155708,-99996
"Zn Sys 5 Conference-Office","Building Story 1","Conditioned","Forced","BaseAirSys7or3b-5","BaseAirSys7or3b-5",578.3,1,19.6,19.6,5.7,"Maximum","Fixed",21.3319,0.209266,1.2556,121,21.3319,0.209266,1.2556,121,0,0.209266,-99996
"Zn Sys 6 Conference-Support","Building Story 1","Conditioned","Forced","BaseAirSys7or3b-6","BaseAirSys7or3b-6",1359.2,1,66.0,66.0,44.9,"Maximum","Fixed",15,0.495,2.97,673,15,0.495,2.97,673,0,0.495,-99996
"Zn Sys 7 Restrooms","Building Story 1","Unconditioned","None","NONE","NONE",245.5,1,10.0,10.0,1.2,"NoVentilation","UNDEFINED",0,0,0,0,0,0,0,0,0,0,-99996,250,"NONE","DecoupledFromSystem","ConstantFlowConstantSpeedFan","On"
