"",001
"Tue 02-Jun-26  10: am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",21.4414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4414,0,0,0
"MtrElec",1,1,2,"",25.0908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0908,0,0,0
"MtrElec",1,1,3,"",26.9186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.9186,0,0,0
"MtrElec",1,1,4,"",28.5351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5351,0,0,0
"MtrElec",1,1,5,"",31.1502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.1502,0,0,0
"MtrElec",1,1,6,"",31.1843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.1843,0,0,0
"MtrElec",1,1,7,"",31.3283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.3283,0,0,0
"MtrElec",1,1,8,"",15.2833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.7729,0,0,-16.4896
"MtrElec",1,1,9,"",-23.8265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.2231,0,0,-50.0496
"MtrElec",1,1,10,"",-62.6366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1832,0,0,-76.8198
"MtrElec",1,1,11,"",-27.5841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.96397,0,58.0002,-93.5482
"MtrElec",1,1,12,"",-33.9718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.82909,0,58.0002,-99.8011
"MtrElec",1,1,13,"",-31.2279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.82373,0,58.0002,-97.0518
"MtrElec",1,1,14,"",-18.1236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.81667,0,33.5791,-59.5194
"MtrElec",1,1,15,"",-40.9784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.82294,0,0,-48.8014
"MtrElec",1,1,16,"",-22.0215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.83195,0,0,-29.8534
"MtrElec",1,1,17,"",4.65529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.28212,0,0,-3.62683
"MtrElec",1,1,18,"",8.45897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.45897,0,0,0
"MtrElec",1,1,19,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.79728,0,-8.79728,0
"MtrElec",1,1,20,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.81222,0,-9.81222,0
"MtrElec",1,1,21,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.80096,0,-9.80096,0
