; Tables for Std model AutoHardSize capacity look-up rules
TABLE EX05a_NR_SmOff_DOAS-HRV-VRF_CZ0925TrmlUnit
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd
;,,,,,(cfm),(cfm),( cfm)
,"BaseVAVNoReheatTrmlUnit","Uncontrolled","BaseAirSys7or3b","Zn Sys 1 Reception",1171.154,-99996.000,-99996.000,""
,"BaseVAVNoReheatTrmlUnit-2","Uncontrolled","BaseAirSys7or3b-2","Zn Sys 2 Conference",1373.454,-99996.000,-99996.000,""
,"BaseVAVNoReheatTrmlUnit-3","Uncontrolled","BaseAirSys7or3b-3","Zn Sys 3 Break Room",1563.972,-99996.000,-99996.000,""
,"BaseVAVNoReheatTrmlUnit-4","VAVNoReheatBox","BaseAirSys7or3b-4","Zn Sys 4 Open Office",5379.414,2689.707,-99996.000,""
,"BaseVAVNoReheatTrmlUnit-5","Uncontrolled","BaseAirSys7or3b-5","Zn Sys 5 Conference-Office",637.507,-99996.000,-99996.000,""
,"BaseVAVNoReheatTrmlUnit-6","Uncontrolled","BaseAirSys7or3b-6","Zn Sys 6 Conference-Support",1649.731,-99996.000,-99996.000,""
,"BaseUnctrl TrmlUnit","Uncontrolled","BaseAirSys11","Zn Sys 8 IT and Elec",1010.513,-99996.000,-99996.000,""
,"BaseVAVNoReheatTrmlUnit-7","Uncontrolled","BaseAirSys7or3b-7","Zn Sys 9 Library",2020.653,-99996.000,-99996.000,""
ENDTABLE
TABLE EX05a_NR_SmOff_DOAS-HRV-VRF_CZ0925CoilClg
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages
;,,,,,(Btu/hr),(Btu/hr),( gpm),
,"BaseSys7or3b CoilClg","DirectExpansion","BaseAirSys7or3b","n/a",43899.928,45801.260,-99996.00000,14.000,11.407,1
,"BaseSys7or3b CoilClg-2","DirectExpansion","BaseAirSys7or3b-2","n/a",47500.660,49557.943,-99996.00000,14.000,11.407,1
,"BaseSys7or3b CoilClg-3","DirectExpansion","BaseAirSys7or3b-3","n/a",48614.428,50719.949,-99996.00000,14.000,11.407,1
,"BaseSys7or3b CoilClg-4","DirectExpansion","BaseAirSys7or3b-4","n/a",174635.066,182198.616,-99996.00000,-99996.000,10.600,2
,"BaseSys7or3b CoilClg-5","DirectExpansion","BaseAirSys7or3b-5","n/a",19976.254,20841.438,-99996.00000,14.000,11.407,1
,"BaseSys7or3b CoilClg-6","DirectExpansion","BaseAirSys7or3b-6","n/a",54075.919,56417.980,-99996.00000,14.000,11.407,1
,"BaseSys11 CoilClg","DirectExpansion","BaseAirSys11","n/a",27239.129,29238.894,-99996.00000,-99996.000,-99996.000,1
,"BaseSys7or3b CoilClg-7","DirectExpansion","BaseAirSys7or3b-7","n/a",59995.691,62594.141,-99996.00000,14.000,11.407,1
ENDTABLE
TABLE EX05a_NR_SmOff_DOAS-HRV-VRF_CZ0925CoilHtg
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,
;,,,,,(Btu/hr),(Btu/hr),( gpm),
,"BaseSys7or3b CoilHtg","HeatPump","BaseAirSys7or3b","n/a",47702.593,45801.260,0.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-2","HeatPump","BaseAirSys7or3b-2","n/a",51615.225,49557.943,0.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-3","HeatPump","BaseAirSys7or3b-3","n/a",52825.469,50719.949,0.00000,-99996.000,-99996.000
