AirSystems
,,Fan Capacity,,,,Fan Pwr (Design),,,,,Fan Pwr Ratio,,,,Fan Pwr Adj
System Name,Type,Supply Fan Capacity,Return Fan Capacity,Relief Fan Capacity,Exhaust Fan Capacity,Supply Fan Pwr,Return Fan Pwr,Relief Fan Pwr,Exhaust Fan Pwr,Total System Fan Pwr,Supply Fan Pwr Ratio,Return Fan Pwr Ratio,Relief Fan Pwr Ratio,Exhaust Fan Pwr Ratio,Total Exhaust Fan Pwr Adj,Total NonExhaust Fan Pwr Adj,Total System Fan Pwr Adj,Fully Ducted Exhaust Pressure Drop Adj,Exhaust Filter Pressure Drop Adj,Biosafety Cabinet Pressure Drop Adj,Fully Ducted Return Pressure Drop Adj,MERV16 Filter Pressure Drop Adj,Air Cleaner Pressure Drop Adj,Fully Ducted Exhaust Design Flow,Exhaust Filter Design Flow,Biosafety Design Flow,Fully Ducted Return Design Flow,MERV16 Filter Design Flow,Air Cleaner Design Flow
,,(cfm),(cfm),(cfm),(cfm),(kW),(kW),(kW),(kW),(kW),(frac),(frac),(frac),(frac),(kW),(kW),(kW),(inH2O),(inH2O),(inH2O),(inH2O),(inH2O),(inH2O),(cfm),(cfm),(cfm),(cfm),(cfm),(cfm)
"DX-DOASHRV - Sys 1","DOASVAV",3354.0,3354.0,0.0,0.0,2.049,1.308,0.000,0.000,2.583,0.610,0.000,0.000,0.390,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"CoreZnPSZ AirSys 8","SZAC",1026.7,0.0,0.0,0.0,0.359,0.000,0.000,0.000,0.359,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000

ZoneSystems
,,Fan Capacity,,,,Fan Pwr (Design),,,,,Fan Pwr Ratio,,,,Fan Pwr Adj
System Name,Type,Supply Fan Capacity,Return Fan Capacity,Relief Fan Capacity,Exhaust Fan Capacity,Supply Fan Pwr,Return Fan Pwr,Relief Fan Pwr,Exhaust Fan Pwr,Total System Fan Pwr,Supply Fan Pwr Ratio,Return Fan Pwr Ratio,Relief Fan Pwr Ratio,Exhaust Fan Pwr Ratio,Total Exhaust Fan Pwr Adj,Total NonExhaust Fan Pwr Adj,Total System Fan Pwr Adj,Fully Ducted Exhaust Pressure Drop Adj,Exhaust Filter Pressure Drop Adj,Biosafety Cabinet Pressure Drop Adj,Fully Ducted Return Pressure Drop Adj,MERV16 Filter Pressure Drop Adj,Air Cleaner Pressure Drop Adj,Fully Ducted Exhaust Design Flow,Exhaust Filter Design Flow,Biosafety Design Flow,Fully Ducted Return Design Flow,MERV16 Filter Design Flow,Air Cleaner Design Flow
,,(cfm),(cfm),(cfm),(cfm),(kW),(kW),(kW),(kW),(kW),(frac),(frac),(frac),(frac),(kW),(kW),(kW),(inH2O),(inH2O),(inH2O),(inH2O),(inH2O),(inH2O),(cfm),(cfm),(cfm),(cfm),(cfm),(cfm)
"CoreZn VRF Terminal 1","VRF",1013.0,0,0,0.0,0.621,0,0,0.000,0.355,1.000,0,0,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"CoreZn VRF Terminal 2","VRF",938.0,0,0,0.0,0.621,0,0,0.000,0.328,1.000,0,0,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"CoreZn VRF Terminal 3","VRF",1119.0,0,0,0.0,0.392,0,0,0.000,0.392,1.000,0,0,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"CoreZn VRF Terminal 4","VRF",4263.0,0,0,0.0,2.374,0,0,0.000,1.492,1.000,0,0,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"CoreZn VRF Terminal 5","VRF",423.0,0,0,0.0,0.207,0,0,0.000,0.148,1.000,0,0,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"CoreZn VRF Terminal 6","VRF",1152.0,0,0,0.0,0.403,0,0,0.000,0.403,1.000,0,0,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"CoreZn VRF Terminal 7","VRF",1560.0,0,0,0.0,0.819,0,0,0.000,0.546,1.000,0,0,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"ZoneSystem - Restrooms","Exhaust",0.0,0,0,250.0,0.000,0,0,0.087,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000

Thermal Zone
,,,,,,Fan Capacity,,,Fan Flow Ratio,,,Fan Pwr,,,,,Fan Pwr Adj
Name,Pri HVAC Sys,Vent Sys,Exhaust Sys,Floor Area,Multiplier,Pri. System Flow,Ventilation System Flow,Exhaust Flow,Zone Pri-Air-Flow-to-Sys Flow Ratio,Zone Vent-to-Sys-Air Flow Ratio,Zone Exh-to-Sys Flow Ratio,Prop Supply Fan Pwr,Prop Return Fan Pwr,Prop Relief Fan Pwr,Prop Exhaust Fan Pwr,Total Prop Fan Pwr,Total Exhaust Fan Pwr Adj,Total NonExhaust Fan Pwr Adj,Total Fan Pwr Adj,Fully Ducted Exhaust Pwr Adj,Exhaust Filter Fan Pwr Adj,Biosafety Cabinet Fan Pwr Adj,Fully Ducted Return Fan Pwr Adj,MERV16 Fan Pwr Adj,Air Cleaner Fan Pwr Adj,Exhaust Fan Motor BHP
,,,,(ft2),,(cfm),(cfm),(cfm),(frac),(frac),(frac),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW)
"Zn Sys 1 Reception","CoreZn VRF Terminal 1","DX-DOASHRV - Sys 1","DX-DOASHRV - Sys 1",1392.2,1,1013.0,331.9,331.9,1.000,0.099,0.099,0.511,0.000,0.000,0.100,0.610,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Zn Sys 2 Conference","CoreZn VRF Terminal 2","DX-DOASHRV - Sys 1","DX-DOASHRV - Sys 1",928.9,1,938.0,421.1,421.1,1.000,0.126,0.126,0.526,0.000,0.000,0.126,0.653,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Zn Sys 3 Break Room","CoreZn VRF Terminal 3","DX-DOASHRV - Sys 1","DX-DOASHRV - Sys 1",1414.3,1,1119.0,594.5,594.5,1.000,0.177,0.177,0.671,0.000,0.000,0.178,0.849,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Zn Sys 4 Open Office","CoreZn VRF Terminal 4","DX-DOASHRV - Sys 1","DX-DOASHRV - Sys 1",5962.3,1,4263.0,933.8,933.8,1.000,0.278,0.278,1.931,0.000,0.000,0.280,2.211,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Zn Sys 5 Conference-Office","CoreZn VRF Terminal 5","DX-DOASHRV - Sys 1","DX-DOASHRV - Sys 1",578.3,1,423.0,121.7,121.7,1.000,0.036,0.036,0.205,0.000,0.000,0.037,0.242,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Zn Sys 6 Conference-Support","CoreZn VRF Terminal 6","DX-DOASHRV - Sys 1","DX-DOASHRV - Sys 1",1359.2,1,1152.0,676.7,676.7,1.000,0.202,0.202,0.721,0.000,0.000,0.203,0.924,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Zn Sys 7 Restrooms","NONE","NONE","ZoneSystem - Restrooms",245.5,1,0.0,0.0,250.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.087
"Zn Sys 8 IT and Elec","CoreZnPSZ AirSys 8","CoreZnPSZ AirSys 8","NONE",131.9,1,1026.7,1026.7,0.0,1.000,0.000,0.000,0.359,0.000,0.000,0.000,0.359,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Zn Sys 9 Library","CoreZn VRF Terminal 7","DX-DOASHRV - Sys 1","DX-DOASHRV - Sys 1",1818.0,1,1560.0,274.3,274.3,1.000,0.082,0.082,0.675,0.000,0.000,0.082,0.757,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Zn Sys 10 Elec","NONE","NONE","NONE",64.1,1,0.0,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
