19,5,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC 2025.2.0.1 (1395)"
,CompMgr:,,"BEMCmpMgr 2025.2.0.1 (625)"
,OpenStudio:,,"3.10.0+e80a80c812"
,EnergyPlus:,,"25.1.0-1c11a3d85f"
,CSE:,,"CSE 0.927.0 EXE"
,Ruleset:,,"CA 2025 Nonresidential, Vers. 1.0 (T24_2025.bin)"
Run Title:,,,""
Run Date/Time:,,,"2026-06-02 10:31:33"
NonRes Cond. Area:,,,13585
Residential Cond. Area:,,,0
Model:,,,"Proposed"
Model File:,,,"C:\GitHub\P-ComplexHVAC\P-SCE-Complex_HVAC\Final Data Set\EX05a_NR_SmOff_DOAS-VRF\EX05a_NR_SmOff_DOAS-HRV-VRF_CZ09\EX05a_NR_SmOff_DOAS-HRV-VRF_CZ09.cibd25x"

,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,LSC Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh)
1,1,1, 01/01 01,0.459923,0.184079,0.435312,0,0,0,0.407313,1.47283,0,0.00926056,0,1.48663,2.96871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3628,626.966,894.518,8.29512,89.9626,100,0.000438895,0.0054633,0.006288,0.00127989,0,0,
1,1,2, 01/01 02,0.864267,0.177508,0.549707,0,0,0,0.407313,1.47283,0,0.00926056,0,1.9988,3.48088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3529,626.966,894.518,7.19566,89.9626,100,0.000380722,0.0054633,0.006288,0.000390829,0,0,
1,1,3, 01/01 03,1.21651,0.172189,0.651631,0,0,0,0.407313,1.47283,0,0.00926056,0,2.44764,3.92973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74636,626.966,894.518,4.74042,89.9626,100,0.000250816,0.0054633,0.006288,0,0,0,
1,1,4, 01/01 04,1.46553,0.167632,0.724333,0,0,0,0.407313,1.47283,0,0.00926056,0,2.76481,4.2469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53065,626.966,894.518,4.31459,89.9626,100,0.000228285,0.0054633,0.006288,0,0,0,
1,1,5, 01/01 05,1.52186,0.164932,0.741457,0,0,0,0.407313,1.47283,0,0.00926056,0,2.83556,4.31765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49252,626.966,894.518,4.23227,89.9626,100,0.000223929,0.0054633,0.006288,0,0,0,
1,1,6, 01/01 06,1.80179,0.161769,0.810462,0,0,0,0.41061,1.47283,0,0.00926056,0,3.18463,4.66672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.55552,626.966,894.518,4.35364,89.9626,100,0.000230351,0.0054633,0.006288,0,0,0,
1,1,7, 01/01 07,1.95864,0.158993,0.857594,0,0,0,0.41061,1.47283,0,0.00926056,0,3.38584,4.86792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51072,626.966,894.518,5.54605,89.9626,100,0.000293441,0.0054633,0.006288,0.000150648,0,0,
1,1,8, 01/01 08,1.87745,0.160016,0.826483,0,0,0,0.333022,1.47283,0,0.00926056,0,3.19697,4.67906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.54374,626.966,894.518,4.35696,89.9626,100,0.000230527,0.0054633,0.006288,0,-4.83444,0,
1,1,9, 01/01 09,1.22329,0.167611,0.626988,0,0,0,0.253136,1.47283,0,0.00926056,0,2.27102,3.75311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68693,626.966,894.518,2.68137,89.9626,100,0.000141871,0.0054633,0.006288,0,-14.6736,0,
1,1,10, 01/01 10,0.375502,0.163452,0.412379,0,0,0,0.250019,1.47283,0,0.00926056,0,1.20135,2.68344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68395,626.966,894.518,2.3791,89.9626,100,0.000125878,0.0054633,0.006288,0,-22.5221,0,
