PV Array & Battery Report
,"PV and Battery required based on Prescriptive tables:  46.1 kWdc PV  /  Battery Energy 68.0 kWh and Power 17.00 kW (Time of Use control)"
,"Standard Design PV Capacity: 46.1 kWdc  /  Battery Capacity: 68.0 kWh  (power 17.00 kW, Time of Use control)"
,"User-specified PV and Battery:  46.1 kWdc PV  /  68.0 kWh Battery  (17.0/17.0 charge/discharge rate (kW), Time of Use control)"

Prescriptive PV/Battery Requirements:
Space/ResOtherZn/ResZn,,,,,,NonRes & HiRiseRes Multiplied Areas by PVBattery Bldg Type,,,,,,,,,,,,,LowRiseRes,,Prescriptive Capacities:
Name,Conditioning Type,Space Function,PV/Batt Bldg Type,Floor Area,Multiplier,"Events, Exhibits",Library,Hotel/Motel,"Office, Financial, Unleased, Med Office/Clinic",Restaurants,"Retail, Grocery",School,Warehouse,Religious Worship,"Sports, Recreation",Highrise Multifamily,none,# Res Dwellings,MultArea,,PV,Batt Energy,Batt Power
,,,,(ft2),,(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),,(ft2),,(kWdc),(kWh),(kW)
"Zn 101 Reception Space","DirectlyConditioned","Lobby, Main Entry","Office, Financial, Unleased, Med Office/Clinic",351.146,1,,,,351.146,,,,,,,,,,,,1.09909,1.94424,0.48606,
"Zn 102 Mail Space","DirectlyConditioned","Storage, General","Office, Financial, Unleased, Med Office/Clinic",311.019,1,,,,311.019,,,,,,,,,,,,0.973489,1.72206,0.430516,
"Zn 103 Copy_Print Space","DirectlyConditioned","Storage, General","Office, Financial, Unleased, Med Office/Clinic",292.306,1,,,,292.306,,,,,,,,,,,,0.914916,1.61845,0.404612,
"Zn 104 Corridor Space","DirectlyConditioned","Corridor Area","Office, Financial, Unleased, Med Office/Clinic",437.712,1,,,,437.712,,,,,,,,,,,,1.37004,2.42354,0.605885,
"Zn 105 Phone Space","DirectlyConditioned","Electrical, Mechanical, Telephone Rooms","Office, Financial, Unleased, Med Office/Clinic",119.127,1,,,,119.127,,,,,,,,,,,,0.372868,0.659588,0.164897,
"Zn 106 Conference Space","DirectlyConditioned","Convention, Conference, Multipurpose and Meeting Area","Events, Exhibits",488.62,1,488.62,,,,,,,,,,,,,,,2.26231,1.21384,0.303459,
"Zn 107 Storage Space","DirectlyConditioned","Storage, General","Office, Financial, Unleased, Med Office/Clinic",316.083,1,,,,316.083,,,,,,,,,,,,0.98934,1.7501,0.437526,
"Zn 108 Break Room Space","DirectlyConditioned","Lounge, Breakroom, or Waiting Area","Office, Financial, Unleased, Med Office/Clinic",598.434,1,,,,598.434,,,,,,,,,,,,1.8731,3.31344,0.828359,
"Zn 109 Dining Space","DirectlyConditioned","Lounge, Breakroom, or Waiting Area","Office, Financial, Unleased, Med Office/Clinic",499.782,1,,,,499.782,,,,,,,,,,,,1.56432,2.76721,0.691803,
"Zn 111 Open Office Space","DirectlyConditioned","Office Area (>250 square feet)","Office, Financial, Unleased, Med Office/Clinic",5712.79,1,,,,5712.79,,,,,,,,,,,,17.881,31.6308,7.9077,
