"",001
"Thu 21-May-26  12:28:30 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",10.1297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1297,0,0,0
"MtrElec",1,1,2,"",11.8772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8772,0,0,0
"MtrElec",1,1,3,"",13.4088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4088,0,0,0
"MtrElec",1,1,4,"",14.491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.491,0,0,0
"MtrElec",1,1,5,"",14.7324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7324,0,0,0
"MtrElec",1,1,6,"",15.9235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9235,0,0,0
"MtrElec",1,1,7,"",16.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.61,0,0,0
"MtrElec",1,1,8,"",-0.534154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9656,0,0,-16.4998
"MtrElec",1,1,9,"",-37.2744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8061,0,0,-50.0806
"MtrElec",1,1,10,"",-67.7111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.15627,0,0,-76.8673
"MtrElec",1,1,11,"",-27.5288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.07091,0,58.0064,-93.6061
"MtrElec",1,1,12,"",-34.1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.73955,0,58.0064,-99.8629
"MtrElec",1,1,13,"",-31.3539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75153,0,58.0064,-97.1119
"MtrElec",1,1,14,"",-18.2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77173,0,33.5827,-59.5562
"MtrElec",1,1,15,"",-41.0382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.79333,0,0,-48.8316
"MtrElec",1,1,16,"",-22.0661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.80578,0,0,-29.8719
"MtrElec",1,1,17,"",4.53922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.16829,0,0,-3.62907
"MtrElec",1,1,18,"",8.31416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.31416,0,0,0
"MtrElec",1,1,19,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42283,0,-8.42283,0
"MtrElec",1,1,20,"",-0.0000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.79684,0,-8.79684,0
"MtrElec",1,1,21,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.77039,0,-8.77039,0
"MtrElec",1,1,22,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.72505,0,-8.72505,0
"MtrElec",1,1,23,"",-0.0000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.07581,0,-9.07582,0
"MtrElec",1,1,24,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1966,0,-9.1966,0
"MtrElec",1,2,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.81625,0,-9.81625,0
"MtrElec",1,2,2,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6648,0,-10.6648,0
"MtrElec",1,2,3,"",-0.0000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7032,0,-11.7032,0
"MtrElec",1,2,4,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7751,0,-12.7751,0
