"",001
"Thu 11-Jun-26   2:4 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",48.3712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.3712,0,0,0
"MtrElec",1,1,2,"",48.5445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.5445,0,0,0
"MtrElec",1,1,3,"",47.5349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.5349,0,0,0
"MtrElec",1,1,4,"",50.9091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.9091,0,0,0
"MtrElec",1,1,5,"",50.5932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.5932,0,0,0
"MtrElec",1,1,6,"",52.1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.1993,0,0,0
"MtrElec",1,1,7,"",54.6632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.6632,0,0,0
"MtrElec",1,1,8,"",73.665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.8672,0,0,-23.2023
"MtrElec",1,1,9,"",28.2146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.6388,0,0,-70.4242
"MtrElec",1,1,10,"",71.7999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.892,0,0,-108.092
"MtrElec",1,1,11,"",47.7972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.428,0,0,-131.631
"MtrElec",1,1,12,"",43.8993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.328,0,0,-140.429
"MtrElec",1,1,13,"",51.1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.679,0,0,-136.56
"MtrElec",1,1,14,"",20.6694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.418,0,0,-83.7489
"MtrElec",1,1,15,"",33.5183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.186,0,0,-68.6678
"MtrElec",1,1,16,"",56.6539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.6603,0,0,-42.0064
"MtrElec",1,1,17,"",90.4844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.5877,0,0,-5.10326
"MtrElec",1,1,18,"",87.4907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.4907,0,0,0
"MtrElec",1,1,19,"",44.6885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.6885,0,0,0
"MtrElec",1,1,20,"",46.1253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.1253,0,0,0
"MtrElec",1,1,21,"",46.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.082,0,0,0
"MtrElec",1,1,22,"",44.1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.1132,0,0,0
"MtrElec",1,1,23,"",46.2611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.2611,0,0,0
"MtrElec",1,1,24,"",48.2071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.2071,0,0,0
"MtrElec",1,2,1,"",62.6223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.6223,0,0,0
"MtrElec",1,2,2,"",63.3126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.3126,0,0,0
"MtrElec",1,2,3,"",62.7032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.7032,0,0,0
"MtrElec",1,2,4,"",64.7198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.7198,0,0,0
"MtrElec",1,2,5,"",61.1694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.1694,0,0,0
"MtrElec",1,2,6,"",63.0611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.0611,0,0,0
"MtrElec",1,2,7,"",170.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.62,0,0,0
"MtrElec",1,2,8,"",219.624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.113,0,0,-0.488657
"MtrElec",1,2,9,"",277.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.979,0,0,-11.5689
"MtrElec",1,2,10,"",581.791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594.067,0,0,-12.2758
"MtrElec",1,2,11,"",580.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596.978,0,0,-16.403
"MtrElec",1,2,12,"",367.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387.254,0,0,-20.0416
"MtrElec",1,2,13,"",361.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382.426,0,0,-21.319
"MtrElec",1,2,14,"",572.929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583.524,0,0,-10.5944
"MtrElec",1,2,15,"",585.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597.302,0,0,-11.8667
"MtrElec",1,2,16,"",587.303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592.075,0,0,-4.77176
"MtrElec",1,2,17,"",569.636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569.947,0,0,-0.310642
"MtrElec",1,2,18,"",567.603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567.603,0,0,0
"MtrElec",1,2,19,"",207.269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.269,0,0,0
"MtrElec",1,2,20,"",199.269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.269,0,0,0
"MtrElec",1,2,21,"",153.549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.549,0,0,0
"MtrElec",1,2,22,"",152.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.608,0,0,0
"MtrElec",1,2,23,"",59.7629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.7629,0,0,0
"MtrElec",1,2,24,"",59.7425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.7425,0,0,0
"MtrElec",1,3,1,"",46.0895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0895,0,0,0
"MtrElec",1,3,2,"",46.0745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0745,0,0,0
"MtrElec",1,3,3,"",46.0632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0632,0,0,0
"MtrElec",1,3,4,"",46.0564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0564,0,0,0
"MtrElec",1,3,5,"",46.0502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0502,0,0,0
"MtrElec",1,3,6,"",47.2643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2643,0,0,0
"MtrElec",1,3,7,"",46.0717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0717,0,0,0
"MtrElec",1,3,8,"",193.807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.807,0,0,0
"MtrElec",1,3,9,"",181.979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.817,0,0,-4.83818
"MtrElec",1,3,10,"",251.503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264.27,0,0,-12.7666
"MtrElec",1,3,11,"",218.338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256.596,0,0,-38.2585
"MtrElec",1,3,12,"",197.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.408,0,0,-52.4025
"MtrElec",1,3,13,"",181.509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.861,0,0,-60.3519
"MtrElec",1,3,14,"",6.46075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.8272,0,0,-85.3664
"MtrElec",1,3,15,"",19.8857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.5585,0,0,-73.6728
"MtrElec",1,3,16,"",71.7345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.8172,0,0,-23.0827
"MtrElec",1,3,17,"",91.7845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.3556,0,0,-2.57107
"MtrElec",1,3,18,"",89.5608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.5608,0,0,0
"MtrElec",1,3,19,"",45.7554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.7554,0,0,0
"MtrElec",1,3,20,"",44.3019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.3019,0,0,0
"MtrElec",1,3,21,"",44.6796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.6796,0,0,0
"MtrElec",1,3,22,"",46.1229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.1229,0,0,0
"MtrElec",1,3,23,"",46.1082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.1082,0,0,0
"MtrElec",1,3,24,"",46.0915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0915,0,0,0
"MtrElec",1,4,1,"",46.0571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0571,0,0,0
"MtrElec",1,4,2,"",46.0492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0492,0,0,0
"MtrElec",1,4,3,"",47.9658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.9658,0,0,0
"MtrElec",1,4,4,"",49.6374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.6374,0,0,0
"MtrElec",1,4,5,"",51.8632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.8632,0,0,0
"MtrElec",1,4,6,"",51.5469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.5469,0,0,0
"MtrElec",1,4,7,"",52.1419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.1419,0,0,0
"MtrElec",1,4,8,"",66.7011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.8196,0,0,-24.1185
"MtrElec",1,4,9,"",24.7404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.9947,0,0,-70.2543
"MtrElec",1,4,10,"",72.2464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.219,0,0,-105.972
