"",001
"Thu 11-Jun-26   4:0 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",92.3417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.3417,0,0,0
"MtrElec",1,1,2,"",95.1653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.1653,0,0,0
"MtrElec",1,1,3,"",95.661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.661,0,0,0
"MtrElec",1,1,4,"",97.7964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.7964,0,0,0
"MtrElec",1,1,5,"",98.6883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.6883,0,0,0
"MtrElec",1,1,6,"",102.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.139,0,0,0
"MtrElec",1,1,7,"",105.779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.779,0,0,0
"MtrElec",1,1,8,"",120.743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.946,0,0,-23.2035
"MtrElec",1,1,9,"",70.686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.114,0,0,-70.4279
"MtrElec",1,1,10,"",86.3648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.463,0,0,-108.098
"MtrElec",1,1,11,"",52.2974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.935,0,0,-131.637
"MtrElec",1,1,12,"",41.5984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.035,0,0,-140.436
"MtrElec",1,1,13,"",40.9555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.523,0,0,-136.568
"MtrElec",1,1,14,"",14.9166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.6699,0,0,-83.7533
"MtrElec",1,1,15,"",31.8516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.523,0,0,-68.6714
"MtrElec",1,1,16,"",56.7012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.7098,0,0,-42.0086
"MtrElec",1,1,17,"",94.0331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.1367,0,0,-5.10353
"MtrElec",1,1,18,"",99.8437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.8437,0,0,0
"MtrElec",1,1,19,"",66.1491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.1491,0,0,0
"MtrElec",1,1,20,"",74.5836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.5836,0,0,0
"MtrElec",1,1,21,"",76.3913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.3913,0,0,0
"MtrElec",1,1,22,"",73.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.057,0,0,0
"MtrElec",1,1,23,"",80.5627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.5627,0,0,0
"MtrElec",1,1,24,"",88.1475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.1475,0,0,0
"MtrElec",1,2,1,"",98.1065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.1065,0,0,0
"MtrElec",1,2,2,"",94.8073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.8073,0,0,0
"MtrElec",1,2,3,"",95.9695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.9695,0,0,0
"MtrElec",1,2,4,"",102.603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.603,0,0,0
"MtrElec",1,2,5,"",98.8521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.8521,0,0,0
"MtrElec",1,2,6,"",93.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.163,0,0,0
"MtrElec",1,2,7,"",166.648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.648,0,0,0
"MtrElec",1,2,8,"",201.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.938,0,0,-0.488683
"MtrElec",1,2,9,"",249.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260.575,0,0,-11.5695
"MtrElec",1,2,10,"",521.532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533.809,0,0,-12.2765
"MtrElec",1,2,11,"",520.496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536.9,0,0,-16.4038
