AirSystems
,,Fan Capacity,,,,Fan Pwr (Design),,,,,Fan Pwr Ratio,,,,Fan Pwr Adj
System Name,Type,Supply Fan Capacity,Return Fan Capacity,Relief Fan Capacity,Exhaust Fan Capacity,Supply Fan Pwr,Return Fan Pwr,Relief Fan Pwr,Exhaust Fan Pwr,Total System Fan Pwr,Supply Fan Pwr Ratio,Return Fan Pwr Ratio,Relief Fan Pwr Ratio,Exhaust Fan Pwr Ratio,Total Exhaust Fan Pwr Adj,Total NonExhaust Fan Pwr Adj,Total System Fan Pwr Adj,Fully Ducted Exhaust Pressure Drop Adj,Exhaust Filter Pressure Drop Adj,Biosafety Cabinet Pressure Drop Adj,Fully Ducted Return Pressure Drop Adj,MERV16 Filter Pressure Drop Adj,Air Cleaner Pressure Drop Adj,Fully Ducted Exhaust Design Flow,Exhaust Filter Design Flow,Biosafety Design Flow,Fully Ducted Return Design Flow,MERV16 Filter Design Flow,Air Cleaner Design Flow
,,(cfm),(cfm),(cfm),(cfm),(kW),(kW),(kW),(kW),(kW),(frac),(frac),(frac),(frac),(kW),(kW),(kW),(inH2O),(inH2O),(inH2O),(inH2O),(inH2O),(inH2O),(cfm),(cfm),(cfm),(cfm),(cfm),(cfm)
"BaseAirSys5","PVAV",7269.4,0.0,0.0,0.0,8.097,0.000,0.000,0.000,9.487,0.582,0.000,0.000,0.418,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys5-2","PVAV",7047.8,0.0,0.0,0.0,7.762,0.000,0.000,0.000,6.961,0.582,0.000,0.000,0.418,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b","SZHP",1590.4,0.0,0.0,0.0,1.107,0.000,0.000,0.000,1.053,0.938,0.000,0.000,0.062,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-2","SZHP",1823.3,0.0,0.0,0.0,1.270,0.000,0.000,0.000,0.982,0.939,0.000,0.000,0.061,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-3","SZHP",509.2,0.0,0.0,0.0,0.350,0.000,0.000,0.000,0.336,0.926,0.000,0.000,0.074,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-4","SZHP",1656.2,0.0,0.0,0.0,1.154,0.000,0.000,0.000,0.655,0.939,0.000,0.000,0.061,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-5","SZHP",1237.1,0.0,0.0,0.0,0.869,0.000,0.000,0.000,0.807,0.947,0.000,0.000,0.053,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-6","SZHP",885.4,0.0,0.0,0.0,0.609,0.000,0.000,0.000,0.340,0.926,0.000,0.000,0.074,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-7","SZHP",2120.1,0.0,0.0,0.0,1.525,0.000,0.000,0.000,0.976,0.969,0.000,0.000,0.031,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-8","SZHP",905.8,0.0,0.0,0.0,0.654,0.000,0.000,0.000,0.657,0.973,0.000,0.000,0.027,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-9","SZHP",1340.3,0.0,0.0,0.0,0.970,0.000,0.000,0.000,1.401,0.976,0.000,0.000,0.024,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-10","SZHP",278.8,0.0,0.0,0.0,0.202,0.000,0.000,0.000,0.302,0.976,0.000,0.000,0.024,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-11","SZHP",500.3,0.0,0.0,0.0,0.362,0.000,0.000,0.000,0.435,0.976,0.000,0.000,0.024,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-12","SZHP",1078.3,0.0,0.0,0.0,0.781,0.000,0.000,0.000,1.178,0.976,0.000,0.000,0.024,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-13","SZHP",1951.1,0.0,0.0,0.0,1.412,0.000,0.000,0.000,0.554,0.976,0.000,0.000,0.024,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-14","SZHP",2048.9,0.0,0.0,0.0,1.479,0.000,0.000,0.000,1.497,0.973,0.000,0.000,0.027,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-15","SZHP",101.6,0.0,0.0,0.0,0.074,0.000,0.000,0.000,0.040,0.976,0.000,0.000,0.024,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys11","SZAC",738.4,0.0,0.0,0.0,0.428,0.000,0.000,0.000,0.077,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys11-2","SZAC",766.7,0.0,0.0,0.0,0.445,0.000,0.000,0.000,0.077,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-16","SZHP",755.8,0.0,0.0,0.0,0.527,0.000,0.000,0.000,0.392,0.940,0.000,0.000,0.060,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-17","SZHP",599.9,0.0,0.0,0.0,0.418,0.000,0.000,0.000,0.303,0.940,0.000,0.000,0.060,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-18","SZHP",488.6,0.0,0.0,0.0,0.354,0.000,0.000,0.000,0.369,0.976,0.000,0.000,0.024,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-19","SZHP",1210.1,0.0,0.0,0.0,0.852,0.000,0.000,0.000,0.711,0.949,0.000,0.000,0.051,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000

Thermal Zone
,,,,,,Fan Capacity,,,Fan Flow Ratio,,,Fan Pwr,,,,,Fan Pwr Adj
Name,Pri HVAC Sys,Vent Sys,Exhaust Sys,Floor Area,Multiplier,Pri. System Flow,Ventilation System Flow,Exhaust Flow,Zone Pri-Air-Flow-to-Sys Flow Ratio,Zone Vent-to-Sys-Air Flow Ratio,Zone Exh-to-Sys Flow Ratio,Prop Supply Fan Pwr,Prop Return Fan Pwr,Prop Relief Fan Pwr,Prop Exhaust Fan Pwr,Total Prop Fan Pwr,Total Exhaust Fan Pwr Adj,Total NonExhaust Fan Pwr Adj,Total Fan Pwr Adj,Fully Ducted Exhaust Pwr Adj,Exhaust Filter Fan Pwr Adj,Biosafety Cabinet Fan Pwr Adj,Fully Ducted Return Fan Pwr Adj,MERV16 Fan Pwr Adj,Air Cleaner Fan Pwr Adj,Exhaust Fan Motor BHP
,,,,(ft2),,(cfm),(cfm),(cfm),(frac),(frac),(frac),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW)
"L2_ZN02_Core Classroom","BaseAirSys7or3b","BaseAirSys7or3b","NONE",1255.3,1,1590.4,1590.4,218.7,1.000,0.041,0.041,0.987,0.000,0.000,0.066,1.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.074
"L2_ZN07_Huddle Area","BaseAirSys7or3b-2","BaseAirSys7or3b-2","NONE",1184.3,1,1823.3,1823.3,200.0,1.000,0.038,0.038,0.922,0.000,0.000,0.060,0.982,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.083
"L2_ZN04_Huddle Offices","BaseAirSys7or3b-3","BaseAirSys7or3b-3","NONE",354.8,1,509.2,509.2,83.4,1.000,0.016,0.016,0.311,0.000,0.000,0.025,0.336,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.028
"L2_ZN07 North Conf","BaseAirSys7or3b-4","BaseAirSys7or3b-4","NONE",790.5,1,1656.2,1656.2,133.4,1.000,0.025,0.025,0.615,0.000,0.000,0.040,0.655,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.075
"L2_ZN01_Core Conf Room","BaseAirSys7or3b-5","BaseAirSys7or3b-5","NONE",1045.9,1,1237.1,1237.1,143.3,1.000,0.027,0.027,0.764,0.000,0.000,0.043,0.807,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.049
"L2_ZN06 Corner Conf","BaseAirSys7or3b-6","BaseAirSys7or3b-6","NONE",361.1,1,885.4,885.4,83.4,1.000,0.016,0.016,0.315,0.000,0.000,0.025,0.340,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.048
"L1_ZN09 N Conf Room","BaseAirSys7or3b-7","BaseAirSys7or3b-7","NONE",1517.0,1,2120.1,2120.1,100.0,1.000,0.019,0.019,0.946,0.000,0.000,0.030,0.976,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.048
"L2_ZN13 Core Conf Room","BaseAirSys7or3b-8","BaseAirSys7or3b-8","NONE",1045.9,1,905.8,905.8,59.9,1.000,0.011,0.011,0.639,0.000,0.000,0.018,0.657,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.018
"L1_ZN08 NE Corridor","BaseAirSys7or3b-9","BaseAirSys7or3b-9","NONE",2278.8,1,1340.3,1340.3,114.0,1.000,0.022,0.022,1.367,0.000,0.000,0.034,1.401,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.024
"L1_ZN12 SE Corridor Corner","BaseAirSys7or3b-10","BaseAirSys7or3b-10","NONE",490.9,1,278.8,278.8,24.6,1.000,0.005,0.005,0.295,0.000,0.000,0.007,0.302,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005
"L1_ZN04_South Corridor","BaseAirSys7or3b-11","BaseAirSys7or3b-11","NONE",707.4,1,500.3,500.3,35.4,1.000,0.007,0.007,0.424,0.000,0.000,0.011,0.435,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009
"L1_ZN05_Core Corridor","BaseAirSys7or3b-12","BaseAirSys7or3b-12","NONE",1914.7,1,1078.3,1078.3,95.8,1.000,0.018,0.018,1.149,0.000,0.000,0.029,1.178,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020
"L2_ZN09 NE Corridor","BaseAirSys7or3b-13","BaseAirSys7or3b-13","NONE",900.3,1,1951.1,1951.1,45.0,1.000,0.009,0.009,0.540,0.000,0.000,0.014,0.554,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.035
"L2_ZN08_Recep Corridor","BaseAirSys7or3b-14","BaseAirSys7or3b-14","NONE",2387.9,1,2048.9,2048.9,135.0,1.000,0.025,0.025,1.456,0.000,0.000,0.040,1.497,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.041
"L1_ZN13 Elec Room","BaseAirSys7or3b-15","BaseAirSys7or3b-15","NONE",65.4,1,101.6,101.6,3.3,1.000,0.001,0.001,0.039,0.000,0.000,0.001,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002
"L1_ZN06_IT Room","BaseAirSys11","BaseAirSys11","NONE",105.0,1,738.4,738.4,0.0,1.000,0.000,0.000,0.077,0.000,0.000,0.000,0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"L2_ZN10_IT Room","BaseAirSys11-2","BaseAirSys11-2","NONE",105.0,1,766.7,766.7,0.0,1.000,0.000,0.000,0.077,0.000,0.000,0.000,0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"L2_ZN11_Breakroom","BaseAirSys7or3b-16","BaseAirSys7or3b-16","NONE",477.2,1,755.8,755.8,78.8,1.000,0.015,0.015,0.369,0.000,0.000,0.024,0.392,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.034
"L1_ZN13 Lobby NW","BaseAirSys7or3b-17","BaseAirSys7or3b-17","NONE",368.7,1,599.9,599.9,60.9,1.000,0.011,0.011,0.285,0.000,0.000,0.018,0.303,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.027
"L1_ZN03_South Open Office","BaseAirSys5","BaseAirSys5","NONE",785.8,1,1267.1,1216.3,1021.5,1.000,0.064,0.097,0.923,0.000,0.000,0.664,1.587,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.787
"L1_ZN02 Core_Open Office","BaseAirSys5","BaseAirSys5","NONE",2028.6,1,3172.2,3139.9,2637.1,1.000,0.166,0.249,2.384,0.000,0.000,1.714,4.098,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.031
"L2_ZN03_South Open Office","BaseAirSys5-2","BaseAirSys5-2","NONE",1397.7,1,2735.5,2858.6,1817.0,1.000,0.114,0.172,1.642,0.000,0.000,1.181,2.823,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.434
"L2_ZN05_Core Open Office Cor","BaseAirSys5-2","BaseAirSys5-2","NONE",2048.3,1,4312.2,4189.2,2662.8,1.000,0.168,0.252,2.407,0.000,0.000,1.731,4.138,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.101
"L1_ZN14_Core Open Office","BaseAirSys5","BaseAirSys5","NONE",1286.2,1,1952.3,1990.8,1672.0,1.000,0.105,0.158,1.511,0.000,0.000,1.087,2.598,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.287
"L1_ZN07_Restroom","NONE","NONE","NONE",654.1,1,0.0,0.0,350.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.070
"L2_ZN14 Restroom","NONE","NONE","NONE",811.2,1,0.0,0.0,400.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.080
"L2_ZN12 Storage","BaseAirSys7or3b-18","BaseAirSys7or3b-18","NONE",600.2,1,488.6,488.6,30.0,1.000,0.006,0.006,0.360,0.000,0.000,0.009,0.369,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009
"L1_ZN05_Fitness Center","BaseAirSys7or3b-19","BaseAirSys7or3b-19","NONE",941.5,1,1210.1,1210.1,120.3,1.000,0.023,0.023,0.675,0.000,0.000,0.036,0.711,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.046
"L1_ZN01_SE_Open Office","BaseAirSys5","BaseAirSys5","NONE",595.9,1,877.7,922.3,774.6,1.000,0.049,0.073,0.700,0.000,0.000,0.504,1.204,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.596
