19,5,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC 2025.2.0.1 (1395)"
,CompMgr:,,"BEMCmpMgr 2025.2.0.1 (625)"
,OpenStudio:,,"3.10.0+e80a80c812"
,EnergyPlus:,,"25.1.0-1c11a3d85f"
,CSE:,,"CSE 0.927.0 EXE"
,Ruleset:,,"CA 2025 Nonresidential, Vers. 1.0 (T24_2025.bin)"
Run Title:,,,""
Run Date/Time:,,,"2026-06-11 14:43:00"
NonRes Cond. Area:,,,27040
Residential Cond. Area:,,,0
Model:,,,"Standard"
Model File:,,,"C:\GitHub\P-ComplexHVAC\P-SCE-Complex_HVAC\Final Data Set\EX06_NR_Class-Lab-DOAS-FPFC\EX06_NR_Class-Lab-DOAS-FPFC.cibd25x"

,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,LSC Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh)
1,1,1, 01/01 01,0.576785,0.182847,8.5255,0,0.0133977,0,1.20844,1.56975,2.05188,0.0476204,0,10.507,14.1762,0,0,0,0,0,0,0,0,0,0,0,0,0,134.569,0,0,0,0,0,0,0,0,0,0,134.569,134.569,15.3628,626.966,894.518,8.29512,89.9626,100,0.000438895,0.0054633,0.006288,0.00127989,0,0,
1,1,2, 01/01 02,0.559203,0.175952,8.60005,0,0.0140756,0,1.20844,1.56975,2.05188,0.0476204,0,10.5577,14.227,0,0,0,0,0,0,0,0,0,0,0,0,0,138.948,0,0,0,0,0,0,0,0,0,0,138.948,138.948,11.3529,626.966,894.518,7.19566,89.9626,100,0.000380722,0.0054633,0.006288,0.000390829,0,0,
1,1,3, 01/01 03,0.549584,0.168419,8.32097,0,0.0144385,0,1.20844,1.56975,2.05188,0.0476204,0,10.2619,13.9311,0,0,0,0,0,0,0,0,0,0,0,0,0,139.989,0,0,0,0,0,0,0,0,0,0,139.989,139.989,6.74636,626.966,894.518,4.74042,89.9626,100,0.000250816,0.0054633,0.006288,0,0,0,
1,1,4, 01/01 04,0.556112,0.167809,9.30305,0,0.0153431,0,1.20844,1.56975,2.05188,0.0476204,0,11.2508,14.92,0,0,0,0,0,0,0,0,0,0,0,0,0,143.466,0,0,0,0,0,0,0,0,0,0,143.466,143.466,6.53065,626.966,894.518,4.31459,89.9626,100,0.000228285,0.0054633,0.006288,0,0,0,
1,1,5, 01/01 05,0.576611,0.162952,9.19448,0,0.0156657,0,1.20844,1.56975,2.05188,0.0476204,0,11.1582,14.8274,0,0,0,0,0,0,0,0,0,0,0,0,0,145.001,0,0,0,0,0,0,0,0,0,0,145.001,145.001,6.49252,626.966,894.518,4.23227,89.9626,100,0.000223929,0.0054633,0.006288,0,0,0,
1,1,6, 01/01 06,0.591642,0.16516,9.64111,0,0.0172159,0,1.21369,1.56975,2.05188,0.0476204,0,11.6288,15.2981,0,0,0,0,0,0,0,0,0,0,0,0,0,150.343,0,0,0,0,0,0,0,0,0,0,150.343,150.343,6.55552,626.966,894.518,4.35364,89.9626,100,0.000230351,0.0054633,0.006288,0,0,0,
1,1,7, 01/01 07,0.6857,0.158334,10.2744,0,0.0188625,0,1.21369,1.56975,2.05188,0.0476204,0,12.351,16.0202,0,0,0,0,0,0,0,0,0,0,0,0,0,155.342,0,0,0,0,0,0,0,0,0,0,155.342,155.342,7.51072,626.966,894.518,5.54605,89.9626,100,0.000293441,0.0054633,0.006288,0.000150648,0,0,
1,1,8, 01/01 08,0.64602,0.164876,10.4315,0,0.0168704,0,1.12242,13.9151,2.05188,0.0403673,0,12.3816,28.389,0,0,0,0,0,0,0,0,0,0,0,0,0,149.662,0,0,0,0,0,0,0,0,0,0,149.662,149.662,6.54374,626.966,894.518,4.35696,89.9626,100,0.000230527,0.0054633,0.006288,0,-6.79827,0,
1,1,9, 01/01 09,0.559766,0.164502,9.07051,0,0.0136643,0,3.10268,13.9151,2.05188,0.0300847,0,12.9111,28.9082,0,0,0,0,0,0,0,0,0,0,0,0,0,137.324,0,0,0,0,0,0,0,0,0,0,137.324,137.324,5.68693,626.966,894.518,2.68137,89.9626,100,0.000141871,0.0054633,0.006288,0,-20.6343,0,
1,1,10, 01/01 10,0.285296,0.162017,8.53006,0,0.00741071,0,3.05079,38.6058,2.05188,0.0279209,0,12.0356,52.7212,0,0,0,0,0,0,0,0,0,0,0,0,0,101.573,0,0,0,0,0,0,0,0,0,0,101.573,101.573,5.68395,626.966,894.518,2.3791,89.9626,100,0.000125878,0.0054633,0.006288,0,-31.671,0,
