General Information
Project Address,City,ZipCode,ClimateZone,Compliance Software,Compliance Manager,RulesetFile Name,Compliance Type
" - specify - "," - specify - ",95837,"ClimateZone9","CBECC 2025.2.0.1 (1395)","BEMCmpMgr 2025.2.0.1 (625)","CA 2025 Nonresidential, Vers. 1.0 (T24_2025.bin)","NewEnvelopeAndMechanical"

No. of Thermal Zones,No. of Thermal Zones (cond),No. of Air Systems,No. of Zonal Systems,No. of Terminal Units
29,27,4,27,25

No. of Stories
Total,New,Existing,Altered
2,2,0,0

No. of Above Grade Stories
Total,New,Existing,Altered
2,2,0,0

No. of Dwelling Units (Conditioned)
Total,New,Existing,Altered
0,0,0,0

NonRes Floor Area (Conditioned)
Total,New,Existing,Altered
2,2,0,0

Res Floor Area (Conditioned)
Total,New,Existing,Altered
0,0,0,0

,Conditioned Floor Area
Total Floor Area,Total,New,Existing,Altered
28505.7,27040.5,0,0,0



Building Wall Area
Total ExtWall,N ExtWall,E ExtWall,S ExtWall,W ExtWall,
(ft2),(ft2),(ft2),(ft2),(ft2)
14403.25,4092.56,2902.63,4555.71,2852.35

Building New Wall Area
Total ExtWall,N ExtWall,E ExtWall,S ExtWall,W ExtWall,
(ft2),(ft2),(ft2),(ft2),(ft2)
14403.25,4092.56,2902.63,4555.71,2852.35
Building Existing or Altered Wall Area
Total ExtWall,N ExtWall,E ExtWall,S ExtWall,W ExtWall,
(ft2),(ft2),(ft2),(ft2),(ft2)
0.00,0.00,0.00,0.00,0.00


Building Window Area,
Total Window Area,North Window,E Window,S Window,W Window
(ft2),(ft2),(ft2),(ft2),(ft2)
4027.94,1075.16,0.00,2230.32,722.46

Building New Window Area on New Walls,
Total Window Area,North Window,E Window,S Window,W Window
(ft2),(ft2),(ft2),(ft2),(ft2)
4027.94,1075.16,0.00,2230.32,722.46
Building New Window Area on Existing or Altered Walls,
Total Window Area,North Window,E Window,S Window,W Window
(ft2),(ft2),(ft2),(ft2),(ft2)
0.00,0.00,0.00,0.00,0.00
Building Existing or Altered Window Area on Existing or Altered Walls,
Total Window Area,North Window,E Window,S Window,W Window
(ft2),(ft2),(ft2),(ft2),(ft2)
0.00,0.00,0.00,0.00,0.00


Window to Wall Ratio
Bldg. WWR,North WWR,East WWR,South WWR,West WWR
(frac.),(frac.),(frac.),(frac.),(frac.)
0.2797,0.2627,0.0000,0.4896,0.2533

New Window to New Wall Ratio
Bldg. WWR,North WWR,East WWR,South WWR,West WWR
(frac.),(frac.),(frac.),(frac.),(frac.)
0.2797,0.2627,0.0000,0.4896,0.2533
New Window to Existing or Altered Wall Ratio
Bldg. WWR,North WWR,East WWR,South WWR,West WWR
(frac.),(frac.),(frac.),(frac.),(frac.)
0.0000,0.0000,0.0000,0.0000,0.0000
Existing or Altered Window to Existing or Altered Wall Ratio
Bldg. WWR,North WWR,East WWR,South WWR,West WWR
(frac.),(frac.),(frac.),(frac.),(frac.)
0.0000,0.0000,0.0000,0.0000,0.0000


Skylight to Roof Ratio (SRR),Display Perimeter\SRR,West,Total
(frac.),(ft),(ft)
0.0096,0.00,0.00

New Skylight to New Roof Ratio (SRR)
(frac.)
0.0096
New Skylight to Existing or Altered Roof Ratio (SRR)
(frac.)
0.0000
Existing or Altered Skylight to Existing or Altered Roof Ratio (SRR)
(frac.)
0.0000



Exterior Roofs
,,,,,,,,,,,,Aged Thermal Emittance,,ThrmlAbs,,Aged Solar Reflectance,,SolAbs,
Name,Status,Name,Occupancy Classification,Conditioning Status,Assigned Occ Class (Ref),Area,Tilt,Slope Category,Cons Name,Construction Type,U-Factor,Roof,Cons,Roof,Cons,Roof,Cons,Roof,Cons
,,,,,,(ft2),(deg),,,,(Btu/h-?F-ft2),(frac.),(frac.),(frac.),(frac.),(frac.),(frac.),(frac.),(frac.),
"B1_Gym 1_1_388","New","B1_Gym 1 Space","Nonresidential","DirectlyConditioned","NonResidential",147.32,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Conference Room 5_1_421","New","RCA_Conference Room 5 Space","Nonresidential","DirectlyConditioned","NonResidential",726.49,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Corridor 11_1_376","New","RCA_Corridor 11 Space","Nonresidential","DirectlyConditioned","NonResidential",39.93,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Corridor 14_1_426","New","RCA_Corridor 14 Space","Nonresidential","DirectlyConditioned","NonResidential",76.97,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Corridor 14_1_429","New","RCA_Corridor 14 Space","Nonresidential","DirectlyConditioned","NonResidential",44.39,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Lobby 1_1_340","New","RCA_Lobby 1 Space","Nonresidential","DirectlyConditioned","NonResidential",31.69,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Open Office 7_1_485","New","RCA_Open Office 7 Space","Nonresidential","DirectlyConditioned","NonResidential",30.85,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"B1_Reception 1_1_210","New","B1_Reception 1 Space","Nonresidential","DirectlyConditioned","NonResidential",135.35,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"Class Room 1_1_291","New","Class Room 1 Space","Nonresidential","DirectlyConditioned","NonResidential",1122.03,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"Collaboration Space 1_1_225","New","Collaboration Space 1 Space","Nonresidential","DirectlyConditioned","NonResidential",892.00,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
