AirSystems
,,Fan Capacity,,,,Fan Pwr (Design),,,,,Fan Pwr Ratio,,,,Fan Pwr Adj
System Name,Type,Supply Fan Capacity,Return Fan Capacity,Relief Fan Capacity,Exhaust Fan Capacity,Supply Fan Pwr,Return Fan Pwr,Relief Fan Pwr,Exhaust Fan Pwr,Total System Fan Pwr,Supply Fan Pwr Ratio,Return Fan Pwr Ratio,Relief Fan Pwr Ratio,Exhaust Fan Pwr Ratio,Total Exhaust Fan Pwr Adj,Total NonExhaust Fan Pwr Adj,Total System Fan Pwr Adj,Fully Ducted Exhaust Pressure Drop Adj,Exhaust Filter Pressure Drop Adj,Biosafety Cabinet Pressure Drop Adj,Fully Ducted Return Pressure Drop Adj,MERV16 Filter Pressure Drop Adj,Air Cleaner Pressure Drop Adj,Fully Ducted Exhaust Design Flow,Exhaust Filter Design Flow,Biosafety Design Flow,Fully Ducted Return Design Flow,MERV16 Filter Design Flow,Air Cleaner Design Flow
,,(cfm),(cfm),(cfm),(cfm),(kW),(kW),(kW),(kW),(kW),(frac),(frac),(frac),(frac),(kW),(kW),(kW),(inH2O),(inH2O),(inH2O),(inH2O),(inH2O),(inH2O),(cfm),(cfm),(cfm),(cfm),(cfm),(cfm)
"BaseAirSys5","PVAV",0.0,0.0,0.0,-99996.0,0.000,0.000,0.000,0.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys5-2","PVAV",0.0,0.0,0.0,-99996.0,0.000,0.000,0.000,0.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b","SZVAVHP",0.0,0.0,0.0,-99996.0,0.000,0.000,0.000,0.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-2","SZVAVHP",0.0,0.0,0.0,-99996.0,0.000,0.000,0.000,0.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-3","SZVAVHP",0.0,0.0,0.0,-99996.0,0.000,0.000,0.000,0.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-4","SZVAVHP",0.0,0.0,0.0,-99996.0,0.000,0.000,0.000,0.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-5","SZVAVHP",0.0,0.0,0.0,-99996.0,0.000,0.000,0.000,0.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-6","SZVAVHP",0.0,0.0,0.0,-99996.0,0.000,0.000,0.000,0.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-7","SZVAVHP",0.0,0.0,0.0,-99996.0,0.000,0.000,0.000,0.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-8","SZVAVHP",0.0,0.0,0.0,-99996.0,0.000,0.000,0.000,0.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-9","SZVAVHP",0.0,0.0,0.0,-99996.0,0.000,0.000,0.000,0.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-10","SZVAVHP",0.0,0.0,0.0,-99996.0,0.000,0.000,0.000,0.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-11","SZVAVHP",0.0,0.0,0.0,-99996.0,0.000,0.000,0.000,0.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-12","SZVAVHP",0.0,0.0,0.0,-99996.0,0.000,0.000,0.000,0.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-13","SZVAVHP",0.0,0.0,0.0,-99996.0,0.000,0.000,0.000,0.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-14","SZVAVHP",0.0,0.0,0.0,-99996.0,0.000,0.000,0.000,0.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-15","SZVAVHP",0.0,0.0,0.0,-99996.0,0.000,0.000,0.000,0.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys11","SZAC",0.0,0.0,0.0,-99996.0,0.000,0.000,0.000,0.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys11-2","SZAC",0.0,0.0,0.0,-99996.0,0.000,0.000,0.000,0.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-16","SZVAVHP",0.0,0.0,0.0,-99996.0,0.000,0.000,0.000,0.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-17","SZVAVHP",0.0,0.0,0.0,-99996.0,0.000,0.000,0.000,0.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-18","SZVAVHP",0.0,0.0,0.0,-99996.0,0.000,0.000,0.000,0.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-19","SZVAVHP",0.0,0.0,0.0,-99996.0,0.000,0.000,0.000,0.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000

Thermal Zone
,,,,,,Fan Capacity,,,Fan Flow Ratio,,,Fan Pwr,,,,,Fan Pwr Adj
Name,Pri HVAC Sys,Vent Sys,Exhaust Sys,Floor Area,Multiplier,Pri. System Flow,Ventilation System Flow,Exhaust Flow,Zone Pri-Air-Flow-to-Sys Flow Ratio,Zone Vent-to-Sys-Air Flow Ratio,Zone Exh-to-Sys Flow Ratio,Prop Supply Fan Pwr,Prop Return Fan Pwr,Prop Relief Fan Pwr,Prop Exhaust Fan Pwr,Total Prop Fan Pwr,Total Exhaust Fan Pwr Adj,Total NonExhaust Fan Pwr Adj,Total Fan Pwr Adj,Fully Ducted Exhaust Pwr Adj,Exhaust Filter Fan Pwr Adj,Biosafety Cabinet Fan Pwr Adj,Fully Ducted Return Fan Pwr Adj,MERV16 Fan Pwr Adj,Air Cleaner Fan Pwr Adj,Exhaust Fan Motor BHP
,,,,(ft2),,(cfm),(cfm),(cfm),(frac),(frac),(frac),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW)
"L2_ZN02_Core Classroom","BaseAirSys7or3b","BaseAirSys7or3b","NONE",1255.3,1,1883.0,656.0,218.7,1.000,0.041,0.041,-99996.000,0.000,0.000,0.066,1.053,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"L2_ZN07_Huddle Area","BaseAirSys7or3b-2","BaseAirSys7or3b-2","NONE",1184.3,1,1776.5,600.0,200.0,1.000,0.038,0.038,-99996.000,0.000,0.000,0.060,0.982,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"L2_ZN04_Huddle Offices","BaseAirSys7or3b-3","BaseAirSys7or3b-3","NONE",354.8,1,532.3,250.0,83.4,1.000,0.016,0.016,-99996.000,0.000,0.000,0.025,0.336,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"L2_ZN07 North Conf","BaseAirSys7or3b-4","BaseAirSys7or3b-4","NONE",790.5,1,1185.8,400.0,133.4,1.000,0.025,0.025,-99996.000,0.000,0.000,0.040,0.655,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"L2_ZN01_Core Conf Room","BaseAirSys7or3b-5","BaseAirSys7or3b-5","NONE",1045.9,1,1568.8,429.7,143.3,1.000,0.027,0.027,-99996.000,0.000,0.000,0.043,0.807,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"L2_ZN06 Corner Conf","BaseAirSys7or3b-6","BaseAirSys7or3b-6","NONE",361.1,1,541.7,250.0,83.4,1.000,0.016,0.016,-99996.000,0.000,0.000,0.025,0.340,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"L1_ZN09 N Conf Room","BaseAirSys7or3b-7","BaseAirSys7or3b-7","NONE",1517.0,1,2275.5,300.0,100.0,1.000,0.019,0.019,-99996.000,0.000,0.000,0.030,0.976,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"L2_ZN13 Core Conf Room","BaseAirSys7or3b-8","BaseAirSys7or3b-8","NONE",1045.9,1,1568.8,179.7,59.9,1.000,0.011,0.011,-99996.000,0.000,0.000,0.018,0.657,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"L1_ZN08 NE Corridor","BaseAirSys7or3b-9","BaseAirSys7or3b-9","NONE",2278.8,1,3418.2,341.8,114.0,1.000,0.022,0.022,-99996.000,0.000,0.000,0.034,1.401,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"L1_ZN12 SE Corridor Corner","BaseAirSys7or3b-10","BaseAirSys7or3b-10","NONE",490.9,1,736.4,73.6,24.6,1.000,0.005,0.005,-99996.000,0.000,0.000,0.007,0.302,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"L1_ZN04_South Corridor","BaseAirSys7or3b-11","BaseAirSys7or3b-11","NONE",707.4,1,1061.1,106.1,35.4,1.000,0.007,0.007,-99996.000,0.000,0.000,0.011,0.435,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"L1_ZN05_Core Corridor","BaseAirSys7or3b-12","BaseAirSys7or3b-12","NONE",1914.7,1,2872.0,287.2,95.8,1.000,0.018,0.018,-99996.000,0.000,0.000,0.029,1.178,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"L2_ZN09 NE Corridor","BaseAirSys7or3b-13","BaseAirSys7or3b-13","NONE",900.3,1,1350.4,135.0,45.0,1.000,0.009,0.009,-99996.000,0.000,0.000,0.014,0.554,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"L2_ZN08_Recep Corridor","BaseAirSys7or3b-14","BaseAirSys7or3b-14","NONE",2387.9,1,3581.9,404.9,135.0,1.000,0.025,0.025,-99996.000,0.000,0.000,0.040,1.497,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"L1_ZN13 Elec Room","BaseAirSys7or3b-15","BaseAirSys7or3b-15","NONE",65.4,1,98.1,9.8,3.3,1.000,0.001,0.001,-99996.000,0.000,0.000,0.001,0.040,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"L1_ZN06_IT Room","BaseAirSys11","BaseAirSys11","NONE",105.0,1,132.0,132.0,0.0,1.000,0.000,0.000,-99996.000,0.000,0.000,0.000,0.077,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"L2_ZN10_IT Room","BaseAirSys11-2","BaseAirSys11-2","NONE",105.0,1,132.0,132.0,0.0,1.000,0.000,0.000,-99996.000,0.000,0.000,0.000,0.077,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"L2_ZN11_Breakroom","BaseAirSys7or3b-16","BaseAirSys7or3b-16","NONE",477.2,1,715.8,236.2,78.8,1.000,0.015,0.015,-99996.000,0.000,0.000,0.024,0.392,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"L1_ZN13 Lobby NW","BaseAirSys7or3b-17","BaseAirSys7or3b-17","NONE",368.7,1,553.1,182.5,60.9,1.000,0.011,0.011,-99996.000,0.000,0.000,0.018,0.303,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"L1_ZN03_South Open Office","BaseAirSys5","BaseAirSys5","NONE",785.8,1,1178.7,1021.5,1021.5,1.000,0.064,0.097,-99996.000,0.000,0.000,0.664,1.587,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"L1_ZN02 Core_Open Office","BaseAirSys5","BaseAirSys5","NONE",2028.6,1,3042.8,2637.1,2637.1,1.000,0.166,0.249,-99996.000,0.000,0.000,1.714,4.098,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"L2_ZN03_South Open Office","BaseAirSys5-2","BaseAirSys5-2","NONE",1397.7,1,2096.6,1817.0,1817.0,1.000,0.114,0.172,-99996.000,0.000,0.000,1.181,2.823,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"L2_ZN05_Core Open Office Cor","BaseAirSys5-2","BaseAirSys5-2","NONE",2048.3,1,3072.4,2662.8,2662.8,1.000,0.168,0.252,-99996.000,0.000,0.000,1.731,4.138,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"L1_ZN14_Core Open Office","BaseAirSys5","BaseAirSys5","NONE",1286.2,1,1929.3,1672.0,1672.0,1.000,0.105,0.158,-99996.000,0.000,0.000,1.087,2.598,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"L1_ZN07_Restroom","NONE","NONE","NONE",654.1,1,0.0,0.0,350.0,0.000,0.000,0.000,-99996.000,0.000,0.000,0.000,0.000,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"L2_ZN14 Restroom","NONE","NONE","NONE",811.2,1,0.0,0.0,400.0,0.000,0.000,0.000,-99996.000,0.000,0.000,0.000,0.000,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"L2_ZN12 Storage","BaseAirSys7or3b-18","BaseAirSys7or3b-18","NONE",600.2,1,900.4,90.0,30.0,1.000,0.006,0.006,-99996.000,0.000,0.000,0.009,0.369,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"L1_ZN05_Fitness Center","BaseAirSys7or3b-19","BaseAirSys7or3b-19","NONE",941.5,1,1412.2,360.7,120.3,1.000,0.023,0.023,-99996.000,0.000,0.000,0.036,0.711,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"L1_ZN01_SE_Open Office","BaseAirSys5","BaseAirSys5","NONE",595.9,1,893.8,774.6,774.6,1.000,0.049,0.073,-99996.000,0.000,0.000,0.504,1.204,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
