; Tables for Std model AutoHardSize capacity look-up rules
TABLE EX06_NR_Class-Lab-DOAS-FPFC25TrmlUnit
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd
;,,,,,(cfm),(cfm),( cfm)
,"BaseVAVNoReheatTrmlUnit","VAVNoReheatBox","BaseAirSys7or3b","L2_ZN02_Core Classroom",-99996.000,655.996,-99996.000,""
,"BaseVAVNoReheatTrmlUnit-2","VAVNoReheatBox","BaseAirSys7or3b-2","L2_ZN07_Huddle Area",-99996.000,600.000,-99996.000,""
,"BaseVAVNoReheatTrmlUnit-3","VAVNoReheatBox","BaseAirSys7or3b-3","L2_ZN04_Huddle Offices",-99996.000,250.000,-99996.000,""
,"BaseVAVNoReheatTrmlUnit-4","VAVNoReheatBox","BaseAirSys7or3b-4","L2_ZN07 North Conf",-99996.000,400.000,-99996.000,""
,"BaseVAVNoReheatTrmlUnit-5","VAVNoReheatBox","BaseAirSys7or3b-5","L2_ZN01_Core Conf Room",-99996.000,429.689,-99996.000,""
,"BaseVAVNoReheatTrmlUnit-6","VAVNoReheatBox","BaseAirSys7or3b-6","L2_ZN06 Corner Conf",-99996.000,250.000,-99996.000,""
,"BaseVAVNoReheatTrmlUnit-7","VAVNoReheatBox","BaseAirSys7or3b-7","L1_ZN09 N Conf Room",-99996.000,300.000,-99996.000,""
,"BaseVAVNoReheatTrmlUnit-8","VAVNoReheatBox","BaseAirSys7or3b-8","L2_ZN13 Core Conf Room",-99996.000,179.689,-99996.000,""
,"BaseVAVNoReheatTrmlUnit-9","VAVNoReheatBox","BaseAirSys7or3b-9","L1_ZN08 NE Corridor",-99996.000,341.818,-99996.000,""
,"BaseVAVNoReheatTrmlUnit-10","VAVNoReheatBox","BaseAirSys7or3b-10","L1_ZN12 SE Corridor Corner",-99996.000,73.642,-99996.000,""
,"BaseVAVNoReheatTrmlUnit-11","VAVNoReheatBox","BaseAirSys7or3b-11","L1_ZN04_South Corridor",-99996.000,106.112,-99996.000,""
,"BaseVAVNoReheatTrmlUnit-12","VAVNoReheatBox","BaseAirSys7or3b-12","L1_ZN05_Core Corridor",-99996.000,287.198,-99996.000,""
,"BaseVAVNoReheatTrmlUnit-13","VAVNoReheatBox","BaseAirSys7or3b-13","L2_ZN09 NE Corridor",-99996.000,135.042,-99996.000,""
,"BaseVAVNoReheatTrmlUnit-14","VAVNoReheatBox","BaseAirSys7or3b-14","L2_ZN08_Recep Corridor",-99996.000,404.887,-99996.000,""
,"BaseVAVNoReheatTrmlUnit-15","VAVNoReheatBox","BaseAirSys7or3b-15","L1_ZN13 Elec Room",-99996.000,9.813,-99996.000,""
,"BaseUnctrl TrmlUnit","Uncontrolled","BaseAirSys11","L1_ZN06_IT Room",-99996.000,-99996.000,-99996.000,""
,"BaseUnctrl TrmlUnit-2","Uncontrolled","BaseAirSys11-2","L2_ZN10_IT Room",-99996.000,-99996.000,-99996.000,""
,"BaseVAVNoReheatTrmlUnit-16","VAVNoReheatBox","BaseAirSys7or3b-16","L2_ZN11_Breakroom",-99996.000,236.227,-99996.000,""
,"BaseVAVNoReheatTrmlUnit-17","VAVNoReheatBox","BaseAirSys7or3b-17","L1_ZN13 Lobby NW",-99996.000,182.513,-99996.000,""
,"BaseVAVBox TrmlUnit","VAVReheatBox","BaseAirSys5","L1_ZN03_South Open Office",-99996.000,1021.515,-99996.000,"SingleMaximum"
,"BaseVAVBox TrmlUnit-2","VAVReheatBox","BaseAirSys5","L1_ZN02 Core_Open Office",-99996.000,2637.124,-99996.000,"SingleMaximum"
,"BaseVAVBox TrmlUnit-3","VAVReheatBox","BaseAirSys5-2","L2_ZN03_South Open Office",-99996.000,1817.029,-99996.000,"SingleMaximum"
,"BaseVAVBox TrmlUnit-4","VAVReheatBox","BaseAirSys5-2","L2_ZN05_Core Open Office Cor",-99996.000,2662.784,-99996.000,"SingleMaximum"
,"BaseVAVBox TrmlUnit-5","VAVReheatBox","BaseAirSys5","L1_ZN14_Core Open Office",-99996.000,1672.031,-99996.000,"SingleMaximum"
,"BaseVAVNoReheatTrmlUnit-18","VAVNoReheatBox","BaseAirSys7or3b-18","L2_ZN12 Storage",-99996.000,90.036,-99996.000,""
,"BaseVAVNoReheatTrmlUnit-19","VAVNoReheatBox","BaseAirSys7or3b-19","L1_ZN05_Fitness Center",-99996.000,360.732,-99996.000,""
,"BaseVAVBox TrmlUnit-6","VAVReheatBox","BaseAirSys5","L1_ZN01_SE_Open Office",-99996.000,774.631,-99996.000,"SingleMaximum"
ENDTABLE
TABLE EX06_NR_Class-Lab-DOAS-FPFC25CoilClg
