PV Array & Battery Report
,"PV and Battery required based on Prescriptive tables:  64.8 kWdc PV  /  Battery Energy 119.0 kWh and Power 29.75 kW (Time of Use control)"
,"Standard Design PV Capacity: 64.8 kWdc  /  Battery Capacity: 119.0 kWh  (power 29.75 kW, Time of Use control)"
,"User-specified PV and Battery:  64.8 kWdc PV  /  119.0 kWh Battery  (29.8/29.8 charge/discharge rate (kW), Time of Use control)"

Prescriptive PV/Battery Requirements:
Space/ResOtherZn/ResZn,,,,,,NonRes & HiRiseRes Multiplied Areas by PVBattery Bldg Type,,,,,,,,,,,,,LowRiseRes,,Prescriptive Capacities:
Name,Conditioning Type,Space Function,PV/Batt Bldg Type,Floor Area,Multiplier,"Events, Exhibits",Library,Hotel/Motel,"Office, Financial, Unleased, Med Office/Clinic",Restaurants,"Retail, Grocery",School,Warehouse,Religious Worship,"Sports, Recreation",Highrise Multifamily,none,# Res Dwellings,MultArea,,PV,Batt Energy,Batt Power
,,,,(ft2),,(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),,(ft2),,(kWdc),(kWh),(kW)
"B1_Changing 1 Space","DirectlyConditioned","Office Area (<=250 square feet)","Office, Financial, Unleased, Med Office/Clinic",240.808,1,,,,240.808,,,,,,,,,,,,0.753728,1.33331,0.333328,
"B1_Gym 1 Space","DirectlyConditioned","Classroom, Lecture, Training, Vocational Areas","School",629.126,1,,,,,,,629.126,,,,,,,,,1.02548,2.01983,0.504957,
"RCA_Conference Room 1 Space","DirectlyConditioned","Office Area (<=250 square feet)","Office, Financial, Unleased, Med Office/Clinic",790.502,1,,,,790.502,,,,,,,,,,,,2.47427,4.37689,1.09422,
"RCA_Conference Room 5 Space","DirectlyConditioned","Office Area (<=250 square feet)","Office, Financial, Unleased, Med Office/Clinic",726.492,1,,,,726.492,,,,,,,,,,,,2.27392,4.02247,1.00562,
"RCA_Conference Room 6 Space","DirectlyConditioned","Office Area (<=250 square feet)","Office, Financial, Unleased, Med Office/Clinic",847.94,1,,,,847.94,,,,,,,,,,,,2.65405,4.69491,1.17373,
"RCA_Corridor 1 Space","DirectlyConditioned","Corridor Area","Office, Financial, Unleased, Med Office/Clinic",823.213,1,,,,823.213,,,,,,,,,,,,2.57666,4.558,1.1395,
"RCA_Corridor 10 Space","DirectlyConditioned","Corridor Area","Office, Financial, Unleased, Med Office/Clinic",283.484,1,,,,283.484,,,,,,,,,,,,0.887304,1.5696,0.392401,
"RCA_Corridor 11 Space","DirectlyConditioned","Corridor Area","Office, Financial, Unleased, Med Office/Clinic",71.5476,1,,,,71.5476,,,,,,,,,,,,0.223944,0.396148,0.0990369,
"RCA_Corridor 14 Space","DirectlyConditioned","Corridor Area","Office, Financial, Unleased, Med Office/Clinic",1172.09,1,,,,1172.09,,,,,,,,,,,,3.66864,6.48967,1.62242,
"RCA_Corridor 16 Space","DirectlyConditioned","Corridor Area","Office, Financial, Unleased, Med Office/Clinic",490.944,1,,,,490.944,,,,,,,,,,,,1.53665,2.71828,0.679569,
"RCA_Corridor 2 Space","DirectlyConditioned","Corridor Area","Office, Financial, Unleased, Med Office/Clinic",260.523,1,,,,260.523,,,,,,,,,,,,0.815438,1.44248,0.360619,
"RCA_Corridor 3 Space","DirectlyConditioned","Corridor Area","Office, Financial, Unleased, Med Office/Clinic",1914.65,1,,,,1914.65,,,,,,,,,,,,5.99286,10.6011,2.65028,
"RCA_Elec Room 1 Space","DirectlyConditioned","Electrical, Mechanical, Telephone Rooms","Office, Financial, Unleased, Med Office/Clinic",65.4231,1,,,,65.4231,,,,,,,,,,,,0.204774,0.362237,0.0905593,
"RCA_IT Room 1 Space","DirectlyConditioned","Computer Room","Office, Financial, Unleased, Med Office/Clinic",105.034,1,,,,105.034,,,,,,,,,,,,0.328757,0.581557,0.145389,
"RCA_Lobby 1 Space","DirectlyConditioned","Lobby, Main Entry","Office, Financial, Unleased, Med Office/Clinic",368.713,1,,,,368.713,,,,,,,,,,,,1.15407,2.04151,0.510377,
"RCA_Open Office 1 Space","DirectlyConditioned","Laboratory, Scientific","Office, Financial, Unleased, Med Office/Clinic",785.781,1,,,,785.781,,,,,,,,,,,,2.45949,4.35074,1.08769,
"RCA_Open Office 2 Space","DirectlyConditioned","Laboratory, Scientific","Office, Financial, Unleased, Med Office/Clinic",595.87,1,,,,595.87,,,,,,,,,,,,1.86507,3.29924,0.82481,
"RCA_Restrooms 1 Space","Unconditioned","Restrooms","Office, Financial, Unleased, Med Office/Clinic",654.061,1,,,,0,,,,,,,,,,,,0,0,0,
"RCA_Store 4 Space","DirectlyConditioned","Storage, General","Office, Financial, Unleased, Med Office/Clinic",107.168,1,,,,107.168,,,,,,,,,,,,0.335437,0.593375,0.148344,
"RCA_Store 5 Space","DirectlyConditioned","Storage, General","Office, Financial, Unleased, Med Office/Clinic",339.719,1,,,,339.719,,,,,,,,,,,,1.06332,1.88097,0.470243,
"RCA_Open Office 3 Space","DirectlyConditioned","Laboratory, Scientific","Office, Financial, Unleased, Med Office/Clinic",2028.56,1,,,,2028.56,,,,,,,,,,,,6.34938,11.2318,2.80795,
"RCA_Open Office 7 Space","DirectlyConditioned","Laboratory, Scientific","Office, Financial, Unleased, Med Office/Clinic",1286.18,1,,,,1286.18,,,,,,,,,,,,4.02574,7.12136,1.78034,
"RCA_Store 7 Space","DirectlyConditioned","Storage, General","Office, Financial, Unleased, Med Office/Clinic",197.925,1,,,,197.925,,,,,,,,,,,,0.619506,1.09588,0.27397,
"B1_Reception 1 Space","DirectlyConditioned","Lobby, Main Entry","School",135.348,1,,,,,,,135.348,,,,,,,,,0.220617,0.434537,0.108634,
"Class Room 1 Space","DirectlyConditioned","Classroom, Lecture, Training, Vocational Areas","School",1122.03,1,,,,,,,1122.03,,,,,,,,,1.82891,3.6023,0.900576,
"Collaboration Space 1 Space","DirectlyConditioned","Classroom, Lecture, Training, Vocational Areas","School",892.011,1,,,,,,,892.011,,,,,,,,,1.45398,2.86383,0.715956,
"Huddle 1 Space","DirectlyConditioned","Classroom, Lecture, Training, Vocational Areas","School",354.847,1,,,,,,,354.847,,,,,,,,,0.578401,1.13925,0.284812,
"Huddle 2 Space","DirectlyConditioned","Classroom, Lecture, Training, Vocational Areas","School",292.319,1,,,,,,,292.319,,,,,,,,,0.47648,0.938498,0.234624,
"RCA_Conference Room 2 Space","DirectlyConditioned","Classroom, Lecture, Training, Vocational Areas","School",790.504,1,,,,,,,790.504,,,,,,,,,1.28852,2.53793,0.634484,
"RCA_Conference Room 3 Space","DirectlyConditioned","Classroom, Lecture, Training, Vocational Areas","School",847.94,1,,,,,,,847.94,,,,,,,,,1.38214,2.72234,0.680584,
"RCA_Conference Room 4 Space","DirectlyConditioned","Classroom, Lecture, Training, Vocational Areas","School",361.146,1,,,,,,,361.146,,,,,,,,,0.588669,1.15947,0.289868,
"RCA_Corridor 4 Space","DirectlyConditioned","Corridor Area","School",823.213,1,,,,,,,823.213,,,,,,,,,1.34184,2.64295,0.660737,
"RCA_Corridor 5 Space","DirectlyConditioned","Corridor Area","School",260.523,1,,,,,,,260.523,,,,,,,,,0.424653,0.836417,0.209104,
"RCA_Corridor 6 Space","DirectlyConditioned","Corridor Area","School",485.016,1,,,,,,,485.016,,,,,,,,,0.790576,1.55716,0.389289,
"RCA_Corridor 7 Space","DirectlyConditioned","Corridor Area","School",450.469,1,,,,,,,450.469,,,,,,,,,0.734265,1.44624,0.361561,
"RCA_Corridor 8 Space","DirectlyConditioned","Corridor Area","School",944.371,1,,,,,,,944.371,,,,,,,,,1.53932,3.03193,0.757982,
"RCA_Corridor 9 Space","DirectlyConditioned","Corridor Area","School",449.812,1,,,,,,,449.812,,,,,,,,,0.733193,1.44413,0.361033,
"RCA_IT Room 2 Space","DirectlyConditioned","Computer Room","School",105.034,1,,,,,,,105.034,,,,,,,,,0.171206,0.337215,0.0843037,
"RCA_Kitchen Break Room 1 Space","DirectlyConditioned","Lounge, Breakroom, or Waiting Area","School",477.225,1,,,,,,,477.225,,,,,,,,,0.777877,1.53214,0.383036,
"RCA_Open Office 4 Space","DirectlyConditioned","Laboratory, Scientific","School",927.02,1,,,,,,,927.02,,,,,,,,,1.51104,2.97622,0.744056,
"RCA_Open Office 5 Space","DirectlyConditioned","Laboratory, Scientific","School",470.694,1,,,,,,,470.694,,,,,,,,,0.767232,1.51118,0.377794,
