BuildingStory
,,Floor Area (including multipliers),,,,,Ventilation (Design),,,Ventilation (For Balance),,,,,,General,,Comm. Kitchen,,Parking Garage,,Laboratory
Name,Multiplier,Total,Cond. NRes,Cond. Res,Total Cond.,Number,Total,Code Min.,Exhaust,Total,Code Min.,Tot:Min Ratio,Exhaust,Vent:Exh Ratio,Vent Mult.,Vent,Exhaust,Vent,Exhaust,Vent,Exhaust,Vent,Exhaust
,,(ft2),(ft2),(ft2),(ft2),(people),(cfm),(cfm),(cfm),(cfm),(cfm),,(cfm),,,(cfm),(cfm),(cfm),(cfm),(cfm),(cfm),(cfm),(cfm)
"Ground Floor",1,14785.8,14131.7,0.0,14131.7,198.6,7963,7907,6455,1857,1802,1.000,0,1.000,1.000,1857,350,0,0,0,0,6105,6105
"2nd Floor",1,13719.9,12908.8,0.0,12908.8,364.8,7947,8033,4880,3468,3553,1.000,0,1.000,1.000,3468,400,0,0,0,0,4480,4480

Space
,,,,,,,Occupancy,,,Ventilation,,Design Input (By Component),,,,,Minimum Req. (By Component),,,,Simulated,,,Exhaust,,,ForBalance
Name,Story Name,Condg Type,Space Function,Thermal Zone,Floor Area,Multiplier,Design,Minimum,Number,Spec. Method,Control,Per Occupant,Per Area,Per Volume,Per Space,Calculated Flow,Per Occupant,Per Area,Per Volume,Calculated Flow,Per Occupant,Per Area,Calculated Flow,Calculated Flow,Lab Exh Type,Max Kitchen,Ventilation,Exhaust
,,,,,(ft2),,(ppl/1000ft2),(ppl/1000ft2),(people),,,(cfm/person),(cfm/ft2),(ACH),(cfm),(cfm),(cfm/person),(cfm/ft2),(ACH),(cfm),(cfm/person),(cfm/ft2),(cfm),(cfm),,(cfm),(cfm),(cfm)
"B1_Changing 1 Space","Ground Floor","DirectlyConditioned","Office Area (<=250 square feet)","L1_ZN05_Fitness Center",240.8,1,10.0,10.0,1.2,"Maximum","Fixed",15,0.15,0,0,50,15,0.15,0,36,0,0.383154,-99996,0,"UNDEFINED",0,50,0
"B1_Gym 1 Space","Ground Floor","DirectlyConditioned","Classroom, Lecture, Training, Vocational Areas","L1_ZN05_Fitness Center",629.1,1,50.0,50.0,23.6,"Maximum","Fixed",15,0.15,0,0,300,15,0.15,0,354,0,0.383154,-99996,0,"UNDEFINED",0,300,0
"RCA_Conference Room 1 Space","Ground Floor","DirectlyConditioned","Office Area (<=250 square feet)","L1_ZN09 N Conf Room",790.5,1,10.0,10.0,4.0,"Maximum","CO2Sensors",15,0.15,0,0,150,15,0.15,0,119,0,0.19776,-99996,0,"UNDEFINED",0,150,0
"RCA_Conference Room 5 Space","Ground Floor","DirectlyConditioned","Office Area (<=250 square feet)","L1_ZN09 N Conf Room",726.5,1,10.0,10.0,3.6,"Maximum","CO2Sensors",15,0.15,0,0,150,15,0.15,0,109,0,0.19776,-99996,0,"UNDEFINED",0,150,0
"RCA_Conference Room 6 Space","Ground Floor","DirectlyConditioned","Office Area (<=250 square feet)","L2_ZN13 Core Conf Room",847.9,1,10.0,10.0,4.2,"Maximum","CO2Sensors",15,0.15,0,0,150,15,0.15,0,127,0,0.171809,-99996,0,"UNDEFINED",0,150,0
"RCA_Corridor 1 Space","Ground Floor","DirectlyConditioned","Corridor Area","L1_ZN08 NE Corridor",823.2,1,10.0,10.0,4.1,"Maximum","Fixed",15,0.15,0,0,123,15,0.15,0,123,0,0.15,-99996,0,"UNDEFINED",0,123,0
"RCA_Corridor 10 Space","Ground Floor","DirectlyConditioned","Corridor Area","L1_ZN08 NE Corridor",283.5,1,10.0,10.0,1.4,"Maximum","Fixed",15,0.15,0,0,43,15,0.15,0,43,0,0.15,-99996,0,"UNDEFINED",0,43,0
"RCA_Corridor 11 Space","Ground Floor","DirectlyConditioned","Corridor Area","L1_ZN05_Fitness Center",71.5,1,10.0,10.0,0.4,"Maximum","Fixed",15,0.15,0,0,11,15,0.15,0,11,0,0.383154,-99996,0,"UNDEFINED",0,11,0
"RCA_Corridor 14 Space","Ground Floor","DirectlyConditioned","Corridor Area","L1_ZN08 NE Corridor",1172.1,1,10.0,10.0,5.9,"Maximum","Fixed",15,0.15,0,0,176,15,0.15,0,176,0,0.15,-99996,0,"UNDEFINED",0,176,0
"RCA_Corridor 16 Space","Ground Floor","DirectlyConditioned","Corridor Area","L1_ZN12 SE Corridor Corner",490.9,1,10.0,10.0,2.5,"Maximum","Fixed",15,0.15,0,0,74,15,0.15,0,74,0,0.15,-99996,0,"UNDEFINED",0,74,0
"RCA_Corridor 2 Space","Ground Floor","DirectlyConditioned","Corridor Area","L1_ZN04_South Corridor",260.5,1,10.0,10.0,1.3,"Maximum","Fixed",15,0.15,0,0,39,15,0.15,0,39,0,0.15,-99996,0,"UNDEFINED",0,39,0
"RCA_Corridor 3 Space","Ground Floor","DirectlyConditioned","Corridor Area","L1_ZN05_Core Corridor",1914.7,1,10.0,10.0,9.6,"Maximum","Fixed",15,0.15,0,0,287,15,0.15,0,287,0,0.15,-99996,0,"UNDEFINED",0,287,0
"RCA_Elec Room 1 Space","Ground Floor","DirectlyConditioned","Electrical, Mechanical, Telephone Rooms","L1_ZN13 Elec Room",65.4,1,10.0,10.0,0.3,"Maximum","Fixed",15,0.15,0,0,10,15,0.15,0,10,0,0.15,-99996,0,"UNDEFINED",0,10,0
"RCA_IT Room 1 Space","Ground Floor","DirectlyConditioned","Computer Room","L1_ZN06_IT Room",105.0,1,10.0,10.0,0.5,"Maximum","Fixed",15,0.15,0,0,16,15,0.15,0,16,0,0.15,-99996,0,"UNDEFINED",0,16,0
"RCA_Lobby 1 Space","Ground Floor","DirectlyConditioned","Lobby, Main Entry","L1_ZN13 Lobby NW",368.7,1,66.0,66.0,12.2,"Maximum","CO2Sensors",15,0.15,0,0,183,15,0.15,0,183,0,0.495,-99996,0,"UNDEFINED",0,183,0
"RCA_Open Office 1 Space","Ground Floor","DirectlyConditioned","Laboratory, Scientific","L1_ZN03_South Open Office",785.8,1,50.0,50.0,19.6,"Maximum","Fixed",0,1.3,0,0,1022,0,1.3,0,1022,0,1.3,-99996,1022,"UNDEFINED",0,0,0
"RCA_Open Office 2 Space","Ground Floor","DirectlyConditioned","Laboratory, Scientific","L1_ZN01_SE_Open Office",595.9,1,50.0,50.0,14.9,"Maximum","Fixed",0,1.3,0,0,775,0,1.3,0,775,0,1.3,-99996,775,"UNDEFINED",0,0,0
"RCA_Restrooms 1 Space","Ground Floor","Unconditioned","Restrooms","L1_ZN07_Restroom",654.1,1,10.0,10.0,3.3,"Maximum","UNDEFINED",0,0,0,0,0,0,0,0,0,0,0,-99996,350,"UNDEFINED",0,0,0
"RCA_Store 4 Space","Ground Floor","DirectlyConditioned","Storage, General","L1_ZN04_South Corridor",107.2,1,10.0,10.0,0.5,"Maximum","Fixed",15,0.15,0,0,16,15,0.15,0,16,0,0.15,-99996,0,"UNDEFINED",0,16,0
"RCA_Store 5 Space","Ground Floor","DirectlyConditioned","Storage, General","L1_ZN04_South Corridor",339.7,1,10.0,10.0,1.7,"Maximum","Fixed",15,0.15,0,0,51,15,0.15,0,51,0,0.15,-99996,0,"UNDEFINED",0,51,0
"RCA_Open Office 3 Space","Ground Floor","DirectlyConditioned","Laboratory, Scientific","L1_ZN02 Core_Open Office",2028.6,1,50.0,50.0,50.7,"Maximum","Fixed",0,1.3,0,0,2637,0,1.3,0,2637,0,1.3,-99996,2637,"UNDEFINED",0,0,0
"RCA_Open Office 7 Space","Ground Floor","DirectlyConditioned","Laboratory, Scientific","L1_ZN14_Core Open Office",1286.2,1,50.0,50.0,32.2,"Maximum","Fixed",0,1.3,0,0,1672,0,1.3,0,1672,0,1.3,-99996,1672,"UNDEFINED",0,0,0
"RCA_Store 7 Space","Ground Floor","DirectlyConditioned","Storage, General","L2_ZN13 Core Conf Room",197.9,1,10.0,10.0,1.0,"Maximum","CO2Sensors",15,0.15,0,0,30,15,0.15,0,30,0,0.171809,-99996,0,"UNDEFINED",0,30,0
"B1_Reception 1 Space","2nd Floor","DirectlyConditioned","Lobby, Main Entry","L2_ZN08_Recep Corridor",135.3,1,66.0,66.0,4.5,"Maximum","Fixed",15,0.15,0,0,67,15,0.15,0,67,0,0.169554,-99996,0,"UNDEFINED",0,67,0
"Class Room 1 Space","2nd Floor","DirectlyConditioned","Classroom, Lecture, Training, Vocational Areas","L2_ZN02_Core Classroom",1122.0,1,50.0,50.0,42.1,"Maximum","CO2Sensors",15,0.15,0,0,636,15,0.15,0,631,0,0.522567,-99996,0,"UNDEFINED",0,636,0
"Collaboration Space 1 Space","2nd Floor","DirectlyConditioned","Classroom, Lecture, Training, Vocational Areas","L2_ZN07_Huddle Area",892.0,1,50.0,50.0,33.5,"Maximum","CO2Sensors",15,0.15,0,0,400,15,0.15,0,502,0,0.506616,-99996,0,"UNDEFINED",0,400,0
"Huddle 1 Space","2nd Floor","DirectlyConditioned","Classroom, Lecture, Training, Vocational Areas","L2_ZN04_Huddle Offices",354.8,1,50.0,50.0,13.3,"Maximum","Fixed",15,0.15,0,0,250,15,0.15,0,200,0,0.704528,-99996,0,"UNDEFINED",0,250,0
"Huddle 2 Space","2nd Floor","DirectlyConditioned","Classroom, Lecture, Training, Vocational Areas","L2_ZN07_Huddle Area",292.3,1,50.0,50.0,11.0,"Maximum","CO2Sensors",15,0.15,0,0,200,15,0.15,0,164,0,0.506616,-99996,0,"UNDEFINED",0,200,0
"RCA_Conference Room 2 Space","2nd Floor","DirectlyConditioned","Classroom, Lecture, Training, Vocational Areas","L2_ZN07 North Conf",790.5,1,50.0,50.0,29.6,"Maximum","CO2Sensors",15,0.15,0,0,400,15,0.15,0,445,0,0.506006,-99996,0,"UNDEFINED",0,400,0
"RCA_Conference Room 3 Space","2nd Floor","DirectlyConditioned","Classroom, Lecture, Training, Vocational Areas","L2_ZN01_Core Conf Room",847.9,1,50.0,50.0,31.8,"Maximum","CO2Sensors",15,0.15,0,0,400,15,0.15,0,477,0,0.410845,-99996,0,"UNDEFINED",0,400,0
"RCA_Conference Room 4 Space","2nd Floor","DirectlyConditioned","Classroom, Lecture, Training, Vocational Areas","L2_ZN06 Corner Conf",361.1,1,50.0,50.0,13.5,"Maximum","CO2Sensors",15,0.15,0,0,250,15,0.15,0,203,0,0.69224,-99996,0,"UNDEFINED",0,250,0
"RCA_Corridor 4 Space","2nd Floor","DirectlyConditioned","Corridor Area","L2_ZN08_Recep Corridor",823.2,1,10.0,10.0,4.1,"Maximum","Fixed",15,0.15,0,0,123,15,0.15,0,123,0,0.169554,-99996,0,"UNDEFINED",0,123,0
"RCA_Corridor 5 Space","2nd Floor","DirectlyConditioned","Corridor Area","L2_ZN12 Storage",260.5,1,10.0,10.0,1.3,"Maximum","Fixed",15,0.15,0,0,39,15,0.15,0,39,0,0.15,-99996,0,"UNDEFINED",0,39,0
"RCA_Corridor 6 Space","2nd Floor","DirectlyConditioned","Corridor Area","L2_ZN08_Recep Corridor",485.0,1,10.0,10.0,2.4,"Maximum","Fixed",15,0.15,0,0,73,15,0.15,0,73,0,0.169554,-99996,0,"UNDEFINED",0,73,0
