"",001
"Mon 08-Jun-26   3:3 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",20.1415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1415,0,0,0
"MtrElec",1,1,2,"",20.1415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1415,0,0,0
"MtrElec",1,1,3,"",21.0696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0696,0,0,0
"MtrElec",1,1,4,"",20.1416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1416,0,0,0
"MtrElec",1,1,5,"",21.0692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0692,0,0,0
"MtrElec",1,1,6,"",21.1307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.1307,0,0,0
"MtrElec",1,1,7,"",20.1415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1415,0,0,0
"MtrElec",1,1,8,"",-40.0056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0718,0,0,-60.0774
"MtrElec",1,1,9,"",-163.815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5339,0,0,-182.349
"MtrElec",1,1,10,"",-260.663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.219,0,0,-279.882
"MtrElec",1,1,11,"",-68.7032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8359,0,253.291,-340.83
"MtrElec",1,1,12,"",-90.7435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5771,0,253.291,-363.611
"MtrElec",1,1,13,"",-79.4376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8665,0,253.291,-353.595
"MtrElec",1,1,14,"",-49.653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5554,0,146.642,-216.85
"MtrElec",1,1,15,"",-158.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5406,0,0,-177.801
"MtrElec",1,1,16,"",-90.1894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5774,0,0,-108.767
"MtrElec",1,1,17,"",7.51208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7259,0,0,-13.2138
"MtrElec",1,1,18,"",20.1416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1416,0,0,0
"MtrElec",1,1,19,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1416,0,-20.1416,0
"MtrElec",1,1,20,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0696,0,-21.0696,0
"MtrElec",1,1,21,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1415,0,-20.1415,0
"MtrElec",1,1,22,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0893,0,-22.0893,0
"MtrElec",1,1,23,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1415,0,-20.1415,0
"MtrElec",1,1,24,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1415,0,-20.1415,0
"MtrElec",1,2,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0895,0,-21.0895,0
"MtrElec",1,2,2,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0894,0,-21.0894,0
"MtrElec",1,2,3,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0893,0,-21.0893,0
"MtrElec",1,2,4,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1516,0,-20.1516,0
"MtrElec",1,2,5,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0893,0,-21.0893,0
"MtrElec",1,2,6,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.943,0,-199.943,0
"MtrElec",1,2,7,"",-0.0000156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.836,0,-147.836,0
"MtrElec",1,2,8,"",-0.0000100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.117,0,-205.852,-1.26528
"MtrElec",1,2,9,"",325.323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391.543,0,-36.2643,-29.9553
"MtrElec",1,2,10,"",343.379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375.165,0,0,-31.7857
"MtrElec",1,2,11,"",317.758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.23,0,0,-42.4721
"MtrElec",1,2,12,"",310.663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362.557,0,0,-51.8936
"MtrElec",1,2,13,"",324.492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379.693,0,0,-55.201
"MtrElec",1,2,14,"",341.949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369.381,0,0,-27.432
"MtrElec",1,2,15,"",335.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.051,0,0,-30.7263
"MtrElec",1,2,16,"",362.779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375.134,0,0,-12.3555
"MtrElec",1,2,17,"",387.231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388.035,0,0,-0.804343
"MtrElec",1,2,18,"",260.369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260.369,0,0,0
"MtrElec",1,2,19,"",188.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.605,0,0,0
"MtrElec",1,2,20,"",182.793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.793,0,0,0
"MtrElec",1,2,21,"",169.978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.978,0,0,0
"MtrElec",1,2,22,"",177.337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.337,0,0,0
"MtrElec",1,2,23,"",189.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.117,0,0,0
"MtrElec",1,2,24,"",202.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.441,0,0,0
"MtrElec",1,3,1,"",21.0897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0897,0,0,0
"MtrElec",1,3,2,"",20.1513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1513,0,0,0
"MtrElec",1,3,3,"",21.0895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0895,0,0,0
"MtrElec",1,3,4,"",21.0894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0894,0,0,0
"MtrElec",1,3,5,"",21.0893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0893,0,0,0
"MtrElec",1,3,6,"",269.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269.151,0,0,0
"MtrElec",1,3,7,"",224.808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.808,0,0,0
"MtrElec",1,3,8,"",230.672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.672,0,0,0
"MtrElec",1,3,9,"",193.439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.966,0,0,-12.5274
"MtrElec",1,3,10,"",154.871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.927,0,0,-33.0563
"MtrElec",1,3,11,"",73.4792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.542,0,0,-99.0625
"MtrElec",1,3,12,"",45.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.727,0,0,-135.685
"MtrElec",1,3,13,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.362,0,35.9071,-156.269
"MtrElec",1,3,14,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.261,0,111.778,-221.038
"MtrElec",1,3,15,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.086,0,85.674,-190.76
"MtrElec",1,3,16,"",41.1246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.893,0,0,-59.7679
"MtrElec",1,3,17,"",106.573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.23,0,0,-6.65726
"MtrElec",1,3,18,"",87.5668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.5668,0,0,0
"MtrElec",1,3,19,"",-0.0000078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4609,0,-90.461,0
"MtrElec",1,3,20,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.1308,0,-21.1308,0
"MtrElec",1,3,21,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0892,0,-22.0892,0
"MtrElec",1,3,22,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1536,0,-22.1536,0
"MtrElec",1,3,23,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1516,0,-20.1516,0
"MtrElec",1,3,24,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0894,0,-21.0894,0
"MtrElec",1,4,1,"",6.61086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1416,0,-13.5307,0
