"",001
"Mon 08-Jun-26   3:3 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",20.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.149,0,0,0
"MtrElec",1,1,2,"",20.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.149,0,0,0
"MtrElec",1,1,3,"",21.0845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0845,0,0,0
"MtrElec",1,1,4,"",20.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.149,0,0,0
"MtrElec",1,1,5,"",20.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.149,0,0,0
"MtrElec",1,1,6,"",21.954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.954,0,0,0
"MtrElec",1,1,7,"",28.8191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.8191,0,0,0
"MtrElec",1,1,8,"",0.0000020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6541,0,32.4233,-60.0774
"MtrElec",1,1,9,"",0.0000078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.3114,0,160.037,-182.349
"MtrElec",1,1,10,"",-20.7757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5535,0,240.553,-279.882
"MtrElec",1,1,11,"",-81.6882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5886,0,240.553,-340.83
"MtrElec",1,1,12,"",-111.349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.592,0,232.671,-363.611
"MtrElec",1,1,13,"",-334.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.573,0,0,-353.595
"MtrElec",1,1,14,"",-196.272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5788,0,0,-216.85
"MtrElec",1,1,15,"",-158.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5557,0,0,-177.801
"MtrElec",1,1,16,"",-90.1817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5851,0,0,-108.767
"MtrElec",1,1,17,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7409,0,-7.52703,-13.2138
"MtrElec",1,1,18,"",-0.0000020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1491,0,-20.1491,0
"MtrElec",1,1,19,"",-0.0000020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1491,0,-20.1491,0
"MtrElec",1,1,20,"",-0.0000020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0848,0,-21.0848,0
"MtrElec",1,1,21,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1491,0,-20.1491,0
"MtrElec",1,1,22,"",-0.0000020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.146,0,-21.146,0
"MtrElec",1,1,23,"",-0.0000020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0847,0,-21.0847,0
"MtrElec",1,1,24,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1491,0,-20.1491,0
"MtrElec",1,2,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.1049,0,-21.1049,0
"MtrElec",1,2,2,"",-0.0000020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.159,0,-20.159,0
